1 Bed,2 Beds,3 Beds,4 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
"$1,750",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,750'}]",2742 Cabrillo Ave,"Torrance, CA 90501",,https://www.apartments.com/2742-cabrillo-ave-torrance-ca-unit-310/2n4w90b/,670,670 Sq Ft,Torrance,,Condos,CA
,,,,Available Now,1 BA,"[{'bedroom_type': 'Studio', 'price': '$2,600'}]",877 Francisco St,"Los Angeles, CA 90017",,https://www.apartments.com/877-francisco-st-los-angeles-ca-unit-1021/70tx6bx/,501,501 Sq Ft,Los Angeles,"$2,600",Condos,CA
,,"$3,600",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,600'}]",108 Menkar,"Irvine, CA 92618",,https://www.apartments.com/108-menkar-irvine-ca/eelp47n/,"1,702","1,702 Sq Ft",Irvine,,Condos,CA
,,"$3,400",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,400'}]",24 Calle Viveza,"San Clemente, CA 92673",,https://www.apartments.com/24-calle-viveza-san-clemente-ca/3p22qwg/,"1,876","1,876 Sq Ft",San Clemente,,Condos,CA
,,"$2,350",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,350'}]",2487 Moon Dust Dr,"Chino Hills, CA 91709",,https://www.apartments.com/2487-moon-dust-dr-chino-hills-ca-unit-a/2638eh9/,"1,392","1,392 Sq Ft",Chino Hills,,Condos,CA
,"$1,250",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,250'}]",Imperial,"Imperial, CA 92251",12 Month Lease,https://www.apartments.com/1100-rodeo-dr-imperial-ca-unit-733/726hg7y/,"1,000","1,000 Sq Ft",CA,,Condos,92251
,,"$1,500",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$1,500'}]",224 Via Del Lago St,"Lakeport, CA 95453",,https://www.apartments.com/224-via-del-lago-st-lakeport-ca/y2cv27r/,"1,548","1,548 Sq Ft",Lakeport,,Condos,CA
,"$3,900",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,900'}]",40705 Inverness Way,"Palm Desert, CA 92211",,https://www.apartments.com/40705-inverness-way-palm-desert-ca/2n1ne5b/,"1,177","1,177 Sq Ft",Palm Desert,,Condos,CA
,,"$6,500",,Available Now,4 BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,500'}]",2661 Doheny Way,"Dana Point, CA 92629",,https://www.apartments.com/2661-doheny-way-dana-point-ca/jeywsw4/,"2,030","2,030 Sq Ft",Dana Point,,Condos,CA
,,,"$7,500",Available Now,4 BAs,"[{'bedroom_type': '4 Beds', 'price': '$7,500'}]",27 San Pietro,"Newport Beach, CA 92657",,https://www.apartments.com/27-san-pietro-newport-beach-ca/nzwrccm/,"2,400","2,400 Sq Ft",Newport Beach,,Condos,CA
,"$1,150",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,150'}]",19255 Palo Verde Dr,"Apple Valley, CA 92308",,https://www.apartments.com/19255-palo-verde-dr-apple-valley-ca/ccg18rg/,865,865 Sq Ft,Apple Valley,,Condos,CA
,"$1,850",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,850'}]",3980 Polk St,"Riverside, CA 92505",,https://www.apartments.com/3980-polk-st-riverside-ca-unit-f/p6gv3xv/,"1,211","1,211 Sq Ft",Riverside,,Condos,CA
,,"$5,500",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,500'}]",1741 S Bentley Ave,"Los Angeles, CA 90025",,https://www.apartments.com/1741-s-bentley-ave-los-angeles-ca-unit-5/nehf4en/,"1,715","1,715 Sq Ft",Los Angeles,,Condos,CA
,"$2,300",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,300'}]",120 Clearbrook,"Irvine, CA 92614",,https://www.apartments.com/120-clearbrook-irvine-ca-unit-3/9xrcde7/,917,917 Sq Ft,Irvine,,Condos,CA
,,"$3,800",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,800'}]",78615 Vista Del Fuente,"Indian Wells, CA 92210",,https://www.apartments.com/78615-vista-del-fuente-indian-wells-ca/hb260j3/,"2,208","2,208 Sq Ft",Indian Wells,,Condos,CA
,"$1,775",,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,775'}]",30505 Canyon Hills Rd,"Lake Elsinore, CA 92532",,https://www.apartments.com/30505-canyon-hills-rd-lake-elsinore-ca-unit-302/3dsh8ve/,"1,565","1,565 Sq Ft",Lake Elsinore,,Condos,CA
,"$2,150",,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,150'}]",6273 Camposa Ln,"Eastvale, CA 91752",,https://www.apartments.com/6273-camposa-ln-eastvale-ca/38b67xf/,"1,211","1,211 Sq Ft",Eastvale,,Condos,CA
,,"$3,580",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,580'}]",220 Crescent Moon,"Irvine, CA 92602",,https://www.apartments.com/220-crescent-moon-irvine-ca/v6yytsd/,"1,837","1,837 Sq Ft",Irvine,,Condos,CA
