1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,"$2,095",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,095'}]",Pasadena,"372 Ashtabula St, Pasadena, CA 91104",12 Month Lease,https://www.apartments.com/372-ashtabula-st-pasadena-ca-unit-204/z4nb62z/,890,890 Sq Ft,CA,,Condos,91104
,"$2,100",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,100'}]",San Diego,"San Diego, CA 92129",12 Month Lease,https://www.apartments.com/9409-fairgrove-ln-san-diego-ca-unit-203/n6plb1m/,927,927 Sq Ft,CA,,Condos,92129
,,"$2,425",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,425'}]",Monterey Park,"Monterey Park, CA 91755",12 Month Lease,https://www.apartments.com/211-n-nicholson-ave-monterey-park-ca-unit-e/typzb78/,"1,300","1,300 Sq Ft",CA,,Condos,91755
"$2,100",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,100'}]",Los Angeles,"Los Angeles, CA 90013",12 Month Lease,https://www.apartments.com/420-san-pedro-st-los-angeles-ca-unit-429/1ksxcg6/,830,830 Sq Ft,CA,,Condos,90013
,"$2,500",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]",Los Angeles,"10861 Moorpark St, Los Angeles, CA 91602",6 Month Lease,https://www.apartments.com/10861-moorpark-st-los-angeles-ca-unit-116/q0ts6rz/,"1,150","1,150 Sq Ft",CA,,Condos,91602
,,"$3,200",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,200'}]",Pasadena,"175 S Allen Ave, Pasadena, CA 91106",1 Month Lease,https://www.apartments.com/175-s-allen-ave-pasadena-ca-unit-1/0tyg2t2/,"1,790","1,790 Sq Ft",CA,,Condos,91106
,"$2,800",,,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]",Pasadena,"175 S Allen Ave, Pasadena, CA 91106",1 Month Lease,https://www.apartments.com/175-s-allen-ave-pasadena-ca-unit-2/tzkzcz8/,"1,300","1,300 Sq Ft",CA,,Condos,91106
,"$5,800",,,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$5,800'}]",San Francisco,"San Francisco, CA 94107",12 Month Lease,https://www.apartments.com/2546-3rd-st-san-francisco-ca-unit-3/6by3e3t/,"1,587","1,587 Sq Ft",CA,,Condos,94107
,"$2,800",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]",Long Beach,"388 E Ocean Blvd, Long Beach, CA 90802",6 Month Lease,https://www.apartments.com/388-e-ocean-blvd-long-beach-ca-unit-410/fqjpllt/,990,990 Sq Ft,CA,,Condos,90802
,"$4,800",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,800'}]",Santa Monica,"813 15th St, Santa Monica, CA 90403",1 Month Lease,https://www.apartments.com/813-15th-st-santa-monica-ca-unit-f/8cfnbf1/,"1,150","1,150 Sq Ft",CA,,Condos,90403
