1 Bed,2 Beds,3 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
"$2,550 ",,,Available Now,1½ BAs,"[{'bedroom_type': '1 Bed', 'price': '$2,550'}]",Torrance,"22869 Nadine Cir, Torrance, CA 90505",12 Month Lease,https://www.apartments.com/22869-nadine-cir-torrance-ca-unit-0/43qqvph/,967,967 Sq Ft,CA,,Condos,90505
"$1,725 ",,,9-Nov,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,725'}]",Long Beach,"819 E 4th St, Long Beach, CA 90802",1 Month Lease,https://www.apartments.com/819-e-4th-st-long-beach-ca-unit-21/yzdq9yt/,627,627 Sq Ft,CA,,Condos,90802
,"$4,000 ",,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,000'}]",Los Angeles,"1415 Camden Ave, Los Angeles, CA 90025",12 Month Lease,https://www.apartments.com/1415-camden-ave-los-angeles-ca-unit-206/l3qsr1d/,"1,650","1,650 Sq Ft",CA,,Condos,90025
"$2,095 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,095'}]",Los Angeles,"4381 Ventura Canyon Ave, Los Angeles, CA 91423",12 Month Lease,https://www.apartments.com/4381-ventura-canyon-ave-los-angeles-ca-unit-11/6lbqtds/,712,712 Sq Ft,CA,,Condos,91423
,,"$4,500 ",Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,500'}]",Marina del Rey,"13010 Maxella Ave, Marina del Rey, CA 90292",12 Month Lease,https://www.apartments.com/13010-maxella-ave-marina-del-rey-ca-unit-2/3r9lmbe/,"1,547","1,547 Sq Ft",CA,,Condos,90292
,,"$3,750 ",Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,750'}]",Los Angeles,"13404 Moorpark St, Los Angeles, CA 91423",12 Month Lease,https://www.apartments.com/13404-moorpark-st-los-angeles-ca-unit-1/sxmhmw5/,"1,670","1,670 Sq Ft",CA,,Condos,91423
,,"$5,495 ",Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,495'}]",Los Angeles,"11911 Mayfield Ave, Los Angeles, CA 90049",12 Month Lease,https://www.apartments.com/11911-mayfield-ave-los-angeles-ca-unit-ph-1/byj45dc/,"1,800","1,800 Sq Ft",CA,,Condos,90049
,"$3,550 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,550'}]",Los Angeles,"8349 Blackburn Ave, Los Angeles, CA 90048",12 Month Lease,https://www.apartments.com/8349-blackburn-ave-los-angeles-ca-unit-103/v31ve4d/,"1,200","1,200 Sq Ft",CA,,Condos,90048
,"$2,650 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,650'}]",Redondo Beach,"820 Camino Real, Redondo Beach, CA 90277",12 Month Lease,https://www.apartments.com/820-camino-real-redondo-beach-ca-unit-201/xzrhx1n/,975,975 Sq Ft,CA,,Condos,90277
,"$7,950 ",,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$7,950'}]",Beverly Hills,"447 N Doheny Dr, Beverly Hills, CA 90210",12 Month Lease,https://www.apartments.com/447-n-doheny-dr-beverly-hills-ca-unit-101/wmggnhk/,"1,930","1,930 Sq Ft",CA,,Condos,90210
,"$2,995 ",,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,995'}]",Los Angeles,"4113 Perlita Ave, Los Angeles, CA 90039",6 Month Lease,https://www.apartments.com/4113-perlita-ave-los-angeles-ca-unit-b/cetdmsd/,980,980 Sq Ft,CA,,Condos,90039
