1 Bed,2 Beds,3 Beds,4 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,,"$4,950 ",,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,950'}]",Los Angeles,"12975 Agustin Pl, Los Angeles, CA 90094",12 Month Lease,https://www.apartments.com/12975-agustin-pl-los-angeles-ca-unit-306/268bwm9/,"1,860","1,860 Sq Ft",CA,,Condos,90094
,"$2,550 ",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,550'}]",Pasadena,"75 Harkness Ave, Pasadena, CA 91106",12 Month Lease,https://www.apartments.com/75-harkness-ave-pasadena-ca-unit-3/yzeg51v/,"1,110","1,110 Sq Ft",CA,,Condos,91106
,"$4,900 ",,,1-Dec,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,900'}]",Marina del Rey,"4344 Glencoe Ave, Marina del Rey, CA 90292",12 Month Lease,https://www.apartments.com/4344-glencoe-ave-marina-del-rey-ca-unit-3/kttbfsb/,"1,866","1,866 Sq Ft",CA,,Condos,90292
,"$2,250 ",,,1-Nov,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,250'}]",Los Angeles,"8650 Belford Ave, Los Angeles, CA 90045",12 Month Lease,https://www.apartments.com/8650-belford-ave-los-angeles-ca-unit-207/twtf4x9/,870,870 Sq Ft,CA,,Condos,90045
,"$3,495 ",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,495'}]",Los Angeles,"540 N Rossmore Ave, Los Angeles, CA 90004",12 Month Lease,https://www.apartments.com/540-n-rossmore-ave-los-angeles-ca-unit-306/3wlqj3g/,"1,450","1,450 Sq Ft",CA,,Condos,90004
,,,,Available Now,1 BA,"[{'bedroom_type': 'Studio', 'price': '$1,950'}]",Los Angeles,"800 W 1st St, Los Angeles, CA 90012",12 Month Lease,https://www.apartments.com/800-w-1st-st-los-angeles-ca-unit-1904/tcld8jb/,481,481 Sq Ft,CA,"$1,950 ",Condos,90012
,,"$5,895 ",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,895'}]",Los Angeles,"6209 Pacific Ave, Los Angeles, CA 90293",12 Month Lease,https://www.apartments.com/6209-pacific-ave-los-angeles-ca-unit-202/0d5d200/,"2,100","2,100 Sq Ft",CA,,Condos,90293
,"$3,700 ",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,700'}]",Los Angeles,"801 S Grand Ave, Los Angeles, CA 90017",12 Month Lease,https://www.apartments.com/801-s-grand-ave-los-angeles-ca-unit-1412/1z0pwv5/,"1,200","1,200 Sq Ft",CA,,Condos,90017
,"$4,980 ",,,15-Nov,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,980'}]",West Hollywood,"503 N San Vicente Blvd, West Hollywood, CA 90048",1 Month Lease,https://www.apartments.com/503-n-san-vicente-blvd-west-hollywood-ca-unit-503/0hqhyk3/,"1,150","1,150 Sq Ft",CA,,Condos,90048
"$2,200 ",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,200'}]",Los Angeles,"1234 Wilshire Blvd, Los Angeles, CA 90017",12 Month Lease,https://www.apartments.com/1234-wilshire-blvd-los-angeles-ca-unit-237/vs1crmd/,790,790 Sq Ft,CA,,Condos,90017
,,"$3,750 ",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,750'}]",Los Angeles,"8710 Delgany Ave, Los Angeles, CA 90293",12 Month Lease,https://www.apartments.com/8710-delgany-ave-los-angeles-ca-unit-28/jrfezz4/,"1,459","1,459 Sq Ft",CA,,Condos,90293
,"$2,250 ",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,250'}]",Pasadena,"465 S Los Robles Ave, Pasadena, CA 91101",12 Month Lease,https://www.apartments.com/465-s-los-robles-ave-pasadena-ca-unit-12/q08j9jw/,919,919 Sq Ft,CA,,Condos,91101
