1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,,"$5,800",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,800'}]",Santa Monica,"2438 5th St, Santa Monica, CA 90405",12 Month Lease,https://www.apartments.com/2438-5th-st-santa-monica-ca/whekhml/,970,970 Sq Ft,CA,Houses,90405
,"$3,200",,,,Nov 1,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,200'}]",South Pasadena,"821 Bank St, South Pasadena, CA 91030",12 Month Lease,https://www.apartments.com/821-bank-st-south-pasadena-ca/wmbflyh/,899,899 Sq Ft,CA,Houses,91030
,,"$2,950",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,950'}]",Woodland Hills,"22701 Macfarlane Dr, Woodland Hills, CA 91364",6 Month Lease,https://www.apartments.com/22701-macfarlane-dr-woodland-hills-ca/7g033nw/,"1,800","1,800 Sq Ft",CA,Houses,91364
,,,"$2,850",,Available Now,2 BAs,"[{'bedroom_type': '4 Beds', 'price': '$2,850'}]",Carson,"17808 Tamcliff Ave, Carson, CA 90746",12 Month Lease,https://www.apartments.com/17808-tamcliff-ave-carson-ca/3sj1t2d/,"1,868","1,868 Sq Ft",CA,Houses,90746
"$1,595",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,595'}]",Pasadena,"213 S Michigan Ave, Pasadena, CA 91106",12 Month Lease,https://www.apartments.com/213-s-michigan-ave-pasadena-ca/p0l6lxt/,700,700 Sq Ft,CA,Houses,91106
,,,,"$9,500",Available Now,6 BAs,"[{'bedroom_type': '4+ Beds', 'price': '$9,500'}]",Los Angeles,"4409 Nogales Dr, Los Angeles, CA 91356",12 Month Lease,https://www.apartments.com/4409-nogales-dr-los-angeles-ca/1w68jx5/,"4,500","4,500 Sq Ft",CA,Houses,91356
,,"$3,500",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,500'}]",Los Angeles,"3916 Don Diablo Dr, Los Angeles, CA 90008",12 Month Lease,https://www.apartments.com/3916-don-diablo-dr-los-angeles-ca/hl6rcd1/,"2,300","2,300 Sq Ft",CA,Houses,90008
,,,"$3,200",,Available Now,2 BAs,"[{'bedroom_type': '4 Beds', 'price': '$3,200'}]",Newhall,"23500 Daisetta Dr, Newhall, CA 91321",,https://www.apartments.com/23500-daisetta-dr-newhall-ca/0hw2er1/,"1,500","1,500 Sq Ft",CA,Houses,91321
,,,,"$19,000",Available Now,6 BAs,"[{'bedroom_type': '4+ Beds', 'price': '$19,000'}]",Los Angeles,"5652 Calvin Ave, Los Angeles, CA 91356",12 Month Lease,https://www.apartments.com/5652-calvin-ave-los-angeles-ca/lx578he/,"6,005","6,005 Sq Ft",CA,Houses,91356
,,"$4,000",,,Nov 15,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,000'}]",Torrance,"5315 Clearsite St, Torrance, CA 90505",12 Month Lease,https://www.apartments.com/5315-clearsite-st-torrance-ca/d3k1hrh/,"1,397","1,397 Sq Ft",CA,Houses,90505
