1 Bed,2 Beds,3 Beds,4 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,"$2,395",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,395'}]",1474 Highland Blvd,"1474 Highland Blvd, Hayward, CA 94542",,https://www.apartments.com/2-br-1-bath-duplex-1474-highland-blvd-hayward-ca/tfvjg3c/,"1,183","1,183 Sq Ft",Hayward,,Townhomes,CA
,"$2,400",,,Nov 1,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,400'}]",5255 Village Cir Dr,"Temple City, CA 91780",,https://www.apartments.com/5255-village-cir-dr-temple-city-ca/t89z279/,"1,175","1,175 Sq Ft",Temple City,,Townhomes,CA
,"$3,600",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,600'}]",530 W Sunnyoaks Ave,"Campbell, CA 95008",,https://www.apartments.com/530-w-sunnyoaks-ave-campbell-ca/nbv6s4q/,"1,548","1,548 Sq Ft",Campbell,,Townhomes,CA
,,"$2,750",,Available Now,1½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,750'}]",4814 Saginaw Cir,"Pleasanton, CA 94588",,https://www.apartments.com/4814-saginaw-cir-pleasanton-ca/ltq9jye/,"1,130","1,130 Sq Ft",Pleasanton,,Townhomes,CA
"$1,925",,,,Dec 1,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,925'}]",7575 Charmant Dr,"San Diego, CA 92122",,https://www.apartments.com/7575-charmant-dr-san-diego-ca/4kyys7l/,704,704 Sq Ft,San Diego,,Townhomes,CA
,,"$3,400",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,400'}]",2 Sandpoint Dr,"2 Sandpoint Dr, Richmond, CA 94804",,https://www.apartments.com/3-bedroom-in-richmond-ca-94804-richmond-ca/b4pchjb/,,,Richmond,,Townhomes,CA
,,"$2,700",,Nov 16,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,700'}]",1607 Trailside Cir,"Concord, CA 94518",,https://www.apartments.com/1607-trailside-cir-concord-ca/2kh7qr9/,"1,260","1,260 Sq Ft",Concord,,Townhomes,CA
,"$3,250",,,Available Now,3½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,250'}]",3676 Whitworth Dr,"Dublin, CA 94568",,https://www.apartments.com/3676-whitworth-dr-dublin-ca/tmczj2c/,"1,634","1,634 Sq Ft",Dublin,,Townhomes,CA
,,"$2,095",,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,095'}]",427 Anchor Ln,"427 Anchor Ln, West Sacramento, CA 95605",,https://www.apartments.com/427-anchor-ln-west-sacramento-ca/y291h5r/,"1,561","1,561 Sq Ft",West Sacramento,,Townhomes,CA
"$1,265",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,265'}]",9641 Via Rimini,"9641 Via Rimini, Burbank, CA 91504",,https://www.apartments.com/1-bedroom-in-burbank-ca-91504-burbank-ca/wn6g9el/,,,Burbank,,Townhomes,CA
,"$2,300",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,300'}]",9085 Alcosta Blvd,"San Ramon, CA 94583",,https://www.apartments.com/9085-alcosta-blvd-san-ramon-ca/hq6p8c0/,"1,039","1,039 Sq Ft",San Ramon,,Townhomes,CA
