1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,"$2,890",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,890'}]",San Ramon,"San Ramon, CA 94583",12 Month Lease,https://www.apartments.com/502-destiny-ln-san-ramon-ca/8p9gly3/,"1,027","1,027 Sq Ft",CA,Townhomes,94583
,"$2,700",,,,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,700'}]",Novato,"Novato, CA 94949",12 Month Lease,https://www.apartments.com/225-marin-valley-dr-novato-ca/7x4r92y/,910,910 Sq Ft,CA,Townhomes,94949
,"$2,675",,,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,675'}]",La Mesa,"La Mesa, CA 91942",12 Month Lease,https://www.apartments.com/5565-lake-murray-blvd-la-mesa-ca/recvbg2/,"1,100","1,100 Sq Ft",CA,Townhomes,91942
,"$3,600",,,,Nov 1,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$3,600'}]",Culver City,"Culver City, CA 90232",12 Month Lease,https://www.apartments.com/4134-center-st-culver-city-ca/tssdxsc/,832,832 Sq Ft,CA,Townhomes,90232
"$2,400",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,400'}]",Los Angeles,"Los Angeles, CA 91606",12 Month Lease,https://www.apartments.com/6709-fair-ave-los-angeles-ca/zdye0cz/,800,800 Sq Ft,CA,Townhomes,91606
,,"$3,750",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,750'}]",San Diego,"San Diego, CA 92108",,https://www.apartments.com/2623-bellezza-dr-san-diego-ca/rg2f280/,"1,495","1,495 Sq Ft",CA,Townhomes,92108
,,"$2,700",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,700'}]",Union City,"Union City, CA 94587",12 Month Lease,https://www.apartments.com/2345-kennedy-ave-union-city-ca/petxm8r/,"1,100","1,100 Sq Ft",CA,Townhomes,94587
,,"$2,850",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,850'}]",Rancho Santa Margarita,"Rancho Santa Margarita, CA 92688",,https://www.apartments.com/8-vista-colinas-rancho-santa-margarita-ca/82glpl1/,"1,500","1,500 Sq Ft",CA,Townhomes,92688
,,,"$5,400",,Available Now,3½ BAs,"[{'bedroom_type': '4 Beds', 'price': '$5,400'}]",Hermosa Beach,"Hermosa Beach, CA 90254",9 Month Lease,https://www.apartments.com/160-ardmore-ave-hermosa-beach-ca/e6l135p/,"2,362","2,362 Sq Ft",CA,Townhomes,90254
"$2,600",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,600'}]",Manhattan Beach,"Manhattan Beach, CA 90266",,https://www.apartments.com/125-21st-pl-manhattan-beach-ca/r7e9n33/,600,600 Sq Ft,CA,Townhomes,90266
"$1,950",,,,,Nov 1,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,950'}]",Boulder Creek,"Boulder Creek, CA 95006",,https://www.apartments.com/17715-bear-creek-rd-boulder-creek-ca/71jb19y/,800,800 Sq Ft,CA,Townhomes,95006
,,"$3,850",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,850'}]",Milpitas,"Milpitas, CA 95035",12 Month Lease,https://www.apartments.com/737-luz-del-sol-loop-milpitas-ca/26rmt99/,"1,810","1,810 Sq Ft",CA,Townhomes,95035
,,,,"$14,850",Dec 1,6 BAs,"[{'bedroom_type': '4+ Beds', 'price': '$14,850'}]",Los Angeles,"Los Angeles, CA 90048",6 Month Lease,https://www.apartments.com/122-n-harper-ave-los-angeles-ca/1rcs3g6/,"2,613","2,613 Sq Ft",CA,Townhomes,90048
,"$2,700",,,,Nov 4,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,700'}]",Fremont,"Fremont, CA 94538",12 Month Lease,https://www.apartments.com/5657-statice-common-fremont-ca/r4pzhr2/,900,900 Sq Ft,CA,Townhomes,94538
,"$2,900",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,900'}]",Los Angeles,"Los Angeles, CA 90036",12 Month Lease,https://www.apartments.com/223-s-fuller-ave-los-angeles-ca/chchbbg/,"1,000","1,000 Sq Ft",CA,Townhomes,90036
,"$2,200",,,,Nov 15,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]",Long Beach,"Long Beach, CA 90813",12 Month Lease,https://www.apartments.com/843-magnolia-ave-long-beach-ca/9gprvj4/,"1,050","1,050 Sq Ft",CA,Townhomes,90813
,"$2,750",,,,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,750'}]",Lafayette,"Lafayette, CA 94549",12 Month Lease,https://www.apartments.com/3658-chestnut-st-lafayette-ca/twmtswc/,"1,060","1,060 Sq Ft",CA,Townhomes,94549
,"$2,495",,,,Jan 1,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,495'}]",Goleta,"Goleta, CA 93110",12 Month Lease,https://www.apartments.com/4700-dexter-dr-goleta-ca/z3gytfz/,"1,300","1,300 Sq Ft",CA,Townhomes,93110
,"$5,495",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$5,495'}]",Los Angeles,"Los Angeles, CA 90038",12 Month Lease,https://www.apartments.com/717-highland-ave-los-angeles-ca/t0g1c49/,"2,000","2,000 Sq Ft",CA,Townhomes,90038
,,"$6,750",,,Available Now,3½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,750'}]",Los Angeles,"Los Angeles, CA 90038",12 Month Lease,https://www.apartments.com/1002-n-hudson-ave-los-angeles-ca/8vn4rf0/,"2,400","2,400 Sq Ft",CA,Townhomes,90038
