Bath,Bed,City,Full_address,HOA,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Parking,Price,Rent_zestimate,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
2,2,MillCreekatBrodyRanch,"Residence 5 Plan, Mill Creek at Brody Ranch",$282/month,Townhouse,https://www.zillow.com/community/mill-creek-at-brody-ranch/2081361527_zpid/,New construction,No Data,null,1 space,"$471,000+",null,"1,012",null,Residence 5 Plan,2020,null,$465,null
3,3,PearTreeinNapa,"Residence 4 Pear Tree Plan, Pear Tree in Napa",null,Townhouse,https://www.zillow.com/community/pear-tree-in-napa/2081559180_zpid/,New construction,No Data,null,2 spaces,"$635,000+",null,"1,843",null,Residence 4 Pear Tree Plan,2020,null,$345,null
2,2,Oceanside,"819 Shelter Cove Way, Oceanside, CA 92058",$365/month,Townhouse,https://www.zillow.com/homedetails/819-Shelter-Cove-Way-Oceanside-CA-92058/16589721_zpid/,Townhouse for sale,1.9 acres,82764.0,2 spaces,"$390,000","$2,200/mo","1,104",CA,819 Shelter Cove Way,1985,"$390,000",$353,92058
2,3,SolsticeEmeraldParkatNewHaven,"Residence 2 Plan, Solstice Emerald Park at New Haven",null,Townhouse,https://www.zillow.com/community/solstice-emerald-park-at-new-haven/2081105490_zpid/,New construction,No Data,null,2 spaces,"$375,880+",null,"1,312",null,Residence 2 Plan,2020,null,$286,null
3,3,SavannaPointeatSantaRosaHighlands,"Residence 1680 Plan, Savanna Pointe at Santa Rosa Highlands",null,Townhouse,https://www.zillow.com/community/savanna-pointe-at-santa-rosa-highlands/2085277387_zpid/,New construction,No Data,null,2 spaces,"$379,990+",null,"1,680",null,Residence 1680 Plan,2020,null,$226,null
3,3,CentralParkWestTribeca,"Residence 9 Plan, Central Park West   Tribeca",null,Townhouse,https://www.zillow.com/community/central-park-west-tribeca/2080489172_zpid/,New construction,No Data,null,2 spaces,"$899,990+",null,"1,736",null,Residence 9 Plan,2020,null,$518,null
3,3,ParksideatTarobCourt,"A5-2 Plan, Parkside at Tarob Court",null,Townhouse,https://www.zillow.com/community/parkside-at-tarob-court/2080411519_zpid/,New construction,No Data,null,2 spaces,"$1,090,995+",null,"1,467",null,A5-2 Plan,2020,null,$744,null
3,4,TheTownsatUrbanOak,"Plan 4 Plan, The Towns at UrbanOak",null,Townhouse,https://www.zillow.com/community/towns-at-urbanoak/2081566657_zpid/,New construction,No Data,null,2 spaces,"$914,990+",null,"2,506",null,Plan 4 Plan,2020,null,$365,null
2,1,LosAngeles,"3223 W 6th St UNIT 201, Los Angeles, CA 90020",$753/month,Townhouse,https://www.zillow.com/homedetails/3223-W-6th-St-UNIT-201-Los-Angeles-CA-90020/2090875454_zpid/,Townhouse for sale,1.37 acres,59677.2,1 space,"$688,000","$2,495/mo","1,600",CA,3223 W 6th St UNIT 201,2009,"$692,862",$430,90020
3,2,VeranoatSkyline,"Residence 1183 Plan, Verano at Skyline",null,Townhouse,https://www.zillow.com/community/verano-at-skyline/2082370084_zpid/,New construction,No Data,null,2 spaces,"$474,990+",null,"1,183",null,Residence 1183 Plan,2020,null,$402,null
