Bath,Bed,City,Full_address,HOA,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Parking,Price,Rent_zestimate,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
2,2,LosAngeles,"6771 Springpark Ave APT 106A, Los Angeles, CA 90056",$325/month,Condo,https://www.zillow.com/homedetails/6771-Springpark-Ave-APT-106A-Los-Angeles-CA-90056/20377616_zpid/,Condo for sale,null,null,1 space,"$499,000","$2,750/mo","1,218",CA,6771 Springpark Ave APT 106A,1969,"$505,326",$410,90056
1,2,Highland,"3449 20th St, Highland, CA 92346",$330/month,Condo,https://www.zillow.com/homedetails/3449-20th-St-Highland-CA-92346/59202048_zpid/,Condo for sale,null,null,2 spaces,"$97,000","$1,200/mo",882,CA,3449 20th St,1969,"$97,096",$110,92346
2,3,Soledad,"255 Pacifico Pl, Soledad, CA 93960",$252/month,Condo,https://www.zillow.com/homedetails/255-Pacifico-Pl-Soledad-CA-93960/19349521_zpid/,Condo for sale,null,null,2 spaces,"$265,000","$2,030/mo","1,083",CA,255 Pacifico Pl,1989,"$268,512",$245,93960
2,3,MorganHill,"16660 Lone Hill Dr, Morgan Hill, CA 95037",None,Condo,https://www.zillow.com/homedetails/16660-Lone-Hill-Dr-Morgan-Hill-CA-95037/19849741_zpid/,Condo for sale,null,null,2 spaces,"$668,000","$3,040/mo","1,272",CA,16660 Lone Hill Dr,1984,"$676,730",$525,95037
3,2,Irvine,"706 Trailblaze, Irvine, CA 92618",$290/month,Condo,https://www.zillow.com/homedetails/706-Trailblaze-Irvine-CA-92618/246155250_zpid/,Condo for sale,null,null,2 spaces,"$679,888","$3,225/mo","1,693",CA,706 Trailblaze,2016,"$679,890",$402,92618
2,3,Dublin,"7145 Dublin Meadows St APT G, Dublin, CA 94568",$325/month,Condo,https://www.zillow.com/homedetails/7145-Dublin-Meadows-St-APT-G-Dublin-CA-94568/25070070_zpid/,Condo for sale,null,null,1 space,"$619,888","$2,990/mo","1,215",CA,7145 Dublin Meadows St APT G,1992,"$630,271",$510,94568
2,2,LosAngeles,"267 S San Pedro St UNIT 306, Los Angeles, CA 90012",$688/month,Condo,https://www.zillow.com/homedetails/267-S-San-Pedro-St-UNIT-306-Los-Angeles-CA-90012/68993844_zpid/,Condo for sale,null,null,1 space,"$399,888","$2,750/mo",970,CA,267 S San Pedro St UNIT 306,2006,"$399,890",$412,90012
1,1,SantaClarita,"24545 Town Center Dr APT 5109, Santa Clarita, CA 91355",$350/month,Condo,https://www.zillow.com/homedetails/24545-Town-Center-Dr-APT-5109-Santa-Clarita-CA-91355/79797659_zpid/,Condo for sale,null,null,1 space,"$360,000","$1,850/mo",740,CA,24545 Town Center Dr APT 5109,2003,"$360,002",$486,91355
3,3,Orange,"273 W Linden Dr, Orange, CA 92865",$165/month,Condo,https://www.zillow.com/homedetails/273-W-Linden-Dr-Orange-CA-92865/83261827_zpid/,Condo for sale,null,null,2 spaces,"$569,880","$2,900/mo","1,505",CA,273 W Linden Dr,2009,"$572,729",$379,92865
1,1,Glendale,"1517 E Garfield Ave APT 13, Glendale, CA 91205",$245/month,Condo,https://www.zillow.com/homedetails/1517-E-Garfield-Ave-APT-13-Glendale-CA-91205/20849709_zpid/,Condo for sale,null,null,No Data,"$365,000","$2,225/mo",708,CA,1517 E Garfield Ave APT 13,1975,"$368,578",$516,91205
2,2,Redlands,"93 Kansas St APT 707, Redlands, CA 92373",$203/month,Condo,https://www.zillow.com/homedetails/93-Kansas-St-APT-707-Redlands-CA-92373/79561834_zpid/,Condo for sale,null,null,1 space,"$325,000","$1,650/mo","1,070",CA,93 Kansas St APT 707,2007,"$325,001",$304,92373
2,2,SanFrancisco,"260 King St UNIT 535, San Francisco, CA 94107",$907/month,Condo,https://www.zillow.com/homedetails/260-King-St-UNIT-535-San-Francisco-CA-94107/69819735_zpid/,Condo for sale,null,null,1 space,"$1,295,000","$4,800/mo","1,230",CA,260 King St UNIT 535,2004,"$1,305,156","$1,053",94107
2,2,RedondoBeach,"230 S Catalina Ave APT 307, Redondo Beach, CA 90277",$590/month,Condo,https://www.zillow.com/homedetails/230-S-Catalina-Ave-APT-307-Redondo-Beach-CA-90277/21319279_zpid/,Condo for sale,null,null,No Data,"$819,900","$3,200/mo","1,379",CA,230 S Catalina Ave APT 307,1974,"$828,622",$595,90277
2,2,Irvine,"104 Desert Pne, Irvine, CA 92620",$344/month,Condo,https://www.zillow.com/homedetails/104-Desert-Pne-Irvine-CA-92620/246154547_zpid/,Condo for sale,null,null,2 spaces,"$625,000","$2,600/mo","1,182",CA,104 Desert Pne,2016,"$625,001",$529,92620
1,2,ImperialBeach,"1220 Seacoast Dr UNIT 11, Imperial Beach, CA 91932",$325/month,Condo,https://www.zillow.com/homedetails/1220-Seacoast-Dr-UNIT-11-Imperial-Beach-CA-91932/64836902_zpid/,Condo for sale,null,null,1 space,"$525,000","$2,225/mo",909,CA,1220 Seacoast Dr UNIT 11,1972,"$525,159",$578,91932
