City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,2 Beds,4 Beds,1 Bed,5 Beds
Santa Rosa,Townhomes,CA,95409,"[{'bedroom_type': '2 Beds', 'price': '$2,30'}]","Santa Rosa, CA 95409",https://www.apartments.com/390-los-alamos-rd-santa-rosa-ca/4fe9kwl/,2 BAs,"1,220 Sq Ft","1,220",12 Month Lease,Available Now,,"$2,30",,,
Morro Bay,Townhomes,CA,93442,"[{'bedroom_type': '3 Beds', 'price': '$2,90'}]","Morro Bay, CA 93442",https://www.apartments.com/2560-main-st-morro-bay-ca/5wm814n/,2 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,"$2,90",,,,
Big Bear,Townhomes,CA,92314,"[{'bedroom_type': '2 Beds', 'price': '$2,20'}]","Big Bear, CA 92314",https://www.apartments.com/880-summit-blvd-big-bear-ca/3xpxv0e/,2 BAs,"1,200 Sq Ft","1,200",1 Month Lease,Apr 1,,"$2,20",,,
Los Angeles,Townhomes,CA,90034,"[{'bedroom_type': '2 Beds', 'price': '$5,50'}]","3638 Hughes Ave, Los Angeles, CA 90034",https://www.apartments.com/3638-hughes-ave-los-angeles-ca/5etjcfq/,2½ BAs,"1,500 Sq Ft","1,500",6 Month Lease,Available Now,,"$5,50",,,
Los Angeles,Townhomes,CA,90025,"[{'bedroom_type': '2 Beds', 'price': '$3,50'}]","1655 Greenfield Ave, Los Angeles, CA 90025",https://www.apartments.com/1655-greenfield-ave-los-angeles-ca/9780ll6/,2½ BAs,"1,151 Sq Ft","1,151",12 Month Lease,Available Now,,"$3,50",,,
Los Angeles,Townhomes,CA,90016,"[{'bedroom_type': '3 Beds', 'price': '$2,75'}]","Los Angeles, CA 90016",https://www.apartments.com/2937-s-rimpau-blvd-los-angeles-ca/ev4s10m/,1½ BAs,"1,372 Sq Ft","1,372",,Available Now,"$2,75",,,,
San Rafael,Townhomes,CA,94903,"[{'bedroom_type': '4 Beds', 'price': '$4,30'}]","San Rafael, CA 94903",https://www.apartments.com/6-pueblo-dr-san-rafael-ca/qz94nsx/,2½ BAs,"1,575 Sq Ft","1,575",12 Month Lease,Available Now,,,"$4,30",,
Los Angeles,Townhomes,CA,90007,"[{'bedroom_type': '3 Beds', 'price': '$4,20'}]","Los Angeles, CA 90007",https://www.apartments.com/1130-w-36th-pl-los-angeles-ca/t0eq489/,3 BAs,"1,998 Sq Ft","1,998",,Available Now,"$4,20",,,,
Los Angeles,Townhomes,CA,90016,"[{'bedroom_type': '4 Beds', 'price': '$4,10'}]","Los Angeles, CA 90016",https://www.apartments.com/2408-s-redondo-blvd-los-angeles-ca/es9rftp/,3 BAs,"1,650 Sq Ft","1,650",12 Month Lease,Available Now,,,"$4,10",,
Sunnyvale,Townhomes,CA,94085,"[{'bedroom_type': '3 Beds', 'price': '$4,12'}]","Sunnyvale, CA 94085",https://www.apartments.com/382-santa-elena-ter-sunnyvale-ca/eb14g5q/,3 BAs,"1,447 Sq Ft","1,447",12 Month Lease,Available Now,"$4,12",,,,
Los Angeles,Townhomes,CA,90025,"[{'bedroom_type': '2 Beds', 'price': '$3,49'}]","Los Angeles, CA 90025",https://www.apartments.com/1846-federal-ave-los-angeles-ca/z4e470x/,2 BAs,946 Sq Ft,946,,Available Now,,"$3,49",,,
San Jose,Townhomes,CA,95136,"[{'bedroom_type': '2 Beds', 'price': '$2,80'}]","San Jose, CA 95136",https://www.apartments.com/458-marble-arch-ave-san-jose-ca/w5z128h/,2½ BAs,"1,057 Sq Ft","1,057",12 Month Lease,Available Now,,"$2,80",,,
Los Angeles,Townhomes,CA,90025,"[{'bedroom_type': '1 Bed', 'price': '$1,29'}]","Los Angeles, CA 90025",https://www.apartments.com/2014-colby-ave-los-angeles-ca/77cxtzx/,1 BA,200 Sq Ft,200,12 Month Lease,Available Now,,,,"$1,29",
Los Angeles,Townhomes,CA,90044,"[{'bedroom_type': '2 Beds', 'price': '$2,15'}]","Los Angeles, CA 90044",https://www.apartments.com/522-w-82nd-st-los-angeles-ca/9kxcf37/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,"$2,15",,,
Manhattan Beach,Townhomes,CA,90266,"[{'bedroom_type': '3 Beds', 'price': '$4,70'}]","Manhattan Beach, CA 90266",https://www.apartments.com/405-20th-pl-manhattan-beach-ca/72vsshy/,3 BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,"$4,70",,,,
