City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,2 Beds,4 Beds,1 Bed,Studio,6 Beds,5 Beds
Culver City,Houses,CA,90232,"[{'bedroom_type': '3 Beds', 'price': '$3,50'}]","Culver City, CA 90232",https://www.apartments.com/4220-duquesne-ave-culver-city-ca/5p6by7p/,2 BAs,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,"$3,50",,,,,,
Tustin,Houses,CA,92782,"[{'bedroom_type': '1 Bed', 'price': '$1,85'}]","Tustin, CA 92782",https://www.apartments.com/233-downs-rd-tustin-ca/bln15pc/,1 BA,425 Sq Ft,425,12 Month Lease,Available Now,,,,"$1,85",,,
Mountain View,Houses,CA,94041,"[{'bedroom_type': '4 Beds', 'price': '$6,25'}]","Mountain View, CA 94041",https://www.apartments.com/458-s-shoreline-blvd-mountain-view-ca/c3s8xge/,3 BAs,"2,264 Sq Ft","2,264",12 Month Lease,Oct 19,,,"$6,25",,,,
Los Angeles,Houses,CA,90062,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","Los Angeles, CA 90062",https://www.apartments.com/5027-dalton-ave-los-angeles-ca/21km4x8/,1 BA,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,,"$2,50",,,,,
Palo Alto,Houses,CA,94306,"[{'bedroom_type': '4 Beds', 'price': '$5,99'}]","Palo Alto, CA 94306",https://www.apartments.com/3793-la-donna-ave-palo-alto-ca/mqpvczj/,2½ BAs,"1,800 Sq Ft","1,800",12 Month Lease,Available Now,,,"$5,99",,,,
Oakland,Houses,CA,94608,"[{'bedroom_type': '2 Beds', 'price': '$3,20'}]","Oakland, CA 94608",https://www.apartments.com/811-31st-st-oakland-ca/zl5rjww/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,"$3,20",,,,,
Palo Alto,Houses,CA,94303,"[{'bedroom_type': '3 Beds', 'price': '$4,35'}]","Palo Alto, CA 94303",https://www.apartments.com/831-colorado-ave-palo-alto-ca/f81sjev/,2 BAs,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,"$4,35",,,,,,
West Hollywood,Houses,CA,90069,"[{'bedroom_type': '1 Bed', 'price': '$2,35'}]","West Hollywood, CA 90069",https://www.apartments.com/8953-norma-pl-west-hollywood-ca/fr91wwv/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,,,"$2,35",,,
Los Angeles,Houses,CA,90019,"[{'bedroom_type': 'Studio', 'price': '$2,20'}]","Los Angeles, CA 90019",https://www.apartments.com/1011-s-hudson-ave-los-angeles-ca/bnc4ebc/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,,,,,"$2,20",,
Topanga,Houses,CA,90290,"[{'bedroom_type': '1 Bed', 'price': '$3,20'}]","Topanga, CA 90290",https://www.apartments.com/22072-topanga-school-rd-topanga-ca/w6e5ewh/,1 BA,750 Sq Ft,750,12 Month Lease,Oct 30,,,,"$3,20",,,
Los Angeles,Houses,CA,90046,"[{'bedroom_type': '2 Beds', 'price': '$3,20'}]","Los Angeles, CA 90046",https://www.apartments.com/715-n-la-jolla-ave-los-angeles-ca/ghwcppy/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,"$3,20",,,,,
Santa Monica,Houses,CA,90405,"[{'bedroom_type': '3 Beds', 'price': '$8,75'}]","420 Ocean Park Blvd, Santa Monica, CA 90405",https://www.apartments.com/420-ocean-park-blvd-santa-monica-ca/23l2sz9/,3 BAs,"2,075 Sq Ft","2,075",12 Month Lease,Oct 31,"$8,75",,,,,,
Hanford,Houses,CA,93230,"[{'bedroom_type': '3 Beds', 'price': '$1,85'}]","Hanford, CA 93230",https://www.apartments.com/1815-bella-oaks-way-hanford-ca/sq35qr7/,2½ BAs,"1,699 Sq Ft","1,699",12 Month Lease,Nov 1,"$1,85",,,,,,
Burbank,Houses,CA,91505,"[{'bedroom_type': '3 Beds', 'price': '$4,65'}]","Burbank, CA 91505",https://www.apartments.com/707-n-priscilla-ln-burbank-ca/8vmzg13/,2 BAs,1 Sq Ft,1,12 Month Lease,Available Now,"$4,65",,,,,,
Redondo Beach,Houses,CA,90277,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]","Redondo Beach, CA 90277",https://www.apartments.com/517-n-irena-ave-redondo-beach-ca/gthq2fz/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,"$2,800",,,,,
