City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,4 Beds,1 Bed,Studio,3 Beds
Woodland Hills,Condos,CA,91367,"[{'bedroom_type': '2 Beds', 'price': '$2,22'}]","5535 Canoga Ave, Woodland Hills, CA 91367",https://www.apartments.com/5535-canoga-ave-woodland-hills-ca-unit-225/6br8y7t/,2 BAs,"980 - 1,000 Sq Ft",980,12 Month Lease,Available Now,"$2,22",,,,
San Diego,Condos,CA,92128,"[{'bedroom_type': '2 Beds', 'price': '$2,40'}]","San Diego, CA 92128",https://www.apartments.com/12178-rancho-bernardo-rd-san-diego-ca-unit-b/l7y8wne/,2 BAs,"1,091 Sq Ft","1,091",12 Month Lease,Available Now,"$2,40",,,,
Diamond Bar,Condos,CA,91765,"[{'bedroom_type': '2 Beds', 'price': '$2,00'}]","Diamond Bar, CA 91765",https://www.apartments.com/901-golden-springs-dr-diamond-bar-ca-unit-f12/f8mx4lv/,2 BAs,926 Sq Ft,926,12 Month Lease,Available Now,"$2,00",,,,
Long Beach,Condos,CA,90802,"[{'bedroom_type': 'Studio', 'price': '$1,08'}]","Long Beach, CA 90802",https://www.apartments.com/335-pacific-ave-long-beach-ca/ppmgpbt/,1 BA,200 Sq Ft,200,1 Month Lease,Available Now,,,,"$1,08",
San Diego,Condos,CA,92113,"[{'bedroom_type': '2 Beds', 'price': '$1,79'}]","San Diego, CA 92113",https://www.apartments.com/3662-beta-st-san-diego-ca/9ywtwr4/,1 BA,676 Sq Ft,676,12 Month Lease,Available Now,"$1,79",,,,
Malibu,Condos,CA,90265,"[{'bedroom_type': '1 Bed', 'price': '$4,35'}]","Malibu, CA 90265",https://www.apartments.com/28711-pacific-coast-hwy-malibu-ca-unit-25/4wrncqk/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,,"$4,35",,
Los Angeles,Condos,CA,90004,"[{'bedroom_type': '2 Beds', 'price': '$2,20'}]","Los Angeles, CA 90004",https://www.apartments.com/5033-w-maplewood-ave-los-angeles-ca/h0mwf51/,1½ BAs,1 Sq Ft,1,12 Month Lease,Available Now,"$2,20",,,,
Malibu,Condos,CA,90265,"[{'bedroom_type': '2 Beds', 'price': '$6,50'}]","Malibu, CA 90265",https://www.apartments.com/23908-de-ville-way-malibu-ca-unit-a/6jwq7ns/,2 BAs,"1,360 Sq Ft","1,360",12 Month Lease,Available Now,"$6,50",,,,
Mountain Center,Condos,CA,92561,"[{'bedroom_type': '1 Bed', 'price': '$90'}]","56250 Las Rocas, Mountain Center, CA 92561",https://www.apartments.com/56250-las-rocas-mountain-center-ca/dxvq4ll/,1 BA,650 Sq Ft,650,12 Month Lease,Oct 17,,,$90,,
National City,Condos,CA,91950,"[{'bedroom_type': '2 Beds', 'price': '$1,80'}]","National City, CA 91950",https://www.apartments.com/331-e-5th-st-national-city-ca/s3f0r47/,1 BA,950 Sq Ft,950,12 Month Lease,Available Now,"$1,80",,,,
