City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,4 Beds,2 Beds,3 Beds,1 Bed,Studio,5 Beds,1 – 3 Beds,6 Beds
San Francisco,Houses,CA,94132,"[{'bedroom_type': '1 Bed', 'price': '$90'}]","San Francisco, CA 94132",https://www.apartments.com/46-niantic-ave-san-francisco-ca/609tres/,1 BA,144 Sq Ft,144,12 Month Lease,Available Now,,,,$90,,,,
Santa Monica,Houses,CA,90405,"[{'bedroom_type': '4 Beds', 'price': '$11,00'}]","Santa Monica, CA 90405",https://www.apartments.com/154-fraser-ave-santa-monica-ca/j6q6y94/,2 BAs,"1,800 Sq Ft","1,800",12 Month Lease,Nov 1,"$11,00",,,,,,,
Los Angeles,Houses,CA,90028,"[{'bedroom_type': '3 Beds', 'price': '$6,50'}]","Los Angeles, CA 90028",https://www.apartments.com/1302-n-las-palmas-ave-los-angeles-ca/kqeysq8/,2 BAs,"1,800 Sq Ft","1,800",1 Month Lease,Jan 1,,,"$6,50",,,,,
Alhambra,Houses,CA,91801,"[{'bedroom_type': '2 Beds', 'price': '$3,00'}]","Alhambra, CA 91801",https://www.apartments.com/59-hampden-ter-alhambra-ca/4wfxswk/,1 BA,"1,464 Sq Ft","1,464",12 Month Lease,Oct 7,,"$3,00",,,,,,
Santa Monica,Houses,CA,90405,"[{'bedroom_type': '4 Beds', 'price': '$7,75'}]","Santa Monica, CA 90405",https://www.apartments.com/1807-pier-ave-santa-monica-ca/mdyellj/,4 BAs,"2,500 Sq Ft","2,500",12 Month Lease,Available Now,"$7,75",,,,,,,
Van Nuys,Houses,CA,91411,"[{'bedroom_type': '2 Beds', 'price': '$2,00'}]","Van Nuys, CA 91411",https://www.apartments.com/5909-cedros-ave-van-nuys-ca/rkh03d2/,1 BA,900 Sq Ft,900,24 Month Lease,Available Now,,"$2,00",,,,,,
Oakland,Houses,CA,94607,"[{'bedroom_type': '3 Beds', 'price': '$4,00'}]","Oakland, CA 94607",https://www.apartments.com/352-peralta-st-oakland-ca/zt2hrfy/,2 BAs,"1,000 Sq Ft","1,000",,Available Now,,,"$4,00",,,,,
Los Angeles,Houses,CA,90066,"[{'bedroom_type': '4 Beds', 'price': '$7,50'}]","12566 Woodbine St, Los Angeles, CA 90066",https://www.apartments.com/12566-woodbine-st-los-angeles-ca/r4xb770/,4 BAs,"2,450 Sq Ft","2,450",12 Month Lease,Oct 10,"$7,50",,,,,,,
Los Angeles,Houses,CA,90038,"[{'bedroom_type': '2 Beds', 'price': '$3,75'}]","6608 Waring Ave, Los Angeles, CA 90038",https://www.apartments.com/6608-waring-ave-los-angeles-ca/59z7zdq/,1 BA,"1,350 Sq Ft","1,350",12 Month Lease,Available Now,,"$3,75",,,,,,
Los Angeles,Houses,CA,91436,"[{'bedroom_type': '3 Beds', 'price': '$3,40'}]","4855 Haskell Ave, Los Angeles, CA 91436",https://www.apartments.com/4855-haskell-ave-los-angeles-ca/g006qcz/,2 BAs,"1,324 Sq Ft","1,324",6 Month Lease,Oct 11,,,"$3,40",,,,,
Los Angeles,Houses,CA,91303,"[{'bedroom_type': '2 Beds', 'price': '$2,25'}]","Los Angeles, CA 91303",https://www.apartments.com/7445-jordan-ave-los-angeles-ca/ydxz3kv/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,"$2,25",,,,,,
Los Angeles,Houses,CA,91606,"[{'bedroom_type': '1 Bed', 'price': '$2,50'}]","Los Angeles, CA 91606",https://www.apartments.com/6725-st-clair-ave-los-angeles-ca/zth6cnx/,1 BA,700 Sq Ft,700,6 Month Lease,Available Now,,,,"$2,50",,,,
Calabasas,Houses,CA,91302,"[{'bedroom_type': '5 Beds', 'price': '$11,00'}]","Calabasas, CA 91302",https://www.apartments.com/24935-bella-vista-dr-calabasas-ca/0cb36y1/,5 BAs,"5,000 Sq Ft","5,000",12 Month Lease,Available Now,,,,,,"$11,00",,
