Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Zillow_price/sqft,House_website
,"$439,000","5250 Premiere Hills Cir APT 102, Woodland Hills, CA 91364",5250 Premiere Hills Cir APT 102,WoodlandHills,CA,91364,1,1,840,5.59 Acres,243500.4,Townhouse,2000,"Garage - Attached, Covered",$320/mo,"$439,003",$523,https://www.zillow.com/homedetails/5250-Premiere-Hills-Cir-APT-102-Woodland-Hills-CA-91364/63787981_zpid/
,"$575,000","18001 Sunol Rd, Hayward, CA 94541",18001 Sunol Rd,Hayward,CA,94541,2,3,"1,270",923 sqft,923.0,Townhouse,1973,"Garage - Attached, Covered",$415/mo,"$602,302",$453,https://www.zillow.com/homedetails/18001-Sunol-Rd-Hayward-CA-94541/24976902_zpid/
,"$469,900","2601 E 19th St APT 17, Signal Hill, CA 90755",2601 E 19th St APT 17,SignalHill,CA,90755,2,3,"1,266",0.91 Acres,39639.6,Townhouse,1981,Covered,$398/mo,"$477,494",$371,https://www.zillow.com/homedetails/2601-E-19th-St-APT-17-Signal-Hill-CA-90755/21199285_zpid/
,"$779,000","11780 Moorpark St UNIT A, Los Angeles, CA 91604",11780 Moorpark St UNIT A,LosAngeles,CA,91604,2,3,"1,506",12.47 Acres,543193.2,Townhouse,1974,"Garage - Attached, Covered",$590/mo,"$779,006",$517,https://www.zillow.com/homedetails/11780-Moorpark-St-UNIT-A-Los-Angeles-CA-91604/20026820_zpid/
,"$769,000","147 Claremont Ter, Santa Cruz, CA 95060",147 Claremont Ter,SantaCruz,CA,95060,3,3,"1,536","1,089 sqft",1089.0,Townhouse,1995,"Garage, Garage - Attached",$325/mo,"$769,856",$501,https://www.zillow.com/homedetails/147-Claremont-Ter-Santa-Cruz-CA-95060/16109215_zpid/
,"$441,990+","Residence One Plan, The Landings : Waypoint",Residence One Plan,TheLandings:Waypoint,null,null,3,3,"1,463",No Data,null,Townhouse,2021,Covered,null,null,$302,https://www.zillow.com/community/landings-waypoint/2082500933_zpid/
,"$517,500+","Plan 5 Plan, Solmar",Plan 5 Plan,Solmar,null,null,4,4,"1,915",No Data,null,Townhouse,2021,Covered,$305/mo,null,$270,https://www.zillow.com/community/solmar/2080883566_zpid/
,"$1,995,000","1927 19th St #B, Santa Monica, CA 90404",1927 19th St #B,SantaMonica,CA,90404,4,5,"2,770",No Data,null,Townhouse,2020,"Garage - Attached, Covered",$300/mo,"$1,964,035",$720,https://www.zillow.com/homedetails/1927-19th-St-B-Santa-Monica-CA-90404/2077426432_zpid/
,"$508,000","1304 S Mayflower Ave #A, Monrovia, CA 91016",1304 S Mayflower Ave #A,Monrovia,CA,91016,2,2,"1,009",0.56 Acres,24393.6,Townhouse,1986,"Garage - Attached, Covered",$315/mo,"$514,597",$503,https://www.zillow.com/homedetails/1304-S-Mayflower-Ave-A-Monrovia-CA-91016/21579605_zpid/
,"$455,000+","Residence 4 Plan, Hazel at The Preserve in Chino",Residence 4 Plan,HazelatThePreserveinChino,null,null,3,4,"1,904",No Data,null,Townhouse,2021,Covered,null,null,$239,https://www.zillow.com/community/hazel-at-preserve-in-chino/2080511497_zpid/
