Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
House for sale,"$639,900","2321 Bloomfield Ln, Corona, CA 92882",2321 Bloomfield Ln ,Corona,CA,92882,33.867384,-117.616573,"2,182","5,662 sqft",5662.0,Single Family,1989,6 spaces,None,$293,"$639,904","$2,943/mo",https://www.zillow.com/homedetails/2321-Bloomfield-Ln-Corona-CA-92882/17763260_zpid/
House for sale,"$399,900","3359 Jaguar Ct, Rosamond, CA 93560",3359 Jaguar Ct ,Rosamond,CA,93560,34.864689,-118.191173,"2,996","6,969 sqft",6969.0,Single Family,2016,2 spaces,null,$133,"$399,901","$2,300/mo",https://www.zillow.com/homedetails/3359-Jaguar-Ct-Rosamond-CA-93560/95467523_zpid/
House for sale,"$1,995,000","8130 Gould Ave, Los Angeles, CA 90046",8130 Gould Ave ,Los Angeles,CA,90046,34.105611,-118.368552,"1,776","5,131 sqft",5131.0,Single Family,1962,4 spaces,null,"$1,123","$1,986,039","$8,159/mo",https://www.zillow.com/homedetails/8130-Gould-Ave-Los-Angeles-CA-90046/20797632_zpid/
House for sale,"$240,000","18254 Alder St, Hesperia, CA 92345",18254 Alder St ,Hesperia,CA,92345,34.462472,-117.26517,"1,176",0.99 acres,43124.4,Single Family,1983,2 spaces,None,$204,"$241,764","$1,400/mo",https://www.zillow.com/homedetails/18254-Alder-St-Hesperia-CA-92345/17436856_zpid/
House for sale,"$295,000","30550 Sierra Del Sol, Thousand Palms, CA 92276",30550 Sierra Del Sol ,Thousand Palms,CA,92276,33.827127,-116.387982,"1,100",0.41 acres,17859.6,Single Family,1986,2 spaces,null,$268,"$291,912","$2,000/mo",https://www.zillow.com/homedetails/30550-Sierra-Del-Sol-Thousand-Palms-CA-92276/18106899_zpid/
House for sale,"$478,000","17450 Pear St, Fontana, CA 92337",17450 Pear St ,Fontana,CA,92337,34.051919,-117.423594,"2,032","7,300 sqft",7300.0,Single Family,2001,2 spaces,None,$235,"$480,228","$2,550/mo",https://www.zillow.com/homedetails/17450-Pear-St-Fontana-CA-92337/55027521_zpid/
House for sale,"$899,990","5920 Walnut Way, Palmdale, CA 93551",5920 Walnut Way ,Palmdale,CA,93551,34.635337,-118.234306,"5,536",0.66 acres,28749.6,Single Family,1986,3 spaces,$35/month,$163,"$895,542","$3,200/mo",https://www.zillow.com/homedetails/5920-Walnut-Way-Palmdale-CA-93551/20277190_zpid/
House for sale,"$399,000","4714 Elkridge Rd, Weed, CA 96094",4714 Elkridge Rd ,Weed,CA,96094,41.530482,-122.386166,"1,939",0.4 acres,17424.0,Single Family,2001,2 spaces,$84/month,$206,null,null,https://www.zillow.com/homedetails/4714-Elkridge-Rd-Weed-CA-96094/15984406_zpid/
House for sale,"$525,000","9418 Mast Blvd, Santee, CA 92071",9418 Mast Blvd ,Santee,CA,92071,32.852513,-116.997134,"1,017","7,501 sqft",7501.0,Single Family,1960,4 spaces,None,$516,"$532,600","$2,600/mo",https://www.zillow.com/homedetails/9418-Mast-Blvd-Santee-CA-92071/16878832_zpid/
House for sale,"$474,900","5759 W Avenue M4, Quartz Hill, CA 93536",5759 W Avenue M4 ,Quartz Hill,CA,93536,34.641934,-118.233721,"2,472","9,583 sqft",9583.0,Single Family,1990,3 spaces,null,$192,"$477,344","$2,800/mo",https://www.zillow.com/homedetails/5759-W-Avenue-M4-Quartz-Hill-CA-93536/20276493_zpid/
