Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
Apartment for sale,"$610,000","10320 Birmingham Way, Rancho Cordova, CA 95670",10320 Birmingham Way ,Rancho Cordova,CA,95670,38.583288,-121.306688,892,null,null,Multi Family,2005,Off street,None,$684,null,null,https://www.zillow.com/homedetails/10320-Birmingham-Way-Rancho-Cordova-CA-95670/25895069_zpid/
Apartment for sale,"$1,050,000","595 Napa Ave, Morro Bay, CA 93442",595 Napa Ave ,Morro Bay,CA,93442,35.363847,-120.847888,"2,100",null,null,Multi Family,1920,4 spaces,null,$500,"$1,019,093","$2,250/mo",https://www.zillow.com/homedetails/595-Napa-Ave-Morro-Bay-CA-93442/2093645542_zpid/
Apartment for sale,"$475,000","1253 W 65th St, Los Angeles, CA 90044",1253 W 65th St ,Los Angeles,CA,90044,33.980851,-118.297755,"1,708",null,null,Multi Family,1924,2 spaces,null,$278,"$475,000","$2,500/mo",https://www.zillow.com/homedetails/1253-W-65th-St-Los-Angeles-CA-90044/20934475_zpid/
For sale by owner,"$475,000","25265 Brown Rd, Willits, CA 95490",25265 Brown Rd ,Willits,CA,95490,39.497441,-123.344392,"3,840",null,null,Multi Family,1982,10 spaces,null,$124,null,null,https://www.zillow.com/homedetails/25265-Brown-Rd-Willits-CA-95490/2078853736_zpid/
For sale by owner,"$495,000","750 Beverly Way, Arcata, CA 95521",750 Beverly Way ,Arcata,CA,95521,40.862458,-124.067011,"2,100",null,null,Multi Family,1983,4 spaces,null,$236,"$478,030","$1,350/mo",https://www.zillow.com/homedetails/750-Beverly-Way-Arcata-CA-95521/205207880_zpid/
Apartment for sale,"$675,000","1020 E 48th St # 3, Los Angeles, CA 90011",1020 E 48th St # 3,Los Angeles,CA,90011,33.999998,-118.25773,"2,450",null,null,Multi Family,1924,2 spaces,None,$276,null,null,https://www.zillow.com/homedetails/1020-E-48th-St-3-Los-Angeles-CA-90011/2078837651_zpid/
Apartment for sale,"$1,600,000","3361 Hamilton Way, Los Angeles, CA 90026",3361 Hamilton Way ,Los Angeles,CA,90026,34.088173,-118.274212,"2,930",null,null,Multi Family,1933,4 spaces,null,$546,"$1,560,000","$2,800/mo",https://www.zillow.com/homedetails/3361-Hamilton-Way-Los-Angeles-CA-90026/20744675_zpid/
Apartment for sale,"$365,000","1185 Olive St, Chico, CA 95928",1185 Olive St ,Chico,CA,95928,39.725709,-121.828449,"1,704",null,null,Multi Family,1970,2 spaces,None,$214,"$365,001","$1,350/mo",https://www.zillow.com/homedetails/1185-Olive-St-Chico-CA-95928/18217958_zpid/
Apartment for sale,"$525,000","2744 Coloma St, Placerville, CA 95667",2744 Coloma St ,Placerville,CA,95667,38.735739,-120.809588,"2,025",null,null,Multi Family,1896,4 spaces,None,$259,"$517,431","$2,300/mo",https://www.zillow.com/homedetails/2744-Coloma-St-Placerville-CA-95667/2098016518_zpid/
Apartment for sale,"$172,000","1407 Mount Vernon Ave, Bakersfield, CA 93306",1407 Mount Vernon Ave ,Bakersfield,CA,93306,35.377847,-118.96725,"1,472",null,null,Multi Family,1946,3 spaces,null,$117,"$170,581","$1,195/mo",https://www.zillow.com/homedetails/1407-Mount-Vernon-Ave-Bakersfield-CA-93306/18935175_zpid/
Apartment for sale,"$650,000","15316 Georgia Ave, Paramount, CA 90723",15316 Georgia Ave ,Paramount,CA,90723,33.894247,-118.155719,"1,966",null,null,Multi Family,1957,4 spaces,null,$331,"$650,001","$2,500/mo",https://www.zillow.com/homedetails/15316-Georgia-Ave-Paramount-CA-90723/21059078_zpid/
Apartment for sale,"$509,000","586 Charlotte Dr, San Marcos, CA 92069",586 Charlotte Dr ,San Marcos,CA,92069,33.148915,-117.164006,"1,488",null,null,Multi Family,1973,2 spaces,None,$342,"$509,389","$2,488/mo",https://www.zillow.com/homedetails/586-Charlotte-Dr-San-Marcos-CA-92069/16669815_zpid/
Apartment for sale,"$1,495,000","2202 Hillcrest Dr, Los Angeles, CA 90016",2202 Hillcrest Dr ,Los Angeles,CA,90016,34.03665,-118.339678,"3,132",null,null,Multi Family,1923,3 spaces,null,$477,"$1,495,011","$2,695/mo",https://www.zillow.com/homedetails/2202-Hillcrest-Dr-Los-Angeles-CA-90016/20595850_zpid/
Apartment for sale,"$480,000","3430 E 2nd St, Los Angeles, CA 90063",3430 E 2nd St ,Los Angeles,CA,90063,34.070259,-118.290703,936,null,null,Multi Family,1926,3 spaces,None,$513,"$481,656","$2,600/mo",https://www.zillow.com/homedetails/3430-E-2nd-St-Los-Angeles-CA-90063/20631614_zpid/
Apartment for sale,"$1,695,000","127-129 Scott St, San Francisco, CA 94117",127-129 Scott St ,San Francisco,CA,94117,37.770917,-122.435555,"1,750",null,null,Multi Family,1900,No Data,null,$969,null,null,https://www.zillow.com/homedetails/127-129-Scott-St-San-Francisco-CA-94117/2078904061_zpid/
Apartment for sale,"$765,000","6417 Gifford Ave, Bell, CA 90201",6417 Gifford Ave ,Bell,CA,90201,33.97824,-118.194315,"2,304",null,null,Multi Family,1924,4 spaces,None,$332,null,null,https://www.zillow.com/homedetails/6417-Gifford-Ave-Bell-CA-90201/136030886_zpid/
Apartment for sale,"$949,000","866 Ventura St, Altadena, CA 91001",866 Ventura St ,Altadena,CA,91001,34.193362,-118.167239,"1,811",null,null,Multi Family,1948,8 spaces,None,$524,"$952,283","$2,500/mo",https://www.zillow.com/homedetails/866-Ventura-St-Altadena-CA-91001/20907319_zpid/
Apartment for sale,"$1,495,000","47-49 Henry St, San Francisco, CA 94114",47-49 Henry St ,San Francisco,CA,94114,37.766491,-122.432157,"2,716",null,null,Multi Family,1903,Attached Garage,null,$550,null,null,https://www.zillow.com/homedetails/47-49-Henry-St-San-Francisco-CA-94114/2078926568_zpid/
Apartment for sale,"$598,000","760 E 43rd Pl, Los Angeles, CA 90011",760 E 43rd Pl ,Los Angeles,CA,90011,34.004551,-118.262246,"2,240",null,null,Multi Family,1922,4 spaces,null,$267,"$598,003","$2,450/mo",https://www.zillow.com/homedetails/760-E-43rd-Pl-Los-Angeles-CA-90011/20619639_zpid/
Apartment for sale,"$950,000","2854 Nw Partridge Ave, Los Angeles, CA 90039",2854 NW Partridge Ave ,Los Angeles,CA,90039,34.104096,-118.24714,"1,440",null,null,Multi Family,1956,6 spaces,null,$660,null,null,https://www.zillow.com/homedetails/2854-NW-Partridge-Ave-Los-Angeles-CA-90039/2078854254_zpid/
Apartment for sale,"$675,000","2950 E 60th Pl, Huntington Park, CA 90255",2950 E 60th Pl ,Huntington Park,CA,90255,33.985937,-118.21565,"2,481",null,null,Multi Family,1974,5 spaces,null,$272,"$675,005","$2,500/mo",https://www.zillow.com/homedetails/2950-E-60th-Pl-Huntington-Park-CA-90255/21067745_zpid/
Apartment for sale,"$799,000","1229 13th Ave, Oakland, CA 94606",1229 13th Ave ,Oakland,CA,94606,37.789707,-122.24778,"2,425",null,null,Multi Family,1915,On street,null,$329,"$813,672","$2,950/mo",https://www.zillow.com/homedetails/1229-13th-Ave-Oakland-CA-94606/24757988_zpid/
Apartment for sale,"$549,900","4440 Crocker St, Los Angeles, CA 90011",4440 Crocker St ,Los Angeles,CA,90011,34.00264,-118.268454,"1,359",null,null,Multi Family,1920,No Data,null,$405,null,null,https://www.zillow.com/homedetails/4440-Crocker-St-Los-Angeles-CA-90011/20616882_zpid/
Apartment for sale,"$1,495,000","1029 Anza St, San Francisco, CA 94118",1029 Anza St ,San Francisco,CA,94118,37.779098,-122.459348,"2,300",null,null,Multi Family,1905,Attached Garage,null,$650,null,null,https://www.zillow.com/homedetails/1029-Anza-St-San-Francisco-CA-94118/2078957933_zpid/
For sale by owner,"$270,000","392 N Fruit Ave, Fresno, CA 93706",392 N Fruit Ave ,Fresno,CA,93706,36.652377,-119.918206,"2,496",null,null,Multi Family,1950,No Data,None,$108,null,null,https://www.zillow.com/homedetails/392-N-Fruit-Ave-Fresno-CA-93706/2080149679_zpid/
Apartment for sale,"$944,900","2747 S Mansfield Ave, Los Angeles, CA 90016",2747 S Mansfield Ave ,Los Angeles,CA,90016,34.029481,-118.353674,"1,650",null,null,Multi Family,1924,No Data,null,$573,"$944,901","$3,400/mo",https://www.zillow.com/homedetails/2747-S-Mansfield-Ave-Los-Angeles-CA-90016/20588948_zpid/
Apartment for sale,"$435,000","26351 Baseline St, Highland, CA 92346",26351 Baseline St ,Highland,CA,92346,34.120792,-117.229539,"2,999",null,null,Multi Family,1929,12 spaces,None,$145,"$388,469","$2,000/mo",https://www.zillow.com/homedetails/26351-Baseline-St-Highland-CA-92346/68964285_zpid/
Apartment for sale,"$499,900","924 W 151st St, Compton, CA 90220",924 W 151st St ,Compton,CA,90220,33.894931,-118.240493,"1,514",null,null,Multi Family,1948,2 spaces,None,$330,"$500,870","$2,400/mo",https://www.zillow.com/homedetails/924-W-151st-St-Compton-CA-90220/21005597_zpid/
Apartment for sale,"$600,000","1648 W 105th St, Los Angeles, CA 90047",1648 W 105th St ,Los Angeles,CA,90047,33.940662,-118.306502,"1,752",null,null,Multi Family,1924,6 spaces,null,$342,"$644,743","$2,410/mo",https://www.zillow.com/homedetails/1648-W-105th-St-Los-Angeles-CA-90047/20964302_zpid/
