Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
Condo for sale,"$429,900","13405-212 Avenida Santa Tecla # B, La Mirada, CA 90638",13405-212 Avenida Santa Tecla # B,La Mirada,CA,90638,33.909749,-117.990329,"1,060",null,null,Condo,1975,2 spaces,$405/month,$406,null,null,https://www.zillow.com/homedetails/13405-212-Avenida-Santa-Tecla-B-La-Mirada-CA-90638/2078837863_zpid/
Condo for sale,"$749,900","3201 Larkspur St # 84, Tustin, CA 92782",3201 Larkspur St # 84,Tustin,CA,92782,33.696246,-117.814759,"1,708",null,null,Condo,2010,2 spaces,$160/month,$439,"$740,616","$3,200/mo",https://www.zillow.com/homedetails/3201-Larkspur-St-84-Tustin-CA-92782/118263525_zpid/
Condo for sale,"$589,880","114 Neptune, Irvine, CA 92618",114 Neptune ,Irvine,CA,92618,33.699155,-117.731824,"1,354",null,null,Condo,2014,2 spaces,$176/month,$436,"$586,541","$2,900/mo",https://www.zillow.com/homedetails/114-Neptune-Irvine-CA-92618/145646380_zpid/
Condo for sale,"$729,000","414 E Valencia Ave Unit 308, Burbank, CA 91501",414 E Valencia Ave Unit 308,Burbank,CA,91501,34.165558,-118.310491,"1,400",null,null,Condo,2006,No Data,$399/month,$521,"$664,555","$3,000/mo",https://www.zillow.com/homedetails/414-E-Valencia-Ave-UNIT-308-Burbank-CA-91501/82879815_zpid/
Condo for sale,"$399,000","106 Graeagle Ct, Roseville, CA 95678",106 Graeagle Ct ,Roseville,CA,95678,38.760825,-121.283658,"1,674",null,null,Condo,1995,2 spaces,$417/month,$238,"$399,001","$2,195/mo",https://www.zillow.com/homedetails/106-Graeagle-Ct-Roseville-CA-95678/17657419_zpid/
Condo for sale,"$275,000","41410 Juniper St Unit 1024, Murrieta, CA 92562",41410 Juniper St Unit 1024,Murrieta,CA,92562,33.557394,-117.203811,"1,235",null,null,Condo,2005,2 spaces,$224/month,$223,"$275,000","$1,695/mo",https://www.zillow.com/homedetails/41410-Juniper-St-UNIT-1024-Murrieta-CA-92562/69289257_zpid/
Condo for sale,"$575,000","118 Mangano Cir, Encinitas, CA 92024",118 Mangano Cir ,Encinitas,CA,92024,33.05039,-117.286436,939,null,null,Condo,1985,2 spaces,$335/month,$612,"$570,153","$2,400/mo",https://www.zillow.com/homedetails/118-Mangano-Cir-Encinitas-CA-92024/16718098_zpid/
Condo for sale,"$317,777","41960 Davenport Way Unit A, Murrieta, CA 92562",41960 Davenport Way Unit A,Murrieta,CA,92562,33.563734,-117.224404,"1,630",null,null,Condo,2004,2 spaces,$217/month,$195,"$317,777","$2,000/mo",https://www.zillow.com/homedetails/41960-Davenport-Way-UNIT-A-Murrieta-CA-92562/64509784_zpid/
Condo for sale,"$599,000","101 Westlake Cir, Palm Springs, CA 92264",101 Westlake Cir ,Palm Springs,CA,92264,33.799442,-116.502615,"2,496",null,null,Condo,1967,1 space,"$1,010/month",$240,"$581,152","$2,995/mo",https://www.zillow.com/homedetails/101-Westlake-Cir-Palm-Springs-CA-92264/18134211_zpid/
Condo for sale,"$511,000","288 Riverdale Ct Apt 1220, Camarillo, CA 93012",288 Riverdale Ct Apt 1220,Camarillo,CA,93012,34.211515,-119.025717,"1,674",null,null,Condo,2006,2 spaces,$469/month,$305,"$495,155","$2,895/mo",https://www.zillow.com/homedetails/288-Riverdale-Ct-APT-1220-Camarillo-CA-93012/70591952_zpid/
Condo for sale,"$600,000","2610 Torrey Pines Rd Apt C22, La Jolla, CA 92037",2610 Torrey Pines Rd Apt C22,La Jolla,CA,92037,32.852002,-117.247422,"1,204",null,null,Condo,1966,1 space,$567/month,$498,"$499,811","$2,595/mo",https://www.zillow.com/homedetails/2610-Torrey-Pines-Rd-APT-C22-La-Jolla-CA-92037/16839467_zpid/
Condo for sale,"$389,000","11183 Kelowna Rd Apt 34, San Diego, CA 92126",11183 Kelowna Rd Apt 34,San Diego,CA,92126,32.926792,-117.140266,920,null,null,Condo,1977,2 spaces,$440/month,$423,"$389,003","$2,299/mo",https://www.zillow.com/homedetails/11183-Kelowna-Rd-APT-34-San-Diego-CA-92126/16781946_zpid/
Condo for sale,"$310,000","2396 N Main St Unit D, Salinas, CA 93906",2396 N Main St Unit D,Salinas,CA,93906,36.732307,-121.655647,"1,244",null,null,Condo,1960,Carport,$535/month,$249,"$306,436","$2,400/mo",https://www.zillow.com/homedetails/2396-N-Main-St-UNIT-D-Salinas-CA-93906/19380614_zpid/
Condo for sale,"$324,900","37302 Paseo Tulipa, Murrieta, CA 92563",37302 Paseo Tulipa ,Murrieta,CA,92563,33.578838,-117.10333,"1,363",null,null,Condo,2013,2 spaces,$150/month,$238,"$321,186","$2,100/mo",https://www.zillow.com/homedetails/37302-Paseo-Tulipa-Murrieta-CA-92563/122430870_zpid/
