Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,House_type,House_website
Apartment for sale,"$739,000","1404 D St, Sacramento, CA 95814",1404 D St,Sacramento,CA,95814,7,--,"1,977",Multi Family,https://www.zillow.com/homedetails/1404-D-St-Sacramento-CA-95814/25777501_zpid/
Apartment for sale,"$930,000","360 Harloe Ave, Pismo Beach, CA 93449",360 Harloe Ave,PismoBeach,CA,93449,4,4,"2,518",Multi Family,https://www.zillow.com/homedetails/360-Harloe-Ave-Pismo-Beach-CA-93449/2078877436_zpid/
Apartment for sale,"$630,000","4617 Twining St, Los Angeles, CA 90032",4617 Twining St,LosAngeles,CA,90032,6,2,"1,848",Multi Family,https://www.zillow.com/homedetails/4617-Twining-St-Los-Angeles-CA-90032/20639298_zpid/
Apartment for sale,"$569,900","522 N 12th St, Santa Paula, CA 93060",522 N 12th St,SantaPaula,CA,93060,5,3,"2,382",Multi Family,https://www.zillow.com/homedetails/522-N-12th-St-Santa-Paula-CA-93060/16342691_zpid/
Apartment for sale,"$189,995","3143 Lakeshore Blvd, Lakeport, CA 95453",3143 Lakeshore Blvd,Lakeport,CA,95453,3,3,"1,600",Multi Family,https://www.zillow.com/homedetails/3143-Lakeshore-Blvd-Lakeport-CA-95453/2142750447_zpid/
Apartment for sale,"$379,999","3700 S San Pedro St, Los Angeles, CA 90011",3700 S San Pedro St,LosAngeles,CA,90011,3,3,"1,280",Multi Family,https://www.zillow.com/homedetails/3700-S-San-Pedro-St-Los-Angeles-CA-90011/20622150_zpid/
Apartment for sale,"$425,000","3836 N Thorne Ave, Fresno, CA 93704",3836 N Thorne Ave,Fresno,CA,93704,10,5,"4,064",Multi Family,https://www.zillow.com/homedetails/3836-N-Thorne-Ave-Fresno-CA-93704/2078866901_zpid/
Apartment for sale,"$420,000","15350 Wanaque Rd, Apple Valley, CA 92307",15350 Wanaque Rd,AppleValley,CA,92307,8,4,"3,627",Multi Family,https://www.zillow.com/homedetails/15350-Wanaque-Rd-Apple-Valley-CA-92307/17463910_zpid/
Apartment for sale,"$315,000","380 5th St, Lakeport, CA 95453",380 5th St,Lakeport,CA,95453,3,2,"1,560",Multi Family,https://www.zillow.com/homedetails/380-5th-St-Lakeport-CA-95453/2084929385_zpid/
Apartment for sale,"$335,000","827 W 2nd Ave, Chico, CA 95926",827 W 2nd Ave,Chico,CA,95926,4,2,"1,462",Multi Family,https://www.zillow.com/homedetails/827-W-2nd-Ave-Chico-CA-95926/18241882_zpid/
Apartment for sale,"$695,000","2261 Valley Rd, Willits, CA 95490",2261 Valley Rd,Willits,CA,95490,7,7,"2,279",Multi Family,https://www.zillow.com/homedetails/2261-Valley-Rd-Willits-CA-95490/2079127326_zpid/
Apartment for sale,"$1,450,000","4748 W Elmwood Ave, Los Angeles, CA 90004",4748 W Elmwood Ave,LosAngeles,CA,90004,7,7,"2,750",Multi Family,https://www.zillow.com/homedetails/4748-W-Elmwood-Ave-Los-Angeles-CA-90004/2078867010_zpid/
Apartment for sale,"$1,100,000","4464-68 Alabama St, San Diego, CA 92116",4464-68 Alabama St,SanDiego,CA,92116,3,2,"1,242",Multi Family,https://www.zillow.com/homedetails/4464-68-Alabama-St-San-Diego-CA-92116/295351505_zpid/
Apartment for sale,"$599,900","2483 American River Dr, Sacramento, CA 95825",2483 American River Dr,Sacramento,CA,95825,4,4,"2,638",Multi Family,https://www.zillow.com/homedetails/2483-American-River-Dr-Sacramento-CA-95825/26109169_zpid/
Apartment for sale,"$689,900","441 W Almond St, Compton, CA 90220",441 W Almond St,Compton,CA,90220,6,4,"3,028",Multi Family,https://www.zillow.com/homedetails/441-W-Almond-St-Compton-CA-90220/21006136_zpid/
Apartment for sale,"$172,000","1407 Mount Vernon Ave, Bakersfield, CA 93306",1407 Mount Vernon Ave,Bakersfield,CA,93306,3,2,"1,472",Multi Family,https://www.zillow.com/homedetails/1407-Mount-Vernon-Ave-Bakersfield-CA-93306/18935175_zpid/
For sale by owner,"$270,000","392 N Fruit Ave, Fresno, CA 93706",392 N Fruit Ave,Fresno,CA,93706,7,3,"2,496",Multi Family,https://www.zillow.com/homedetails/392-N-Fruit-Ave-Fresno-CA-93706/2080149679_zpid/
Apartment for sale,"$500,000","72814 Tampico Dr, Palm Desert, CA 92260",72814 Tampico Dr,PalmDesert,CA,92260,6,5,"2,320",Multi Family,https://www.zillow.com/homedetails/72814-Tampico-Dr-Palm-Desert-CA-92260/18099339_zpid/
Apartment for sale,"$340,000","3117 Lemonwood Dr, Lancaster, CA 93536",3117 Lemonwood Dr,Lancaster,CA,93536,4,--,"1,437",Multi Family,https://www.zillow.com/homedetails/3117-Lemonwood-Dr-Lancaster-CA-93536/20282803_zpid/
Apartment for sale,"$1,700,000","1642 Echo Park Ave, Los Angeles, CA 90026",1642 Echo Park Ave,LosAngeles,CA,90026,4,4,"3,003",Multi Family,https://www.zillow.com/homedetails/1642-Echo-Park-Ave-Los-Angeles-CA-90026/20742739_zpid/
Apartment for sale,"$725,000","5628 Craner Ave, North Hollywood, CA 91601",5628 Craner Ave,NorthHollywood,CA,91601,6,4,"2,408",Multi Family,https://www.zillow.com/homedetails/5628-Craner-Ave-North-Hollywood-CA-91601/20040311_zpid/
Apartment for sale,"$1,399,000","2380 Jefferson St, Carlsbad, CA 92008",2380 Jefferson St,Carlsbad,CA,92008,5,5,"3,808",Multi Family,https://www.zillow.com/homedetails/2380-Jefferson-St-Carlsbad-CA-92008/16586363_zpid/
Apartment for sale,"$949,000","828 Edgewood St, Inglewood, CA 90302",828 Edgewood St,Inglewood,CA,90302,4,3,"1,978",Multi Family,https://www.zillow.com/homedetails/828-Edgewood-St-Inglewood-CA-90302/2078879205_zpid/
Apartment for sale,"$570,000","4641 E 53rd St, Maywood, CA 90270",4641 E 53rd St,Maywood,CA,90270,5,3,"1,580",Multi Family,https://www.zillow.com/homedetails/4641-E-53rd-St-Maywood-CA-90270/21069816_zpid/
Apartment for sale,"$1,995,000","1474 S Wooster St, Los Angeles, CA 90035",1474 S Wooster St,LosAngeles,CA,90035,8,6,"4,324",Multi Family,https://www.zillow.com/homedetails/1474-S-Wooster-St-Los-Angeles-CA-90035/2102819906_zpid/
Apartment for sale,"$475,000","146 E Lancaster Blvd, Lancaster, CA 93535",146 E Lancaster Blvd,Lancaster,CA,93535,5,--,"2,790",Multi Family,https://www.zillow.com/homedetails/146-E-Lancaster-Blvd-Lancaster-CA-93535/20296983_zpid/
