Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
Townhouse for sale,"$649,000","21821 Burbank Blvd Unit 159, Los Angeles, CA 91367",21821 Burbank Blvd Unit 159,Los angeles,CA,91367,34.173645,-118.60414,"1,666",11.34 acres,493970.4,Townhouse,1979,2 spaces,$645/month,$390,"$649,000","$3,200/mo",https://www.zillow.com/homedetails/21821-Burbank-Blvd-UNIT-159-Los-Angeles-CA-91367/19930227_zpid/
Townhouse for sale,"$564,500","26592 Dolorosa, Mission Viejo, CA 92691",26592 Dolorosa ,Mission Viejo,CA,92691,33.57646,-117.662771,"1,739","2,204 sqft",2204.0,Townhouse,1976,3 spaces,$393/month,$325,"$559,596","$2,900/mo",https://www.zillow.com/homedetails/26592-Dolorosa-Mission-Viejo-CA-92691/25603826_zpid/
Townhouse for sale,"$1,275,000","17 Chicory Ln, San Carlos, CA 94070",17 Chicory Ln ,San Carlos,CA,94070,37.494959,-122.297327,"1,350",7.83 acres,341074.8,Townhouse,1979,Attached Garage,$610/month,$944,"$1,296,542","$4,200/mo",https://www.zillow.com/homedetails/17-Chicory-Ln-San-Carlos-CA-94070/2143358995_zpid/
Townhouse for sale,"$389,999","6000 Arbutus Ave Unit F, Huntington Park, CA 90255",6000 Arbutus Ave Unit F,Huntington Park,CA,90255,33.986898,-118.214058,"1,269",1.57 acres,68389.2,Townhouse,1983,2 spaces,$248/month,$307,"$394,049","$2,599/mo",https://www.zillow.com/homedetails/6000-Arbutus-Ave-UNIT-F-Huntington-Park-CA-90255/21067922_zpid/
Townhouse for sale,"$939,000","1985 Squaw Valley Rd # 2-412, Olympic Valley, CA 96146",1985 Squaw Valley Rd # 2-412,Olympic Valley,CA,96146,39.196888,-120.235176,,No Data,null,Townhouse,2001,1 space,null,No Data,null,null,https://www.zillow.com/homedetails/1985-Squaw-Valley-Rd-2-412-Olympic-Valley-CA-96146/2080506197_zpid/
Townhouse for sale,"$488,000","1337 Harrison Ln, Brentwood, CA 94513",1337 Harrison Ln ,Brentwood,CA,94513,37.945178,-121.700523,"1,573","1,681 sqft",1681.0,Townhouse,2005,2 spaces,$325/month,$310,"$491,691","$2,600/mo",https://www.zillow.com/homedetails/1337-Harrison-Ln-Brentwood-CA-94513/68039286_zpid/
Townhouse for sale,"$515,000","2040 Los Feliz Dr, Thousand Oaks, CA 91362",2040 Los Feliz Dr ,Thousand Oaks,CA,91362,34.177251,-118.846272,"1,475",871 sqft,871.0,Townhouse,1979,2 spaces,$490/month,$349,"$510,322","$2,800/mo",https://www.zillow.com/homedetails/2040-Los-Feliz-Dr-Thousand-Oaks-CA-91362/16476804_zpid/
Townhouse for sale,"$1,595,000","6775 Las Olas Way, Malibu, CA 90265",6775 Las Olas Way ,Malibu,CA,90265,34.012418,-118.81623,"1,484",11.66 acres,507909.6,Townhouse,1975,2 spaces,"$1,050/month","$1,075","$1,561,693","$5,900/mo",https://www.zillow.com/homedetails/6775-Las-Olas-Way-Malibu-CA-90265/20556893_zpid/
Townhouse for sale,"$566,000","2831 Blossom Ct, El Monte, CA 91733",2831 Blossom Ct ,El Monte,CA,91733,34.062174,-118.034504,"1,490",0.83 acres,36154.8,Townhouse,2018,2 spaces,$146/month,$380,"$568,884","$2,550/mo",https://www.zillow.com/homedetails/2831-Blossom-Ct-El-Monte-CA-91733/250349274_zpid/
Townhouse for sale,"$849,000","1461 Quail View Cir, Walnut Creek, CA 94597",1461 Quail View Cir ,Walnut Creek,CA,94597,37.915886,-122.087449,"2,145","3,781 sqft",3781.0,Townhouse,1984,2 spaces,$370/month,$396,null,null,https://www.zillow.com/homedetails/1461-Quail-View-Cir-Walnut-Creek-CA-94597/18412504_zpid/
