City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,4 Beds,3 Beds,2 Beds,1 Bed,Studio,4+ Beds
8160 Parkside St,Townhomes,Chino,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,350'}]","Chino, CA 91708",https://www.apartments.com/8160-parkside-st-chino-ca/shjvcw4/,3 BAs,"1,539 Sq Ft","1,539",,Available Now,,"$2,350",,,,
219 Avenida De La Grulla,Townhomes,San Clemente,CA,"[{'bedroom_type': '3 Beds', 'price': '$4,300'}]","San Clemente, CA 92672",https://www.apartments.com/219-avenida-de-la-grulla-san-clemente-ca/43mbc3k/,3 BAs,"1,674 Sq Ft","1,674",,Available Now,,"$4,300",,,,
5012 Seashore Dr,Townhomes,Newport Beach,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,200'}]","Newport Beach, CA 92663",https://www.apartments.com/5012-seashore-dr-newport-beach-ca/w1gzz6k/,1 BA,"1,224 Sq Ft","1,224",,Available Now,,,"$3,200",,,
22251 Vista Verde Dr,Townhomes,Lake Forest,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,300'}]","Lake Forest, CA 92630",https://www.apartments.com/22251-vista-verde-dr-lake-forest-ca/qkjmwfy/,3 BAs,"1,348 Sq Ft","1,348",,Available Now,,,"$2,300",,,
2110 San Diego Dr,Townhomes,Corona,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,600'}]","Corona, CA 92882",https://www.apartments.com/2110-san-diego-dr-corona-ca/z39smmx/,3 BAs,"1,684 Sq Ft","1,684",,Available Now,,"$2,600",,,,
15841 La Floresta Dr,Townhomes,Hacienda Heights,CA,"[{'bedroom_type': '4 Beds', 'price': '$3,200'}]","Hacienda Heights, CA 91745",https://www.apartments.com/15841-la-floresta-dr-hacienda-heights-ca/lpsnb9g/,2 BAs,"1,400 Sq Ft","1,400",,Available Now,"$3,200",,,,,
25106 Feijoa Ave,Townhomes,Lomita,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,295'}]","Lomita, CA 90717",https://www.apartments.com/25106-feijoa-ave-lomita-ca/c01dg3f/,1 BA,900 Sq Ft,900,,Available Now,,,"$2,295",,,
10532 Daines Dr,Townhomes,Temple City,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,900'}]","Temple City, CA 91780",https://www.apartments.com/10532-daines-dr-temple-city-ca/8l3b3m1/,1 BA,840 Sq Ft,840,,Available Now,,,"$1,900",,,
18603 Marimba St,Townhomes,La Puente,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,500'}]","La Puente, CA 91748",https://www.apartments.com/18603-marimba-st-la-puente-ca/1pcf344/,1 BA,900 Sq Ft,900,,Available Now,,,"$1,500",,,
74318 Alessandro Dr,Townhomes,Palm Desert,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,250'}]","Palm Desert, CA 92260",https://www.apartments.com/74318-alessandro-dr-palm-desert-ca/h6k53c0/,1 BA,"1,100 Sq Ft","1,100",,Available Now,,,"$1,250",,,
1510 Orange Ave,Townhomes,Redlands,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,300'}]","Redlands, CA 92373",https://www.apartments.com/1510-orange-ave-redlands-ca/zqph7my/,3 BAs,"1,600 Sq Ft","1,600",,Available Now,,"$2,300",,,,
15731 La Subida Dr,Townhomes,Hacienda Heights,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,450'}]","Hacienda Heights, CA 91745",https://www.apartments.com/15731-la-subida-dr-hacienda-heights-ca/vq50txg/,2 BAs,"1,379 Sq Ft","1,379",,Available Now,,,"$2,450",,,
