Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Studio,1 Bed,2 Beds,3 Beds,4 Beds,"
												1 Bed
														–
3 Beds										","
												1 Bed
														–
2 Beds										"
Avalon Walnut Creek,Walnut Creek,Apartment,CA,94597,"[{'bedroom_type': 'Studio', 'price': '$2,213'}, {'bedroom_type': '1 Bed', 'price': '$2,495'}, {'bedroom_type': '2 Beds', 'price': '$3,025'}, {'bedroom_type': '3 Beds', 'price': '$4,670'}]","1001 Harvey Dr, Walnut Creek, CA 94597",https://www.apartments.com/avalon-walnut-creek-walnut-creek-ca/m3ny3ek/,"$2,213 ","$2,495 ","$3,025 ","$4,670 ",,,
The Collective,Los Angeles,Apartment,CA,90057,"[{'bedroom_type': '1 Bed', 'price': '$1,650'}, {'bedroom_type': '2 Beds', 'price': '$2,300'}]","131, 143, 171 S Burlington Ave, Los Angeles, CA 90057",https://www.apartments.com/the-collective-los-angeles-ca/4qm136k/,,"$1,650 ","$2,300 ",,,,
Addison Ranch Apartments,Petaluma,Apartment,CA,94954,"[{'bedroom_type': '1 Bed', 'price': '$1,889'}, {'bedroom_type': '2 Beds', 'price': '$2,172'}]","200 Greenbriar Cir, Petaluma, CA 94954",https://www.apartments.com/addison-ranch-apartments-petaluma-ca/2mnf5q9/,,"$1,889 ","$2,172 ",,,,
Sixty58 Townhomes,Sacramento,Apartment,CA,95831,"[{'bedroom_type': '2 Beds', 'price': '$1,949'}, {'bedroom_type': '3 Beds', 'price': '$2,300'}]","6058 Riverside Blvd, Sacramento, CA 95831",https://www.apartments.com/sixty58-townhomes-sacramento-ca/yntx1mv/,,,"$1,949 ","$2,300 ",,,
Parc at 5 Apartments,Downey,Apartment,CA,90240,"[{'bedroom_type': '1 Bed', 'price': '$1,839'}, {'bedroom_type': '2 Beds', 'price': '$2,347'}, {'bedroom_type': '3 Beds', 'price': '$2,792'}]","9140 Brookshire Ave, Downey, CA 90240",https://www.apartments.com/parc-at-5-apartments-downey-ca/vdx289e/,,"$1,839 ","$2,347 ","$2,792 ",,,
3623 Jasmine Avenue,Los Angeles,Apartment,CA,90034,"[{'bedroom_type': '1 Bed', 'price': '$2,195'}, {'bedroom_type': '2 Beds', 'price': '$2,795'}, {'bedroom_type': '3 Beds', 'price': '$3,145'}]","3623 Jasmine Ave, Los Angeles, CA 90034",https://www.apartments.com/3623-jasmine-avenue-los-angeles-ca/mp6l5sl/,,"$2,195 ","$2,795 ","$3,145 ",,,
Sherman Circle,Los Angeles,Apartment,CA,91405,"[{'bedroom_type': '1 Bed', 'price': '$2,036'}, {'bedroom_type': '2 Beds', 'price': '$2,412'}, {'bedroom_type': '3 Beds', 'price': ''}]","14500 Sherman Cir, Los Angeles, CA 91405",https://www.apartments.com/sherman-circle-los-angeles-ca/zkgf4zx/,,"$2,036 ","$2,412 ",,,,
Capitol Towers,Sacramento,Apartment,CA,95814,"[{'bedroom_type': 'Studio', 'price': '$1,385'}, {'bedroom_type': '1 Bed', 'price': '$1,540'}, {'bedroom_type': '2 Beds', 'price': '$1,935'}, {'bedroom_type': '3 Beds', 'price': '$2,710'}]","1500 7th St, Sacramento, CA 95814",https://www.apartments.com/capitol-towers-sacramento-ca/mqfe28k/,"$1,385 ","$1,540 ","$1,935 ","$2,710 ",,,
Enclave Apartments,Paramount,Apartment,CA,90723,"[{'bedroom_type': '1 Bed', 'price': '$1,710'}, {'bedroom_type': '2 Beds', 'price': '$2,225'}]","13801 Paramount Blvd, Paramount, CA 90723",https://www.apartments.com/enclave-apartments-paramount-ca/z7n3bwz/,,"$1,710 ","$2,225 ",,,,
Prominence Luxury Apartments I,San Marcos,Apartment,CA,92078,"[{'bedroom_type': '1 Bed', 'price': '$1,898'}, {'bedroom_type': '2 Beds', 'price': '$1,998'}]","601 S Twin Oaks Valley Rd, San Marcos, CA 92078",https://www.apartments.com/prominence-luxury-apartments-i-san-marcos-ca/bqtz2q8/,,"$1,898 ","$1,998 ",,,,
