City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,4 Beds,2 Beds,1 Bed,4+ Beds,Studio
156 School House Ln,Houses,Geyserville,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,500'}]","Geyserville, CA 95441",https://www.apartments.com/156-school-house-ln-geyserville-ca/rzdy211/,1½ BAs,"1,136 Sq Ft","1,136",12 Month Lease,Available Now,"$2,500",,,,,
15 Vista Ln,Houses,San Luis Obispo,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,350'}]","San Luis Obispo, CA 93401",https://www.apartments.com/15-vista-ln-san-luis-obispo-ca/716p8vy/,2 BAs,"1,700 Sq Ft","1,700",,Available Now,"$3,350",,,,,
522 Coombs St,Houses,Napa,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,750'}]","Napa, CA 94559",https://www.apartments.com/522-coombs-st-napa-ca/eqwfx4p/,2 BAs,"1,250 Sq Ft","1,250",,Available Now,,,"$3,750",,,
10680 Forest Hills Rd,Houses,Forestville,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","Forestville, CA 95436",https://www.apartments.com/10680-forest-hills-rd-forestville-ca/3tzw9nd/,1½ BAs,"1,350 Sq Ft","1,350",,Available Now,,,"$2,500",,,
3600 Tripp Rd,Houses,Woodside,CA,"[{'bedroom_type': '4+ Beds', 'price': '$18,000'}]","Woodside, CA 94062",https://www.apartments.com/3600-tripp-rd-woodside-ca/mhv7fpl/,3½ BAs,"3,830 Sq Ft","3,830",,Available Now,,,,,"$18,000",
65 Green Valley Ct,Houses,San Anselmo,CA,"[{'bedroom_type': '4 Beds', 'price': '$8,800'}]","San Anselmo, CA 94960",https://www.apartments.com/65-green-valley-ct-san-anselmo-ca/jedr3c6/,3 BAs,"3,265 Sq Ft","3,265",12 Month Lease,Available Now,,"$8,800",,,,
34282 Hourglass St,Houses,Temecula,CA,"[{'bedroom_type': '4 Beds', 'price': '$3,400'}]","Temecula, CA 92592",https://www.apartments.com/34282-hourglass-st-temecula-ca/lf6x3fe/,4 BAs,"3,003 Sq Ft","3,003",,Available Now,,"$3,400",,,,
48 Harvard Ln,Houses,Napa,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,600'}]","Napa, CA 94558",https://www.apartments.com/48-harvard-ln-napa-ca/e95qktp/,2 BAs,"1,218 Sq Ft","1,218",,Available Now,"$3,600",,,,,
185 Grace Ct,Houses,Cloverdale,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,500'}]","Cloverdale, CA 95425",https://www.apartments.com/185-grace-ct-cloverdale-ca/7f6vm9x/,2 BAs,"1,728 Sq Ft","1,728",,Available Now,"$2,500",,,,,
16026 K St,Houses,Mojave,CA,"[{'bedroom_type': '2 Beds', 'price': '$850'}]","Mojave, CA 93501",https://www.apartments.com/16026-k-st-mojave-ca/dleqhcl/,1 BA,"1,000 Sq Ft","1,000",,Available Now,,,$850,,,
74976 Aladdin Dr,Houses,Twentynine Palms,CA,"[{'bedroom_type': '2 Beds', 'price': '$950'}]","Twentynine Palms, CA 92277",https://www.apartments.com/74976-aladdin-dr-twentynine-palms-ca/2dtqdl9/,2 BAs,"1,390 Sq Ft","1,390",,Available Now,,,$950,,,
43426 Lago Breeza Dr,Houses,Indio,CA,"[{'bedroom_type': '4 Beds', 'price': '$2,950'}]","Indio, CA 92203",https://www.apartments.com/43426-lago-breeza-dr-indio-ca/kwrbgyc/,3 BAs,"2,431 Sq Ft","2,431",,Available Now,,"$2,950",,,,
1659 Thrush Rd,Houses,Wrightwood,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,300'}]","Wrightwood, CA 92397",https://www.apartments.com/1659-thrush-rd-wrightwood-ca/30cq5jf/,1 BA,,,,Available Now,,,"$1,300",,,
854 Cienega Rd,Houses,Big Bear Lake,CA,"[{'bedroom_type': '4 Beds', 'price': '$3,200'}]","Big Bear Lake, CA 92315",https://www.apartments.com/854-cienega-rd-big-bear-lake-ca/ebmty8m/,3 BAs,"1,222 Sq Ft","1,222",,Available Now,,"$3,200",,,,
2330 Bell Ave,Houses,Corcoran,CA,"[{'bedroom_type': '3 Beds', 'price': '$1,100'}]","Corcoran, CA 93212",https://www.apartments.com/2330-bell-ave-corcoran-ca/fjzkhfs/,2 BAs,"1,138 Sq Ft","1,138",,Available Now,"$1,100",,,,,
115 Montevino Ct,Houses,Oakley,CA,"[{'bedroom_type': '4+ Beds', 'price': '$3,100'}]","Oakley, CA 94561",https://www.apartments.com/115-montevino-ct-oakley-ca/p9hj3xv/,3 BAs,"2,491 Sq Ft","2,491",,Available Now,,,,,"$3,100",
33438 Lilac Rd,Houses,Valley Center,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,400'}]","Valley Center, CA 92082",https://www.apartments.com/33438-lilac-rd-valley-center-ca/ge6nwxw/,3 BAs,"3,100 Sq Ft","3,100",,Available Now,"$3,400",,,,,
25679 Alderwood St,Houses,Idyllwild-Pine Cove,CA,"[{'bedroom_type': '3 Beds', 'price': '$1,650'}]","25679 Alderwood St, Idyllwild-Pine Cove, CA 92549",https://www.apartments.com/3-bedrooms-in-town-idyllwild-pine-cove-ca/slftjy7/,2 BAs,900 Sq Ft,900,,Jul 3,"$1,650",,,,,
Apple Valley,Houses,CA,92308,"[{'bedroom_type': '4 Beds', 'price': '$1,400'}]","13177 Nicola Rd, Apple Valley, CA 92308",https://www.apartments.com/13177-nicola-rd-apple-valley-ca/1347tj4/,1 BA,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,"$1,400",,,,
24920 Malibu Rd,Houses,Malibu,CA,"[{'bedroom_type': '3 Beds', 'price': '$70,000'}]","Malibu, CA 90265",https://www.apartments.com/24920-malibu-rd-malibu-ca/2xzcn0b/,5 BAs,,,,Available Now,"$70,000",,,,,
62 Corona Rd,Houses,Carmel-by-the-Sea,CA,"[{'bedroom_type': '4+ Beds', 'price': '$10,000'}]","Carmel-by-the-Sea, CA 93923",https://www.apartments.com/62-corona-rd-carmel-by-the-sea-ca/wt7f3gh/,4½ BAs,"4,645 Sq Ft","4,645",,Available Now,,,,,"$10,000",
3075 Sloat Rd,Houses,Del Monte Forest,CA,"[{'bedroom_type': '4 Beds', 'price': '$6,000'}]","Del Monte Forest, CA 93953",https://www.apartments.com/3075-sloat-rd-del-monte-forest-ca/xhdn9sq/,2 BAs,"2,436 Sq Ft","2,436",,Available Now,,"$6,000",,,,
228 Peter Pan Rd,Houses,Carmel-by-the-Sea,CA,"[{'bedroom_type': '4 Beds', 'price': '$6,317'}]","Carmel-by-the-Sea, CA 93923",https://www.apartments.com/228-peter-pan-rd-carmel-by-the-sea-ca/pqk4phv/,4 BAs,"4,318 Sq Ft","4,318",,Available Now,,"$6,317",,,,
45340 Little Lake St,Houses,Mendocino,CA,"[{'bedroom_type': '2 Beds', 'price': '$5,500'}]","Mendocino, CA 95460",https://www.apartments.com/45340-little-lake-st-mendocino-ca/qfre46w/,2 BAs,,,,Available Now,,,"$5,500",,,
2825 Ben Lomond Dr,Houses,Santa Barbara,CA,"[{'bedroom_type': '4+ Beds', 'price': '$11,350'}]","Santa Barbara, CA 93105",https://www.apartments.com/2825-ben-lomond-dr-santa-barbara-ca/n741s1m/,4 BAs,,,,Available Now,,,,,"$11,350",
125 Irvine Cove Ct,Houses,Laguna Beach,CA,"[{'bedroom_type': '4+ Beds', 'price': '$65,000'}]","Laguna Beach, CA 92651",https://www.apartments.com/125-irvine-cove-ct-laguna-beach-ca/cb27rwe/,6 BAs,"6,020 Sq Ft","6,020",,Available Now,,,,,"$65,000",
5NW San Carlos St,Houses,CARMEL,CA,"[{'bedroom_type': '3 Beds', 'price': '$6,000'}]","CARMEL, CA 93923",https://www.apartments.com/5nw-san-carlos-st-carmel-ca/znnw8mz/,2 BAs,"1,718 Sq Ft","1,718",,Available Now,"$6,000",,,,,
1786 Yosemite Pl,Houses,Hercules,CA,"[{'bedroom_type': 'Studio', 'price': '$1,695'}]","Hercules, CA 94547",https://www.apartments.com/1786-yosemite-pl-hercules-ca/d7zmkcl/,0½ BAs,330 Sq Ft,330,,Available Now,,,,,,"$1,695"
45340 Little Lake St,Houses,Mendocino,CA,"[{'bedroom_type': '2 Beds', 'price': '$5,500'}]","Mendocino, CA 95460",https://www.apartments.com/45340-little-lake-st-mendocino-ca/02592c0/,2 BAs,,,,Available Now,,,"$5,500",,,
27856 Winding Way,Houses,Malibu,CA,"[{'bedroom_type': '4+ Beds', 'price': '$35,000'}]","Malibu, CA 90265",https://www.apartments.com/27856-winding-way-malibu-ca/qbb92pz/,5 BAs,,,,Available Now,,,,,"$35,000",
31558 Victoria Point Rd,Houses,Malibu,CA,"[{'bedroom_type': '4 Beds', 'price': '$18,500'}]","Malibu, CA 90265",https://www.apartments.com/31558-victoria-point-rd-malibu-ca/k09l4rc/,5 BAs,,,,Available Now,,"$18,500",,,,
2112 Easton Dr,Houses,Burlingame,CA,"[{'bedroom_type': '4+ Beds', 'price': '$10,000'}]","Burlingame, CA 94010",https://www.apartments.com/2112-easton-dr-burlingame-ca/c7xelxd/,5½ BAs,"2,918 Sq Ft","2,918",,Available Now,,,,,"$10,000",
92 Tamalpais Ave,Houses,Livermore,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,975'}]","Livermore, CA 94551",https://www.apartments.com/92-tamalpais-ave-livermore-ca/00qpcw1/,2 BAs,"1,178 Sq Ft","1,178",,Available Now,"$2,975",,,,,
