City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,4 Beds,1 Bed,3 Beds,4+ Beds
Los Angeles,Houses,CA,90077,"[{'bedroom_type': '1 Bed', 'price': '$2,995'}]","Los Angeles, CA 90077",https://www.apartments.com/921-n-beverly-glen-blvd-los-angeles-ca/42schpk/,1 BA,800 Sq Ft,800,12 Month Lease,Aug 1,,,"$2,995",,
Los Angeles,Houses,CA,91406,"[{'bedroom_type': '3 Beds', 'price': '$3,275'}]","Los Angeles, CA 91406",https://www.apartments.com/17636-hamlin-st-los-angeles-ca/2jmxryc/,2 BAs,"1,150 Sq Ft","1,150",,Available Now,,,,"$3,275",
Los Angeles,Houses,CA,91601,"[{'bedroom_type': '4 Beds', 'price': '$4,200'}]","Los Angeles, CA 91601",https://www.apartments.com/11059-califa-st-los-angeles-ca/drvh1qj/,2 BAs,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,,"$4,200",,,
Los Angeles,Houses,CA,90048,"[{'bedroom_type': '3 Beds', 'price': '$5,195'}]","Los Angeles, CA 90048",https://www.apartments.com/323-s-la-peer-dr-los-angeles-ca/5ml2lfq/,2 BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,,,,"$5,195",
Los Angeles,Houses,CA,90016,"[{'bedroom_type': '2 Beds', 'price': '$2,550'}]","Los Angeles, CA 90016",https://www.apartments.com/2920-s-sycamore-ave-los-angeles-ca/53bwken/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,"$2,550",,,,
Los Angeles,Houses,CA,91344,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]","Los Angeles, CA 91344",https://www.apartments.com/11011-white-oak-ave-los-angeles-ca/ytmlc0t/,2 BAs,"1,023 Sq Ft","1,023",,Available Now,"$2,800",,,,
Los Angeles,Houses,CA,90045,"[{'bedroom_type': '4+ Beds', 'price': '$8,000'}]","Los Angeles, CA 90045",https://www.apartments.com/7339-w-91st-st-los-angeles-ca/g3kw2nw/,3 BAs,"2,400 Sq Ft","2,400",12 Month Lease,Jul 16,,,,,"$8,000"
Los Angeles,Houses,CA,90025,"[{'bedroom_type': '1 Bed', 'price': '$2,495'}]","Los Angeles, CA 90025",https://www.apartments.com/11573-la-grange-ave-los-angeles-ca/vpfs4pe/,1 BA,800 Sq Ft,800,,Jul 3,,,"$2,495",,
Los Angeles,Houses,CA,90291,"[{'bedroom_type': '3 Beds', 'price': '$5,300'}]","Los Angeles, CA 90291",https://www.apartments.com/647-brooks-ave-los-angeles-ca/fp9wwkv/,2 BAs,"1,200 Sq Ft","1,200",,Aug 1,,,,"$5,300",
Los Angeles,Houses,CA,90077,"[{'bedroom_type': '1 Bed', 'price': '$1,700'}]","1669 N Beverly Glen Blvd, Los Angeles, CA 90077",https://www.apartments.com/1669-n-beverly-glen-blvd-los-angeles-ca/mzk413k/,1 BA,600 Sq Ft,600,,Available Now,,,"$1,700",,
Los Angeles,Houses,CA,90025,"[{'bedroom_type': '1 Bed', 'price': '$2,495'}]","Los Angeles, CA 90025",https://www.apartments.com/11573-la-grange-ave-los-angeles-ca/vpfs4pe/,1 BA,800 Sq Ft,800,,Jul 3,,,"$2,495",,
Los Angeles,Houses,CA,90291,"[{'bedroom_type': '3 Beds', 'price': '$5,300'}]","Los Angeles, CA 90291",https://www.apartments.com/647-brooks-ave-los-angeles-ca/fp9wwkv/,2 BAs,"1,200 Sq Ft","1,200",,Aug 1,,,,"$5,300",
Los Angeles,Houses,CA,90077,"[{'bedroom_type': '1 Bed', 'price': '$1,700'}]","1669 N Beverly Glen Blvd, Los Angeles, CA 90077",https://www.apartments.com/1669-n-beverly-glen-blvd-los-angeles-ca/mzk413k/,1 BA,600 Sq Ft,600,,Available Now,,,"$1,700",,
El Macero,Houses,CA,95618,"[{'bedroom_type': '4+ Beds', 'price': '$7,995'}]","El Macero, CA 95618",https://www.apartments.com/44431-el-macero-s-dr-el-macero-ca/2jq1vxb/,4½ BAs,"5,500 Sq Ft","5,500",,Available Now,,,,,"$7,995"
Los Angeles,Houses,CA,90039,"[{'bedroom_type': '1 Bed', 'price': '$2,400'}]","3510 Dover St, Los Angeles, CA 90039",https://www.apartments.com/3510-dover-st-los-angeles-ca/pxlthgv/,1 BA,625 Sq Ft,625,3 Month Lease,Available Now,,,"$2,400",,
Los Angeles,Houses,CA,90291,"[{'bedroom_type': '3 Beds', 'price': '$5,800'}]","Los Angeles, CA 90291",https://www.apartments.com/2200-grand-canal-los-angeles-ca/ekpyc3p/,2½ BAs,"1,572 Sq Ft","1,572",12 Month Lease,Available Now,,,,"$5,800",
Santa Monica,Houses,CA,90405,"[{'bedroom_type': '3 Beds', 'price': '$6,500'}]","Santa Monica, CA 90405",https://www.apartments.com/1301-grant-st-santa-monica-ca/j8p28k7/,2 BAs,"1,433 Sq Ft","1,433",12 Month Lease,Available Now,,,,"$6,500",
Los Angeles,Houses,CA,90027,"[{'bedroom_type': '1 Bed', 'price': '$2,200'}]","2205 Hyperion Ave, Los Angeles, CA 90027",https://www.apartments.com/2205-hyperion-ave-los-angeles-ca/945d2v6/,1 BA,500 Sq Ft,500,12 Month Lease,Aug 1,,,"$2,200",,
Los Angeles,Houses,CA,90027,"[{'bedroom_type': '2 Beds', 'price': '$4,500'}]","2211 Hyperion Ave, Los Angeles, CA 90027",https://www.apartments.com/2211-hyperion-ave-los-angeles-ca/hprm0b3/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$4,500",,,,
Pittsburg,Houses,CA,94565,"[{'bedroom_type': '3 Beds', 'price': '$2,850'}]","Pittsburg, CA 94565",https://www.apartments.com/4157-railroad-ave-pittsburg-ca/dx3fb6h/,1½ BAs,"2,150 Sq Ft","2,150",,Available Now,,,,"$2,850",
Manhattan Beach,Houses,CA,90266,"[{'bedroom_type': '1 Bed', 'price': '$1,750'}]","125 El Porto St, Manhattan Beach, CA 90266",https://www.apartments.com/125-el-porto-st-manhattan-beach-ca/1nsg6c4/,1 BA,300 Sq Ft,300,12 Month Lease,Available Now,,,"$1,750",,
Burbank,Houses,CA,91505,"[{'bedroom_type': '3 Beds', 'price': '$4,600'}]","209 S Rose St, Burbank, CA 91505",https://www.apartments.com/209-s-rose-st-burbank-ca/dek5bsk/,3 BAs,"1,300 Sq Ft","1,300",12 Month Lease,Jul 15,,,,"$4,600",
Sherman Oaks,Houses,CA,91423,"[{'bedroom_type': '3 Beds', 'price': '$4,500'}]","3382 Coy Dr, Sherman Oaks, CA 91423",https://www.apartments.com/3382-coy-dr-sherman-oaks-ca/nkk14nq/,2 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,,,"$4,500",
Los Angeles,Houses,CA,91303,"[{'bedroom_type': '2 Beds', 'price': '$2,150'}]","Los Angeles, CA 91303",https://www.apartments.com/7443-milwood-ave-los-angeles-ca/7q6tgtx/,1½ BAs,950 Sq Ft,950,1 Month Lease,Available Now,"$2,150",,,,
Los Angeles,Houses,CA,90064,"[{'bedroom_type': '3 Beds', 'price': '$5,000'}]","Los Angeles, CA 90064",https://www.apartments.com/2541-tilden-ave-los-angeles-ca/xndz11m/,2 BAs,"1,215 Sq Ft","1,215",,Jul 30,,,,"$5,000",
Laguna Beach,Houses,CA,92651,"[{'bedroom_type': '3 Beds', 'price': '$9,500'}]","Laguna Beach, CA 92651",https://www.apartments.com/370-high-dr-laguna-beach-ca/k4xfvm9/,3½ BAs,"3,217 Sq Ft","3,217",12 Month Lease,Available Now,,,,"$9,500",
Burbank,Houses,CA,91504,"[{'bedroom_type': '3 Beds', 'price': '$5,500'}]","527 Delaware Rd, Burbank, CA 91504",https://www.apartments.com/527-delaware-rd-burbank-ca/j77g916/,4 BAs,"2,000 Sq Ft","2,000",11 Month Lease,Available Now,,,,"$5,500",
Beverly Hills,Houses,CA,90212,"[{'bedroom_type': '3 Beds', 'price': '$6,200'}]","Beverly Hills, CA 90212",https://www.apartments.com/352-palm-s-dr-beverly-hills-ca/zk82z4y/,2 BAs,"1,643 Sq Ft","1,643",12 Month Lease,Available Now,,,,"$6,200",
