City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,2 Beds,Studio,1 Bed,4 Beds
Lawndale,Condos,CA,90260,"[{'bedroom_type': '2 Beds', 'price': '$2,300'}]","Lawndale, CA 90260",https://www.apartments.com/4633-marine-ave-lawndale-ca-unit-235/sx042t6/,2 BAs,936 Sq Ft,936,12 Month Lease,Available Now,,"$2,300",,,
Brea,Condos,CA,92821,"[{'bedroom_type': '1 Bed', 'price': '$2,250'}]","Brea, CA 92821",https://www.apartments.com/3100-imperial-e-hwy-brea-ca/86mpdp1/,1 BA,520 Sq Ft,520,1 Month Lease,Available Now,,,,"$2,250",
Sacramento,Condos,CA,95811,"[{'bedroom_type': '2 Beds', 'price': '$6,480'}]","Sacramento, CA 95811",https://www.apartments.com/1818-l-st-sacramento-ca/9gr9234/,2 BAs,"1,861 Sq Ft","1,861",12 Month Lease,Available Now,,"$6,480",,,
Los Angeles,Condos,CA,91367,"[{'bedroom_type': '2 Beds', 'price': '$2,400'}]","Los Angeles, CA 91367",https://www.apartments.com/5515-canoga-ave-los-angeles-ca-unit-130/629v1pv/,1 BA,830 Sq Ft,830,12 Month Lease,Aug 1,,"$2,400",,,
Santa Clara,Condos,CA,95051,"[{'bedroom_type': '1 Bed', 'price': '$3,000'}]","Santa Clara, CA 95051",https://www.apartments.com/1720-halford-ave-santa-clara-ca-unit-133/jdpd416/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,,,"$3,000",
Los Angeles,Condos,CA,91405,"[{'bedroom_type': '2 Beds', 'price': '$2,195'}]","Los Angeles, CA 91405",https://www.apartments.com/14655-vanowen-st-los-angeles-ca/de9ls5l/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,"$2,195",,,
Los Angeles,Condos,CA,90039,"[{'bedroom_type': '2 Beds', 'price': '$3,100'}]","Los Angeles, CA 90039",https://www.apartments.com/4017-edenhurst-ave-los-angeles-ca/484nz1k/,2 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,"$3,100",,,
San Carlos,Condos,CA,94070,"[{'bedroom_type': '3 Beds', 'price': '$3,995'}]","San Carlos, CA 94070",https://www.apartments.com/2710-melendy-dr-san-carlos-ca/kpbxhrc/,2 BAs,"1,275 Sq Ft","1,275",12 Month Lease,Available Now,"$3,995",,,,
San Jose,Condos,CA,95123,"[{'bedroom_type': '1 Bed', 'price': '$2,280'}]","San Jose, CA 95123",https://www.apartments.com/292-tradewinds-dr-san-jose-ca-unit-16/j1cyth6/,1 BA,722 Sq Ft,722,12 Month Lease,Available Now,,,,"$2,280",
San Diego,Condos,CA,92102,"[{'bedroom_type': 'Studio', 'price': '$2,599'}]","San Diego, CA 92102",https://www.apartments.com/3270-cedar-st-san-diego-ca/n27zp9q/,1 BA,600 Sq Ft,600,1 Month Lease,Aug 1,,,"$2,599",,
