City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,3 Beds,2 Beds,4 Beds,4+ Beds
Los Angeles,Townhomes,CA,90710,"[{'bedroom_type': '3 Beds', 'price': '$2,695'}]","Los Angeles, CA 90710",https://www.apartments.com/25008-president-ave-los-angeles-ca/nfzr0lp/,2 BAs,"1,250 Sq Ft","1,250",12 Month Lease,Available Now,,"$2,695",,,
Long Beach,Townhomes,CA,90804,"[{'bedroom_type': '1 Bed', 'price': '$1,595'}]","1155 Temple Ave, Long Beach, CA 90804",https://www.apartments.com/1155-temple-ave-long-beach-ca/gttp2rz/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,"$1,595",,,,
Los Angeles,Townhomes,CA,90028,"[{'bedroom_type': '3 Beds', 'price': '$2,995'}]","Los Angeles, CA 90028",https://www.apartments.com/1728-wilcox-ave-los-angeles-ca/k36t2y9/,1½ BAs,"1,200 Sq Ft","1,200",,Available Now,,"$2,995",,,
Gardena,Townhomes,CA,90248,"[{'bedroom_type': '3 Beds', 'price': '$3,500'}]","1506 W Artesia Square, Gardena, CA 90248",https://www.apartments.com/1506-w-artesia-square-gardena-ca/eb1qr3q/,2½ BAs,"2,350 Sq Ft","2,350",,Available Now,,"$3,500",,,
Los Angeles,Townhomes,CA,91604,"[{'bedroom_type': '3 Beds', 'price': '$3,195'}]","12121 Moorpark St, Los Angeles, CA 91604",https://www.apartments.com/12121-moorpark-st-los-angeles-ca/djmdmzh/,2½ BAs,"1,350 Sq Ft","1,350",12 Month Lease,Jul 11,,"$3,195",,,
Los Angeles,Townhomes,CA,90045,"[{'bedroom_type': '4 Beds', 'price': '$5,200'}]","8424 Glider Ave, Los Angeles, CA 90045",https://www.apartments.com/8424-glider-ave-los-angeles-ca/141csv6/,4 BAs,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,,,,"$5,200",
Los Angeles,Townhomes,CA,90291,"[{'bedroom_type': '2 Beds', 'price': '$2,600'}]","119 Wavecrest Ave, Los Angeles, CA 90291",https://www.apartments.com/119-wavecrest-ave-los-angeles-ca/2erbd69/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,,"$2,600",,
Los Angeles,Townhomes,CA,90025,"[{'bedroom_type': '2 Beds', 'price': '$5,400'}]","1922 S Barrington Ave, Los Angeles, CA 90025",https://www.apartments.com/1922-s-barrington-ave-los-angeles-ca/e9g768p/,2 BAs,"2,473 Sq Ft","2,473",12 Month Lease,Available Now,,,"$5,400",,
Los Angeles,Townhomes,CA,90034,"[{'bedroom_type': '2 Beds', 'price': '$5,995'}]","8740 Venice Blvd, Los Angeles, CA 90034",https://www.apartments.com/8740-venice-blvd-los-angeles-ca/n4n3kjp/,2½ BAs,"2,056 Sq Ft","2,056",12 Month Lease,Available Now,,,"$5,995",,
Beverly Hills,Townhomes,CA,90212,"[{'bedroom_type': '2 Beds', 'price': '$4,300'}]","Beverly Hills, CA 90212",https://www.apartments.com/9557-w-olympic-blvd-beverly-hills-ca/cy7m3de/,2½ BAs,"1,416 Sq Ft","1,416",,Available Now,,,"$4,300",,
