1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,,"$2,650",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,650'}]",1068 Larimore Ave,"La Puente, CA 91744",,https://www.apartments.com/1068-larimore-ave-la-puente-ca/pq5pd2v/,"1,800","1,800 Sq Ft",La Puente,Townhomes,CA
,"$1,150",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,150'}]",184 Alessandro Ave N,"San Jacinto, CA 92583",,https://www.apartments.com/184-alessandro-ave-n-san-jacinto-ca/91npjp7/,800,800 Sq Ft,San Jacinto,Townhomes,CA
"$1,195",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,195'}]",367 E Main St,"San Jacinto, CA 92583",,https://www.apartments.com/367-e-main-st-san-jacinto-ca/ljl44se/,700,700 Sq Ft,San Jacinto,Townhomes,CA
,,"$3,150",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,150'}]",1525 S Euclid St,"Anaheim, CA 92804",,https://www.apartments.com/1525-s-euclid-st-anaheim-ca/51jyn3n/,"1,755","1,755 Sq Ft",Anaheim,Townhomes,CA
,"$3,000",,,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,000'}]",935 E Mason Ln,"Anaheim, CA 92805",,https://www.apartments.com/935-e-mason-ln-anaheim-ca/tf638sb/,"1,554","1,554 Sq Ft",Anaheim,Townhomes,CA
,"$2,500",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]",21772 Laurelrim Dr,"Diamond Bar, CA 91765",,https://www.apartments.com/21772-laurelrim-dr-diamond-bar-ca/vpx0q1d/,"1,158","1,158 Sq Ft",Diamond Bar,Townhomes,CA
,,"$3,150",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,150'}]",1525 S Euclid St,"Anaheim, CA 92804",,https://www.apartments.com/1525-s-euclid-st-anaheim-ca/tm5v8n8/,"1,755","1,755 Sq Ft",Anaheim,Townhomes,CA
,,"$5,999",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,999'}]",5614 Azure Way,"Long Beach, CA 90803",,https://www.apartments.com/5614-azure-way-long-beach-ca/5gbq0gn/,"1,748","1,748 Sq Ft",Long Beach,Townhomes,CA
,,"$5,000",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,000'}]",111 Edgewater Pl,"Newport Beach, CA 92661",,https://www.apartments.com/111-edgewater-pl-newport-beach-ca/2nrex09/,"2,451","2,451 Sq Ft",Newport Beach,Townhomes,CA
,,"$2,995",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,995'}]",1525 S Euclid St,"Anaheim, CA 92804",,https://www.apartments.com/1525-s-euclid-st-anaheim-ca/bn3c918/,"1,583","1,583 Sq Ft",Anaheim,Townhomes,CA
,,"$3,750",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,750'}]",40021 Spring Pl Ct,"Temecula, CA 92591",,https://www.apartments.com/40021-spring-pl-ct-temecula-ca/4ewykxj/,"1,670","1,670 Sq Ft",Temecula,Townhomes,CA
,,"$2,350",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,350'}]",653 Alder Ln,"Walnut, CA 91789",,https://www.apartments.com/653-alder-ln-walnut-ca/fwlzpks/,"1,578","1,578 Sq Ft",Walnut,Townhomes,CA
,"$2,450",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,450'}]",406 10th St,"Huntington Beach, CA 92648",,https://www.apartments.com/406-10th-st-huntington-beach-ca/f0m357s/,"1,050","1,050 Sq Ft",Huntington Beach,Townhomes,CA
,,,"$4,895",,Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$4,895'}]",394 S Shaffer St,"Orange, CA 92866",,https://www.apartments.com/394-s-shaffer-st-orange-ca/990dew6/,"2,010","2,010 Sq Ft",Orange,Townhomes,CA
,"$1,750",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,750'}]",705 Central Ave,"Upland, CA 91786",,https://www.apartments.com/705-central-ave-upland-ca/f72bftv/,750,750 Sq Ft,Upland,Townhomes,CA
,,,"$2,800",,Available Now,2 BAs,"[{'bedroom_type': '4 Beds', 'price': '$2,800'}]",1110 College View Dr,"Monterey Park, CA 91754",,https://www.apartments.com/1110-college-view-dr-monterey-park-ca/c6nvqve/,"1,600","1,600 Sq Ft",Monterey Park,Townhomes,CA
,"$1,700",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,700'}]",324 W Orangewood Ave,"Anaheim, CA 92802",,https://www.apartments.com/324-w-orangewood-ave-anaheim-ca/bwfskd9/,980,980 Sq Ft,Anaheim,Townhomes,CA
