1 Bed,2 Beds,3 Beds,4 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,,"$6,500",,May 1,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,500'}]",Marina del Rey,"Marina del Rey, CA 90292",12 Month Lease,https://www.apartments.com/3812-via-dolce-marina-del-rey-ca/3135qyf/,"1,850","1,850 Sq Ft",CA,Townhomes,90292
,"$2,700",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,700'}]",Laguna Hills,"Laguna Hills, CA 92653",,https://www.apartments.com/24392-kingston-ct-laguna-hills-ca/gy5pfry/,"1,397","1,397 Sq Ft",CA,Townhomes,92653
,,"$2,950",,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,950'}]",Thousand Oaks,"Thousand Oaks, CA 91362",,https://www.apartments.com/1747-aleppo-ct-thousand-oaks-ca/c8hm3jd/,"1,100","1,100 Sq Ft",CA,Townhomes,91362
,"$3,100",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$3,100'}]",Hermosa Beach,"648 8th St, Hermosa Beach, CA 90254",12 Month Lease,https://www.apartments.com/648-8th-st-hermosa-beach-ca/ky3vpt8/,960,960 Sq Ft,CA,Townhomes,90254
,"$3,600",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$3,600'}]",Hermosa Beach,"625 30th St, Hermosa Beach, CA 90254",12 Month Lease,https://www.apartments.com/625-30th-st-hermosa-beach-ca/3vcz9kf/,900,900 Sq Ft,CA,Townhomes,90254
,"$2,850",,,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,850'}]",Ventura,"Ventura, CA 93001",12 Month Lease,https://www.apartments.com/2464-seahorse-ave-ventura-ca/99hb404/,"1,100","1,100 Sq Ft",CA,Townhomes,93001
,"$4,750",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,750'}]",Marina del Rey,"4312 Glencoe Ave, Marina del Rey, CA 90292",12 Month Lease,https://www.apartments.com/4312-glencoe-ave-marina-del-rey-ca/dkndgfj/,"1,585","1,585 Sq Ft",CA,Townhomes,90292
,,"$4,700",,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,700'}]",Los Angeles,"Los Angeles, CA 90064",12 Month Lease,https://www.apartments.com/2950-s-bentley-ave-los-angeles-ca/txlcnz9/,"1,800","1,800 Sq Ft",CA,Townhomes,90064
,,"$3,975",,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,975'}]",Santa Monica,"1228 18th St, Santa Monica, CA 90404",12 Month Lease,https://www.apartments.com/1228-18th-st-santa-monica-ca/gch7rzy/,"1,430","1,430 Sq Ft",CA,Townhomes,90404
"$2,450",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,450'}]",Venice,"109 Paloma Ave, Venice, CA 90291",,https://www.apartments.com/109-paloma-ave-venice-ca/kqq1jmb/,,,CA,Townhomes,90291
"$2,150",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,150'}]",Los Angeles,"3126 S Halm Ave, Los Angeles, CA 90034",12 Month Lease,https://www.apartments.com/3126-s-halm-ave-los-angeles-ca/0qwe8b1/,644,644 Sq Ft,CA,Townhomes,90034
"$2,250",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,250'}]",Los Angeles,"3128 S Halm Ave, Los Angeles, CA 90034",12 Month Lease,https://www.apartments.com/3128-s-halm-ave-los-angeles-ca/yt5hb5s/,644,644 Sq Ft,CA,Townhomes,90034
,,"$6,100",,Jun 1,3½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,100'}]",Los Angeles,"Los Angeles, CA 90038",1 Month Lease,https://www.apartments.com/853-n-mccadden-pl-los-angeles-ca/5g7xh3p/,"1,800","1,800 Sq Ft",CA,Townhomes,90038
,"$3,195",,,May 1,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,195'}]",Irvine,"45 Rushingwind, Irvine, CA 92614",12 Month Lease,https://www.apartments.com/45-rushingwind-irvine-ca/k3djfec/,"1,500","1,500 Sq Ft",CA,Townhomes,92614
"$1,975",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,975'}]",Los Angeles,"Los Angeles, CA 90046",1 Month Lease,https://www.apartments.com/8296-gould-ave-los-angeles-ca/7pcrflz/,595,595 Sq Ft,CA,Townhomes,90046
,"$2,300",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,300'}]",Los Angeles,"Los Angeles, CA 90019",12 Month Lease,https://www.apartments.com/1817-south-la-brea-ave-los-angeles-ca/nv55b6n/,"1,050","1,050 Sq Ft",CA,Townhomes,90019
,,"$4,500",,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,500'}]",Solana Beach,"Solana Beach, CA 92075",,https://www.apartments.com/527-turfwood-ln-solana-beach-ca/gyd3dkx/,"1,200","1,200 Sq Ft",CA,Townhomes,92075
,,"$5,250",,Available Now,3½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,250'}]",Los Angeles,"4858 S Centinela Ave, Los Angeles, CA 90066",12 Month Lease,https://www.apartments.com/4858-s-centinela-ave-los-angeles-ca/652pj0r/,"2,250","2,250 Sq Ft",CA,Townhomes,90066
,"$2,895",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,895'}]",Los Angeles,"Los Angeles, CA 90064",12 Month Lease,https://www.apartments.com/2455-corinth-ave-los-angeles-ca/hvsdsf1/,"1,050","1,050 Sq Ft",CA,Townhomes,90064
,,"$4,980",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,980'}]",San Diego,"San Diego, CA 92109",,https://www.apartments.com/3715-mission-blvd-san-diego-ca/jz7eqh5/,"3,300","3,300 Sq Ft",CA,Townhomes,92109
,,"$3,200",,Apr 19,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,200'}]",Lomita,"2361 Austinbrook Ct, Lomita, CA 90717",,https://www.apartments.com/2361-austinbrook-ct-lomita-ca/ctftbme/,"1,502","1,502 Sq Ft",CA,Townhomes,90717
,,"$3,295",,Apr 15,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,295'}]",Los Angeles,"14019 Vanowen St, Los Angeles, CA 91405",,https://www.apartments.com/14019-vanowen-st-los-angeles-ca/l624k1g/,"1,650","1,650 Sq Ft",CA,Townhomes,91405
,,"$2,595",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,595'}]",Los Angeles,"Los Angeles, CA 90045",12 Month Lease,https://www.apartments.com/7113-s-la-cienega-blvd-los-angeles-ca/x4xmwrq/,"1,600","1,600 Sq Ft",CA,Townhomes,90045
,"$1,900",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,900'}]",Riverside,"Riverside, CA 92505",12 Month Lease,https://www.apartments.com/11547-magnolia-ave-riverside-ca/4gm796h/,"1,346","1,346 Sq Ft",CA,Townhomes,92505
$750,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$750'}]",Davis,"Davis, CA 95616",5 Month Lease,https://www.apartments.com/805-h-st-davis-ca/249tv99/,140,140 Sq Ft,CA,Townhomes,95616
,,"$4,800",,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,800'}]",Newport Beach,"Newport Beach, CA 92657",12 Month Lease,https://www.apartments.com/10-lessay-newport-beach-ca/7p1kpkz/,"1,750","1,750 Sq Ft",CA,Townhomes,92657
