1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,,"$3,300",,,Available Now,4 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,300'}]",18312 Maidenhair Way,"Yorba Linda, CA 92886",,https://www.apartments.com/18312-maidenhair-way-yorba-linda-ca/5p0nnmq/,"1,674","1,674 Sq Ft",Yorba Linda,,Townhomes,CA
,"$2,599",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,599'}]",11768 Lakeland Rd,"Norwalk, CA 90650",,https://www.apartments.com/11768-lakeland-rd-norwalk-ca/1kvbp97/,"1,150","1,150 Sq Ft",Norwalk,,Townhomes,CA
,"$1,795",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,795'}]",105 W Cedar St,"Ontario, CA 91762",,https://www.apartments.com/105-w-cedar-st-ontario-ca/jzrb6y4/,"1,000","1,000 Sq Ft",Ontario,,Townhomes,CA
,,"$6,500",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,500'}]",2142 Vista Dorado,"Newport Beach, CA 92660",,https://www.apartments.com/2142-vista-dorado-newport-beach-ca/jbnbvl6/,"1,655","1,655 Sq Ft",Newport Beach,,Townhomes,CA
,,"$2,300",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,300'}]",911 Valencia Ave,"Hacienda Heights, CA 91745",,https://www.apartments.com/911-valencia-ave-hacienda-heights-ca/11cl1q4/,"1,098","1,098 Sq Ft",Hacienda Heights,,Townhomes,CA
,,"$4,000",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,000'}]",24065 Windward Dr,"Dana Point, CA 92629",,https://www.apartments.com/24065-windward-dr-dana-point-ca/xf80r3n/,"1,493","1,493 Sq Ft",Dana Point,,Townhomes,CA
,,"$2,550",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,550'}]",8 Emperor,"Irvine, CA 92604",,https://www.apartments.com/8-emperor-irvine-ca/hw7xjg2/,"1,281","1,281 Sq Ft",Irvine,,Townhomes,CA
,$900,,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$900'}]",145 N Victoria Ave,"San Jacinto, CA 92583",,https://www.apartments.com/145-n-victoria-ave-san-jacinto-ca/jjxpct7/,768,768 Sq Ft,San Jacinto,,Townhomes,CA
,,"$4,200",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,200'}]",1941 Waltonia Dr,"La Crescenta-Montrose, CA 91020",,https://www.apartments.com/1941-waltonia-dr-la-crescenta-montrose-ca/nged6rq/,"2,264","2,264 Sq Ft",La Crescenta-Montrose,,Townhomes,CA
,,,,"$3,100",Available Now,4 BAs,"[{'bedroom_type': '4+ Beds', 'price': '$3,100'}]",5747 Grand Ave,"Riverside, CA 92504",,https://www.apartments.com/5747-grand-ave-riverside-ca/605jr9t/,"4,224","4,224 Sq Ft",Riverside,,Townhomes,CA
,"$2,599",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,599'}]",11768 Lakeland Rd,"Norwalk, CA 90650",,https://www.apartments.com/11768-lakeland-rd-norwalk-ca/1kvbp97/,"1,150","1,150 Sq Ft",Norwalk,,Townhomes,CA
,"$1,795",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,795'}]",105 W Cedar St,"Ontario, CA 91762",,https://www.apartments.com/105-w-cedar-st-ontario-ca/jzrb6y4/,"1,000","1,000 Sq Ft",Ontario,,Townhomes,CA
,,"$6,500",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,500'}]",2142 Vista Dorado,"Newport Beach, CA 92660",,https://www.apartments.com/2142-vista-dorado-newport-beach-ca/jbnbvl6/,"1,655","1,655 Sq Ft",Newport Beach,,Townhomes,CA
,,"$2,300",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,300'}]",911 Valencia Ave,"Hacienda Heights, CA 91745",,https://www.apartments.com/911-valencia-ave-hacienda-heights-ca/11cl1q4/,"1,098","1,098 Sq Ft",Hacienda Heights,,Townhomes,CA
,,"$4,000",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,000'}]",24065 Windward Dr,"Dana Point, CA 92629",,https://www.apartments.com/24065-windward-dr-dana-point-ca/xf80r3n/,"1,493","1,493 Sq Ft",Dana Point,,Townhomes,CA
,,"$2,550",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,550'}]",8 Emperor,"Irvine, CA 92604",,https://www.apartments.com/8-emperor-irvine-ca/hw7xjg2/,"1,281","1,281 Sq Ft",Irvine,,Townhomes,CA
,$900,,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$900'}]",145 N Victoria Ave,"San Jacinto, CA 92583",,https://www.apartments.com/145-n-victoria-ave-san-jacinto-ca/jjxpct7/,768,768 Sq Ft,San Jacinto,,Townhomes,CA
,,"$4,200",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,200'}]",1941 Waltonia Dr,"La Crescenta-Montrose, CA 91020",,https://www.apartments.com/1941-waltonia-dr-la-crescenta-montrose-ca/nged6rq/,"2,264","2,264 Sq Ft",La Crescenta-Montrose,,Townhomes,CA
,,,,"$3,100",Available Now,4 BAs,"[{'bedroom_type': '4+ Beds', 'price': '$3,100'}]",5747 Grand Ave,"Riverside, CA 92504",,https://www.apartments.com/5747-grand-ave-riverside-ca/605jr9t/,"4,224","4,224 Sq Ft",Riverside,,Townhomes,CA
