Bath,Bed,City,Half-bath,House_type,Latitude,Listing_type,Longitude,Price,Square_Feet,State,Street,Zip_code,Rent
1,2,Ontario,0,Condo/Townhome,34.082,FOR SALE,-117.613,275000,816,CA,1324 N Placer Avenue,91764,2030
2,2,Irvine,0,Condo/Townhome,33.6586,FOR SALE,-117.83086,735000,1507,CA,9  Madrona,92612,2745
2,2,San Diego,0,Condo/Townhome,32.72125,FOR SALE,-117.16784,720000,1540,CA,1501 India St.,92101,4150
2,2,Irvine,0,Condo/Townhome,33.68046,FOR SALE,-117.75615,625000,1182,CA,110 Evening Sun,92620,2375
2,2,Pasadena,0,Condo/Townhome,34.13734,FOR SALE,-118.1372,469000,1019,CA,497 South El Molino Avenue #310,91101,3393
2,2,Thousand Oaks,1,Condo/Townhome,34.180286,FOR SALE,-118.850154,469900,1361,CA,192 Helecho Court,91362,2585
2,2,Diamond Bar,1,Condo/Townhome,34.0297,FOR SALE,-117.792,419900,1145,CA,24206 Sylvan Glen Road C,91765,1927
1,2,Santa Ana,1,Condo/Townhome,33.7567,FOR SALE,-117.842,349900,1101,CA,1344 Cabrillo Park Drive F,92701,2040
2,2,Oceanside,0,Condo/Townhome,33.2463,FOR SALE,-117.315,280000,912,CA,194 Avenida Descanso C,92057,2165
2,2,Newport Beach,0,Condo/Townhome,33.625,FOR SALE,-117.933,703000,1392,CA,101 Scholz 235,92663,2209
2,2,Burbank,0,Condo/Townhome,34.1762,FOR SALE,-118.302,699000,1380,CA,750 S San Fernando Boulevard 105,91502,2804
2,2,Rancho Santa Margarita,0,Condo/Townhome,33.6547,FOR SALE,-117.583,638800,1475,CA,17 Calle Katrina,92688,1840
2,2,Costa Mesa,1,Condo/Townhome,33.6501,FOR SALE,-117.913,615000,1294,CA,335 Sydney Lane 335,92627,2245
2,2,San Diego,0,Condo/Townhome,32.7214,FOR SALE,-117.164,519000,1058,CA,1501 Front St 216,92101,4150
2,2,Simi Valley,0,Condo/Townhome,34.2542,FOR SALE,-118.809441,485000,1366,CA,485 Country Club Drive 224,93065,2211
2,2,Rancho Santa Margarita,0,Condo/Townhome,33.6198,FOR SALE,-117.62,484999,1083,CA,3 Alondra,92688,1840
2,2,Anaheim Hills,0,Condo/Townhome,33.8571,FOR SALE,-117.73,479900,998,CA,944 S Prescott Place,92808,2305
2,2,Glendale,1,Condo/Townhome,34.153759,FOR SALE,-118.267715,479000,970,CA,620 W Doran Street 7,91203,3094
2,2,Los Angeles,1,Condo/Townhome,34.0609,FOR SALE,-118.437,1649500,1723,CA,10727 Wilshire Boulevard 606,90024,7995
2,2,Marina del Rey,0,Condo/Townhome,33.989,FOR SALE,-118.439,939000,1370,CA,4211 Redwood Avenue 409,90066,3509
2,2,Ontario,0,Condo/Townhome,34.0557,FOR SALE,-117.673,243691,845,CA,1309 W Mission Boulevard U-27,91762,1425
1,2,Ventura,0,Condo/Townhome,34.262393,FOR SALE,-119.217864,235000,873,CA,1300 Saratoga Avenue 1207,93003,2195
2,2,Camarillo,1,Condo/Townhome,34.20058,FOR SALE,-118.98304,464900,1465,CA,6280 Paseo Encantada,93012,2160
2,2,Santa Ana,0,Condo/Townhome,33.7009,FOR SALE,-117.905,455000,907,CA,3500 S Greenville Street G16,92704,1680
2,2,Lake Forest,0,Condo/Townhome,33.659,FOR SALE,-117.673,429900,1000,CA,26342 Forest Ridge 3C,92630,1993
2,2,Camarillo,0,Condo/Townhome,34.211344,FOR SALE,-119.025979,399000,1142,CA,290 Riverdale Court 1113,93012,2160
1,2,Santa Monica,0,Condo/Townhome,34.03322,FOR SALE,-118.47022,385000,913,CA,1517 HARVARD Street 8,90404,3647
1,2,Lake Forest,0,Condo/Townhome,33.6435,FOR SALE,-117.679,350000,829,CA,21991 Rimhurst Drive G,92630,1993
2,2,Rancho Cucamonga,0,Condo/Townhome,34.1006,FOR SALE,-117.584,315000,1010,CA,8429 Spring Desert Pl. #H,91730,1917
2,2,Los Angeles,1,Condo/Townhome,34.0951,FOR SALE,-118.345,770000,1490,CA,1319 N Detroit Street PH2,90046,3800
2,2,San Diego,1,Condo/Townhome,32.712,FOR SALE,-117.166,659995,1225,CA,301 W G 123,92101,4150
1,2,los angeles,0,Condo/Townhome,34.10863,FOR SALE,-118.29132,649500,1172,CA,2030 North VERMONT Avenue 15,90027,2690
2,2,San Diego,1,Condo/Townhome,32.7109,FOR SALE,-117.163,640000,1290,CA,101 Market St 107,92101,4150
1,2,Fremont,1,Condo/Townhome,37.5686,FOR SALE,-121.965,624888,1120,CA,38737 Aurora Ter 19,94536,3173
2,2,Newport Beach,0,Condo/Townhome,33.6246,FOR SALE,-117.933,599999,1120,CA,100 Scholz 104,92663,2209
2,2,Lake Forest,1,Condo/Townhome,33.6421,FOR SALE,-117.671,577000,1556,CA,22073 Summit Hill Drive 22,92630,1993
2,2,Mission Viejo,0,Condo/Townhome,33.6611,FOR SALE,-117.633,575000,1367,CA,161 Winterberry,92692,2195
