"
                        1 Bedroom
                            –
2 Bedrooms                    ","
                        1 Bedroom
                            –
3 Bedrooms                    ","
                        Studio
                            –
2 Bedrooms                    ",1 Bedroom,2 Bedrooms,3 Bedrooms,4 Bedrooms,4+ Bedrooms,Bedroom_Info,City_Rent,Property_Name_Rent,State_Rent,Studio,Type,Zip_code
,,,,,,,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': ''}]",Stockton,Quailwood Apartments,CA,,Apartment,95207
,,,"$2,230 ","$2,775 ",,,,"[{'bedroom_type': 'Studio', 'price': '$2,070 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,230 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,775 '}]",Irvine,Centerpointe Apartment Homes,CA,"$2,070 ",Apartment,92618
,,,,"$2,695 ",,,,"[{'bedroom_type': 'Studio', 'price': '$1,983 '}, {'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': '$2,695 '}]",Huntington Beach,Beach & Ocean,CA,"$1,983 ",Apartment,92648
,,,"$2,172 ","$2,585 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,172 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,585 '}]",Thousand Oaks,Avalon Thousand Oaks Plaza,CA,,Apartment,91362
,,,"$2,595 ","$3,340 ",,,,"[{'bedroom_type': 'Studio', 'price': '$2,560 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,595 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,340 '}]",San Jose,River View Apartment Homes,CA,"$2,560 ",Apartment,95134
,,,"$1,795 ","$2,446 ","$3,377 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,795 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,446 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,377 '}]",Irvine,Main Street Village,CA,,Apartment,92614
,,,"$1,975 ","$2,664 ",,,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$1,975 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,664 '}]",Los Angeles,Hampshire Place,CA,,Apartment,90020
,,,"$2,373 ","$3,123 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,373 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,123 '}]",Agoura Hills,Avalon Oak Creek,CA,,Apartment,91301
,,,"$2,115 ","$2,645 ",,,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$2,115 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,645 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",San Jose,Cherrywood Apartments,CA,,Apartment,95118
,,,"$2,805 ","$3,835 ",,,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$2,805 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,835 '}]",Berkeley,Avalon Berkeley,CA,,Apartment,94710
,,,"$1,611 ","$1,943 ","$2,024 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,611 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,943 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,024 '}]",Sacramento,Homecoming At Creekside,CA,,Apartment,95835
,,,"$1,635 ","$2,120 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,635 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,120 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Rancho Santa Margarita,Villas Antonio Apartment Homes,CA,,Apartment,92688
,,,"$1,835 ","$2,560 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,835 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,560 '}]",Mission Viejo,Adagio on the Green,CA,,Apartment,92691
,,,"$1,900 ","$2,469 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,900 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,469 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Camarillo,Avalon Camarillo,CA,,Apartment,93012
,,,"$1,945 ","$2,640 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,945 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,640 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Woodland Hills,Avalon Warner Place,CA,,Apartment,91303
,,,"$1,510 ","$1,845 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,510 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,845 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Roseville,Pinnacle at Galleria,CA,,Apartment,95678
