1 Bedroom,2 Bedrooms,3 Bedrooms,4 Bedrooms,Bedroom_Info,City_Rent,Property_Name_Rent,State_Rent,Studio,Type,Zip_code
"$1,470 ","$1,770 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,295 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,470 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,770 '}]",Anaheim,Regency Plaza,CA,"$1,295 ",Apartment,92802
"$1,879 ","$2,405 ",,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$1,879 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,405 '}]",Irvine,Avalon Irvine,CA,,Apartment,92606
"$1,635 ","$1,955 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,605 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,635 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,955 '}]",Westminster,Cinnamon Creek,CA,"$1,605 ",Apartment,92683
"$1,075 ","$1,295 ",,,"[{'bedroom_type': 'Studio', 'price': '$925 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,075 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,295 '}]",Citrus Heights,Edgewater Apartments,CA,$925 ,Apartment,95610
,"$2,500 ",,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': '$2,500 '}]",Fremont,Rancho Luna,CA,,Apartment,94536
"$1,895 ","$2,265 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,655 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,895 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,265 '}]",Woodland Hills,eaves Woodland Hills,CA,"$1,655 ",Apartment,91367
"$1,665 ","$2,097 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,665 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,097 '}]",Huntington Beach,eaves Huntington Beach,CA,,Apartment,92647
"$1,650 ","$1,925 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,650 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,925 '}]",Rancho Santa Margarita,eaves Santa Margarita,CA,,Apartment,92688
"$2,840 ","$4,065 ","$4,565 ",,"[{'bedroom_type': '1 Bedroom', 'price': '$2,840 '}, {'bedroom_type': '2 Bedrooms', 'price': '$4,065 '}, {'bedroom_type': '3 Bedrooms', 'price': '$4,565 '}]",San Diego,LUX UTC,CA,,Apartment,92122
"$2,190 ","$3,295 ","$4,166 ",,"[{'bedroom_type': 'Studio', 'price': '$1,904 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,190 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,295 '}, {'bedroom_type': '3 Bedrooms', 'price': '$4,166 '}]",Los Angeles,WREN,CA,"$1,904 ",Apartment,90015
"$3,346 ","$5,714 ",,,"[{'bedroom_type': 'Studio', 'price': '$3,506 '}, {'bedroom_type': '1 Bedroom', 'price': '$3,346 '}, {'bedroom_type': '2 Bedrooms', 'price': '$5,714 '}]",San Francisco,Solaire,CA,"$3,506 ",Apartment,94105
"$1,915 ","$2,370 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,915 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,370 '}]",Los Angeles,The Heights,CA,,Apartment,90045
"$2,951 ","$3,721 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,675 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,951 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,721 '}]",Pasadena,Avila in Pasadena,CA,"$2,675 ",Apartment,91103
"$1,865 ","$2,260 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,805 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,865 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,260 '}]",Orange,Gateway Apartment Homes,CA,"$1,805 ",Apartment,92868
"$1,695 ","$2,276 ","$2,865 ",,"[{'bedroom_type': 'Studio', 'price': '$1,492 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,695 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,276 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,865 '}]",Costa Mesa,Harbor at Mesa Verde,CA,"$1,492 ",Apartment,92626
"$3,755 ","$3,690 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$3,755 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,690 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Los Angeles,5550 Wilshire at Miracle Mile by Windsor,CA,,Apartment,90036
"$2,341 ","$2,685 ","$3,435 ",,"[{'bedroom_type': '1 Bedroom', 'price': '$2,341 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,685 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,435 '}]",San Jose,Amberwood Apartments,CA,,Apartment,95131
"$2,279 ","$2,739 ",,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$2,279 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,739 '}]",Berkeley,Berkeley Apartments - Fine Arts,CA,,Apartment,94704
,"$3,625 ",,,"[{'bedroom_type': '2 Bedrooms', 'price': '$3,625 '}]",Cupertino,Verandas at Cupertino,CA,,Apartment,95014
"$1,509 ","$1,632 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,397 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,509 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,632 '}]",Rancho Cucamonga,AVANA RANCHO CUCAMONGA,CA,"$1,397 ",Apartment,91730
"$2,982 ","$4,014 ","$4,967 ",,"[{'bedroom_type': '1 Bedroom', 'price': '$2,982 '}, {'bedroom_type': '2 Bedrooms', 'price': '$4,014 '}, {'bedroom_type': '3 Bedrooms', 'price': '$4,967 '}]",Huntington Beach,The Residences at Pacific City,CA,,Apartment,92648
"$2,250 ","$2,700 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,250 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,700 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Dublin,Emerald Park,CA,,Apartment,94568
"$3,093 ","$4,313 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,725 '}, {'bedroom_type': '1 Bedroom', 'price': '$3,093 '}, {'bedroom_type': '2 Bedrooms', 'price': '$4,313 '}]",Redwood City,Franklin 299,CA,"$2,725 ",Apartment,94063
,"$2,800 ",,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': '$2,800 '}]",Sacramento,16 Powerhouse,CA,,Apartment,95814
"$1,900 ","$2,404 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,857 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,900 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,404 '}]",Walnut Creek,The Retreat,CA,"$1,857 ",Apartment,94596
"$2,150 ","$2,965 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,150 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,965 '}]",Irvine,The Kelvin,CA,,Apartment,92614
"$3,170 ","$3,975 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,790 '}, {'bedroom_type': '1 Bedroom', 'price': '$3,170 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,975 '}]",Santa Clara,Santa Clara Square Apartment Homes,CA,"$2,790 ",Apartment,95054
"$1,995 ","$2,740 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,710 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,995 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,740 '}]",Hollywood,AVA Toluca Hills,CA,"$1,710 ",Apartment,90068
"$2,300 ","$3,300 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,995 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,300 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,300 '}]",Los Angeles,EastView Apartments,CA,"$1,995 ",Apartment,90012
,,,,"[{'bedroom_type': '\r\n                        Studio\r\n                    ', 'price': ''}]",Los Angeles,Hellman Building,CA,,Apartment,90013
,,,,"[{'bedroom_type': '2 Bedrooms', 'price': ''}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Berkeley,Hillside Village,CA,,Apartment,94709
"$2,235 ","$2,940 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,190 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,235 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,940 '}]",San Jose,eaves West Valley,CA,"$2,190 ",Apartment,95129
,"$2,275 ",,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': '$2,275 '}]",Fremont,Sundale Apartments,CA,,Apartment,94538
,"$1,475 ",,,"[{'bedroom_type': '2 Bedrooms', 'price': '$1,475 '}]",Upland,Dakota Creek Apartment Homes,CA,,Apartment,91786
"$2,035 ","$2,858 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,850 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,035 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,858 '}]",Los Angeles,Broadway Palace,CA,"$1,850 ",Apartment,90015
"$3,085 ","$3,595 ","$4,650 ",,"[{'bedroom_type': '1 Bedroom', 'price': '$3,085 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,595 '}, {'bedroom_type': '3 Bedrooms', 'price': '$4,650 '}]",Sunnyvale,Renaissance Apartment Homes,CA,,Apartment,94086
"$3,010 ","$3,910 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$3,010 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,910 '}]",Marina Del Rey,Avalon Marina Bay,CA,,Apartment,90292
"$3,009 ","$3,960 ",,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$3,009 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,960 '}]",San Francisco,33 8th at Trinity Place,CA,,Apartment,94103
"$1,560 ","$1,805 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,560 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,805 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Rancho Cucamonga,Ironwood at Empire Lakes Apartment Homes,CA,,Apartment,91730
"$1,590 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,590 '}]",Glendale,El Patio Apartments,CA,,Apartment,91207
"$2,095 ","$2,473 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,095 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,473 '}]",Woodland Hills,The Pointe at Warner Center,CA,,Apartment,91367
"$2,595 ","$3,415 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,270 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,595 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,415 '}]",Pasadena,Hudson,CA,"$2,270 ",Apartment,91101
"$2,045 ","$2,770 ","$3,705 ",,"[{'bedroom_type': 'Studio', 'price': '$2,015 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,045 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,770 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,705 '}]",San Diego,The Villas of Renaissance,CA,"$2,015 ",Apartment,92122
"$1,685 ","$1,890 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,595 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,685 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,890 '}]",Rancho Santa Margarita,Villas Aliento Apartment Homes,CA,"$1,595 ",Apartment,92688
