Actual,Predicted,Deviation
" $3,180,000 "," $3,187,546 "," $7,546 "
" $1,039,000 "," $1,046,192 "," $7,192 "
" $1,020,000 "," $1,026,543 "," $6,543 "
" $1,015,000 "," $1,022,265 "," $7,265 "
" $999,999 "," $1,007,401 "," $7,402 "
" $999,999 "," $1,007,401 "," $7,402 "
" $998,500 "," $1,005,995 "," $7,495 "
" $998,500 "," $1,006,414 "," $7,914 "
" $998,300 "," $1,005,410 "," $7,110 "
" $998,000 "," $1,004,406 "," $6,406 "
" $975,000 "," $982,191 "," $7,191 "
" $959,000 "," $965,992 "," $6,992 "
" $950,000 "," $957,949 "," $7,949 "
" $950,000 "," $957,949 "," $7,949 "
" $950,000 "," $957,975 "," $7,975 "
" $949,900 "," $957,154 "," $7,254 "
" $949,000 "," $955,956 "," $6,956 "
" $949,000 "," $956,679 "," $7,679 "
" $938,800 "," $945,488 "," $6,688 "
" $937,000 "," $944,535 "," $7,535 "
" $929,900 "," $936,973 "," $7,073 "
" $699,950 "," $707,732 "," $7,782 "
" $699,900 "," $707,637 "," $7,737 "
" $699,900 "," $707,637 "," $7,737 "
" $699,888 "," $707,839 "," $7,951 "
" $699,000 "," $705,157 "," $6,157 "
" $699,000 "," $706,429 "," $7,429 "
" $699,000 "," $706,467 "," $7,467 "
" $689,900 "," $697,348 "," $7,448 "
" $689,000 "," $696,024 "," $7,024 "
" $689,000 "," $696,538 "," $7,538 "
