"
                        Studio
                            –
2 Bedrooms                    ",1 Bedroom,2 Bedrooms,3 Bedrooms,4 Bedrooms,4+ Bedrooms,Bedroom_Info,City_Rent,Property_Name_Rent,State_Rent,Studio,Type,Zip_code
,"$1,775 ","$2,079 ","$2,444 ","$2,674 ",,"[{'bedroom_type': '1 Bedroom', 'price': '$1,775 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,079 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,444 '}, {'bedroom_type': '4 Bedrooms', 'price': '$2,674 '}]",Chino,Homecoming at The Preserve,CA,,Apartment,91708
,"$1,260 ","$1,340 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,260 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,340 '}]",San Bernardino,Broadstone Serrano Apartments,CA,,Apartment,92407
,"$1,300 ","$1,620 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,300 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,620 '}]",Menifee,Cantabria Apartments,CA,,Apartment,92584
,"$2,006 ","$2,131 ","$2,683 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,006 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,131 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,683 '}]",Santee,Parc One,CA,,Apartment,92071
,,"$2,160 ",,,,"[{'bedroom_type': '2 Bedrooms', 'price': '$2,160 '}]",Camarillo,Avalon Mission Oaks,CA,,Apartment,93012
,"$3,110 ",,,,,"[{'bedroom_type': '1 Bedroom', 'price': '$3,110 '}]",Los Angeles,888 Hilgard Furnished Living,CA,,Apartment,90024
,"$1,790 ","$2,205 ","$2,615 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,790 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,205 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,615 '}]",Vista,Skye Apartments,CA,,Apartment,92083
,,"$1,585 ",,,,"[{'bedroom_type': '2 Bedrooms', 'price': '$1,585 '}]",Corona,Lincoln Park Apartments,CA,,Apartment,92882
,"$1,710 ","$2,225 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,710 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,225 '}]",Yorba Linda,The Bryant at Yorba Linda,CA,,Apartment,92887
,"$1,395 ","$1,735 ","$2,030 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,395 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,735 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,030 '}]",Moreno Valley,The Overlook at Rancho Belago,CA,,Apartment,92555
,"$2,520 ","$3,156 ","$4,525 ",,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$2,520 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,156 '}, {'bedroom_type': '3 Bedrooms', 'price': '$4,525 '}]",San Francisco,Parkmerced,CA,,Apartment,94132
