2 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,3 beds,1 bed,Studio,4 beds
3000.0,Milpitas,Townhomes,CA,95035,"1502 Clear Lake Ave Milpitas, CA 95035",https://www.apartments.com/1502-clear-lake-ave-milpitas-ca/gd3hnwx/,1.5 baths,"1,010 sq ft","1,010",,,,
,Daly City,Townhomes,CA,94014,"1007 Brunswick St Daly City, CA 94014",https://www.apartments.com/1007-brunswick-st-daly-city-ca/2p0nz8b/,1 bath,750 sq ft,750,,2495.0,,
,Santa Clara,Townhomes,CA,95054,"4518 St Palais Pl Santa Clara, CA 95054",https://www.apartments.com/4518-st-palais-pl-santa-clara-ca/8x575l3/,2.5 baths,"1,726 sq ft","1,726",4200.0,,,
,Oakland,Townhomes,CA,94601,"2255 38th Ave Oakland, CA 94601",https://www.apartments.com/2255-38th-ave-oakland-ca/y8nnk1v/,3 baths,"1,800 sq ft","1,800",,,,4395.0
4500.0,San Francisco,Townhomes,CA,94107,"18 Scott Aly San Francisco, CA 94107",https://www.apartments.com/18-scott-aly-san-francisco-ca/90sn9v6/,2 baths,"1,300 sq ft","1,300",,,,
6500.0,Santa Barbara,Townhomes,CA,93101,"1320 Anacapa St Santa Barbara, CA 93101",https://www.apartments.com/1320-anacapa-st-santa-barbara-ca/kw4ef3c/,2 baths,"1,800 sq ft","1,800",,,,
,Manhattan Beach,Townhomes,CA,90266,"413 15th St Manhattan Beach, CA 90266",https://www.apartments.com/413-15th-st-manhattan-beach-ca/7pd9syx/,4 baths,"1,802 sq ft","1,802",10000.0,,,
5450.0,Santa Monica,Townhomes,CA,90404,"1338 Yale St Santa Monica, CA 90404",https://www.apartments.com/1338-yale-st-santa-monica-ca/ey9yj1m/,2.5 baths,"1,716 sq ft","1,716",,,,
,Los Angeles,Townhomes,CA,90034,"3727 Selby Ave Los Angeles, CA 90034",https://www.apartments.com/3727-selby-ave-los-angeles-ca/7z1ve7w/,2.5 baths,"1,275 sq ft","1,275",3400.0,,,
3300.0,Santa Clara,Townhomes,CA,95051,"189 Serena Way Santa Clara, CA 95051",https://www.apartments.com/189-serena-way-santa-clara-ca/479wf7k/,2 baths,"1,176 sq ft","1,176",,,,
