2 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,1 bed,3 beds,4 beds,6 beds
2600,Laguna Woods,Townhomes,CA,92637,"2158 Via Mariposa E Laguna Woods, CA 92637",https://www.apartments.com/2158-via-mariposa-e-laguna-woods-ca/wnrhkmk/,2 baths,"1,334 sq ft","1,334",,,,
1595,Loma Linda,Townhomes,CA,92354,"24599 Richman Dr Loma Linda, CA 92354",https://www.apartments.com/24599-richman-dr-loma-linda-ca/11zrzj5/,1 bath,850 sq ft,850,,,,
2600,Rancho Cucamonga,Townhomes,CA,91730,"7353 Ellena W Rancho Cucamonga, CA 91730",https://www.apartments.com/7353-ellena-w-rancho-cucamonga-ca/6cht88s/,2 baths,"1,304 sq ft","1,304",,,,
,Laguna Beach,Townhomes,CA,92651,"487 Myrtle St Laguna Beach, CA 92651",https://www.apartments.com/487-myrtle-st-laguna-beach-ca/22r39s9/,3 baths,"3,151 sq ft","3,151",,,18000,
2850,Aliso Viejo,Townhomes,CA,92656,"76 Meadowood Aliso Viejo, CA 92656",https://www.apartments.com/76-meadowood-aliso-viejo-ca/re70593/,3 baths,"1,302 sq ft","1,302",,,,
,Sunnyvale,Townhomes,CA,94087,"564 Manet Terrace Sunnyvale, CA 94087",https://www.apartments.com/564-manet-terrace-sunnyvale-ca/hew3kz1/,2.5 baths,"1,522 sq ft","1,522",,3900,,
2785,San Diego,Townhomes,CA,92124,"6131 Calle Mariselda San Diego, CA 92124",https://www.apartments.com/6131-calle-mariselda-san-diego-ca/hyh0bk3/,2.5 baths,"1,164 sq ft","1,164",,,,
2995,San Diego,Townhomes,CA,92127,"16912 Laurel Hill Ln San Diego, CA 92127",https://www.apartments.com/16912-laurel-hill-ln-san-diego-ca/f37yz2r/,2.5 baths,"1,445 sq ft","1,445",,,,
2690,Imperial Beach,Townhomes,CA,91932,"579 12th St Imperial Beach, CA 91932",https://www.apartments.com/579-12th-st-imperial-beach-ca/dzhs8dj/,2.5 baths,"1,290 sq ft","1,290",,,,
4800,Palm Desert,Townhomes,CA,92211,"38533 Nasturtium Way Palm Desert, CA 92211",https://www.apartments.com/38533-nasturtium-way-palm-desert-ca/4rnt4vj/,2 baths,"1,555 sq ft","1,555",,,,
,San Jose,Townhomes,CA,95116,"442 S 22nd St San Jose, CA 95116",https://www.apartments.com/442-s-22nd-st-san-jose-ca/rqrfsh2/,3.5 baths,"1,917 sq ft","1,917",,,4250,
,Camarillo,Townhomes,CA,93010,"663 Earl Joseph Dr Camarillo, CA 93010",https://www.apartments.com/663-earl-joseph-dr-camarillo-ca/p4q9m6t/,3.5 baths,"1,838 sq ft","1,838",,,4300,
2500,San Diego,Townhomes,CA,92114,"7525 Jamacha Rd San Diego, CA 92114",https://www.apartments.com/7525-jamacha-rd-san-diego-ca/2gcykrc/,2 baths,"1,022 sq ft","1,022",,,,
,Laguna Niguel,Townhomes,CA,92677,"29372 Via Napoli Laguna Niguel, CA 92677",https://www.apartments.com/29372-via-napoli-laguna-niguel-ca/zjm0dew/,3 baths,"1,630 sq ft","1,630",,3800,,
,Eastvale,Townhomes,CA,91752,"12448 Constellation St Eastvale, CA 91752",https://www.apartments.com/12448-constellation-st-eastvale-ca/ev6lw0p/,5 baths,"1,668 sq ft","1,668",,,3000,
3000,Encinitas,Townhomes,CA,92024,"215 Fairlee Ln Encinitas, CA 92024",https://www.apartments.com/215-fairlee-ln-encinitas-ca/615bh2s/,2 baths,"1,056 sq ft","1,056",,,,
,Redlands,Townhomes,CA,92373,"1510 Orange Ave Redlands, CA 92373",https://www.apartments.com/1510-orange-ave-redlands-ca/qdx9ffx/,3 baths,"1,693 sq ft","1,693",,2650,,
1550,Rialto,Townhomes,CA,92376,"1043 N Lilac Ave Rialto, CA 92376",https://www.apartments.com/1043-n-lilac-ave-rialto-ca/p26k0rs/,1 bath,900 sq ft,900,,,,
,Diamond Bar,Townhomes,CA,91765,"2920 Malaga Cir Diamond Bar, CA 91765",https://www.apartments.com/2920-malaga-cir-diamond-bar-ca/9fb7cg5/,3 baths,"2,010 sq ft","2,010",,,3580,
,Fontana,Townhomes,CA,92335,"16408 Valencia Ave Fontana, CA 92335",https://www.apartments.com/16408-valencia-ave-fontana-ca/4qm0h0l/,3 baths,"1,490 sq ft","1,490",,2600,,
,San Diego,Townhomes,CA,92127,"9841 Fieldthorn St San Diego, CA 92127",https://www.apartments.com/9841-fieldthorn-st-san-diego-ca/tktd778/,3 baths,"1,581 sq ft","1,581",,3400,,
,Rancho Santa Margarita,Townhomes,CA,92688,"12 Vía Barcelona Rancho Santa Margarita, CA 92688",https://www.apartments.com/12-via-barcelona-rancho-santa-margarita-ca/z9nldbz/,3 baths,"1,420 sq ft","1,420",,3500,,
,Diamond Bar,Townhomes,CA,91765,"3169 Marigold Cir Diamond Bar, CA 91765",https://www.apartments.com/3169-marigold-cir-diamond-bar-ca/jm0xsp4/,4 baths,"1,690 sq ft","1,690",,3000,,
,Los Angeles,Townhomes,CA,90006,"1143 Irolo St Los Angeles, CA 90006",https://www.apartments.com/1143-irolo-st-los-angeles-ca/rybfl63/,3 baths,"1,203 sq ft","1,203",,3600,,
3650,Anaheim,Townhomes,CA,92807,"755 S Paseo Prado Anaheim, CA 92807",https://www.apartments.com/755-s-paseo-prado-anaheim-ca/sj2pr64/,3 baths,"2,312 sq ft","2,312",,,,
,Brea,Townhomes,CA,92821,"420 Broadway Dr Brea, CA 92821",https://www.apartments.com/420-broadway-dr-brea-ca/jqdxty5/,4 baths,"1,625 sq ft","1,625",,3500,,
