1 bed,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Studio,3 beds,2 beds,4 beds,6 beds,5 beds
2700,Los Angeles,Condos,CA,90024,"624 Veteran Ave Los Angeles, CA 90024",https://www.apartments.com/624-veteran-ave-los-angeles-ca/dmbhlgh/,1 bath,650 sq ft,650,,,,,,
,La Quinta,Condos,CA,92253,"80095 Palm Circle Dr La Quinta, CA 92253",https://www.apartments.com/80095-palm-circle-dr-la-quinta-ca-unit-80095/5454rrq/,1.5 baths,"1,552 sq ft","1,552",,2500,,,,
1800,San Diego,Condos,CA,92115,"5805 Meade Ave San Diego, CA 92115",https://www.apartments.com/5805-meade-ave-san-diego-ca/001k7x3/,1 bath,420 sq ft,420,,,,,,
2100,West Hollywood,Condos,CA,90046,"1019 N Vista St West Hollywood, CA 90046",https://www.apartments.com/1019-n-vista-st-west-hollywood-ca/v77xbqg/,1 bath,750 sq ft,750,,,,,,
1850,Burbank,Condos,CA,91504,"2339 N Naomi St Burbank, CA 91504",https://www.apartments.com/2339-n-naomi-st-burbank-ca/6exfqhs/,1 bath,670 sq ft,670,,,,,,
2500,Los Angeles,Condos,CA,90291,"20 20th Ave Los Angeles, CA 90291",https://www.apartments.com/20-20th-ave-los-angeles-ca/625h3br/,2 baths,"1,000 sq ft","1,000",,,4000,,,
,San Diego,Condos,CA,92109,"2033 Garnet Ave San Diego, CA 92109",https://www.apartments.com/2033-garnet-ave-san-diego-ca/xem0f0p/,1 bath,400 sq ft,400,2200,,,,,
,Los Angeles,Condos,CA,90042,"6042 Fayette St Los Angeles, CA 90042",https://www.apartments.com/6042-fayette-st-los-angeles-ca/29yp9yb/,1 bath,800 sq ft,800,,,2100,,,
1950,South Pasadena,Condos,CA,91030,"1122 Maple St South Pasadena, CA 91030",https://www.apartments.com/1122-maple-st-south-pasadena-ca/7k9fpdx/,1 bath,750 sq ft,750,,,,,,
2100,Daly City,Condos,CA,94014,"6036 Mission St Daly City, CA 94014",https://www.apartments.com/6036-mission-st-daly-city-ca/l7qkl5e/,1 bath,620 sq ft,620,,,,,,
,San Francisco,Condos,CA,94110,"1468 Valencia St San Francisco, CA 94110",https://www.apartments.com/1468-valencia-st-san-francisco-ca/y7dm21s/,1 bath,"1,200 sq ft","1,200",,,,3600,,
,San Rafael,Condos,CA,94901,"106 Union St San Rafael, CA 94901",https://www.apartments.com/106-union-st-san-rafael-ca/0mxxx50/,1 bath,900 sq ft,900,,,2750,,,
,San Francisco,Condos,CA,94103,"8 10th St San Francisco, CA 94103",https://www.apartments.com/nema-sf-north-tower-8-10th-st-san-francisco-ca/5btnqqn/,1 bath,486 sq ft,486,3890,,,,,
,San Jose,Condos,CA,95123,"300 Tradewinds Dr San Jose, CA 95123",https://www.apartments.com/300-tradewinds-dr-san-jose-ca-unit-7/1htnn27/,2 baths,"1,252 sq ft","1,252",,3200,,,,
,Mammoth Lakes,Condos,CA,93546,"2004 Lodestar Dr Mammoth Lakes, CA 93546",https://www.apartments.com/2004-lodestar-dr-mammoth-lakes-ca-unit-12/89kr1c0/,2 baths,"1,525 sq ft","1,525",,5500,,,,
,Moreno Valley,Condos,CA,92553,"22820 Allies Plz Moreno Valley, CA 92553",https://www.apartments.com/22820-allies-plz-moreno-valley-ca/vjr2bqd/,1 bath,"1,200 sq ft","1,200",,,1600,,,
,Moreno Valley,Condos,CA,92553,"22893 Adrienne Ave Moreno Valley, CA 92553",https://www.apartments.com/22893-adrienne-ave-moreno-valley-ca/sy40xy6/,1 bath,"1,200 sq ft","1,200",,,1600,,,
,Milpitas,Condos,CA,95035,"1134 Edsel Dr Milpitas, CA 95035",https://www.apartments.com/1134-edsel-dr-milpitas-ca/px92p1t/,1 bath,800 sq ft,800,,,2295,,,
2395,Long Beach,Condos,CA,90802,"360 Ocean W Blvd Long Beach, CA 90802",https://www.apartments.com/360-ocean-w-blvd-long-beach-ca-unit-807/tz4trrc/,1 bath,777 sq ft,777,,,,,,
1750,Tarzana,Condos,CA,91356,"18545 Burbank Blvd Tarzana, CA 91356",https://www.apartments.com/18545-burbank-blvd-tarzana-ca/j7e9df6/,1 bath,"1,100 sq ft","1,100",,,,,,
1500,San Francisco,Condos,CA,94116,"2339 41st Ave San Francisco, CA 94116",https://www.apartments.com/2339-41st-ave-san-francisco-ca/esw5d7m/,1 bath,250 sq ft,250,,,,,,
2180,San Jose,Condos,CA,95112,"1060 S 3rd St San Jose, CA 95112",https://www.apartments.com/1060-s-3rd-st-san-jose-ca-unit-339/tk1p95c/,1 bath,667 sq ft,667,,,,,,
,Los Angeles,Condos,CA,90012,"701 N Hill Plz Los Angeles, CA 90012",https://www.apartments.com/701-n-hill-plz-los-angeles-ca/xwq775n/,1 bath,820 sq ft,820,,2850,2600,,,
,Pasadena,Condos,CA,91101,"256 Pleasant St Pasadena, CA 91101",https://www.apartments.com/256-pleasant-st-pasadena-ca/g4557dz/,2 baths,"1,100 sq ft","1,100",,,2850,,,
,Claremont,Condos,CA,91711,"655 Colby Cir Claremont, CA 91711",https://www.apartments.com/655-colby-cir-claremont-ca/rrsxyf1/,2 baths,"1,193 sq ft","1,193",,,1885,,,
1700,San Diego,Condos,CA,92123,"3456 Castle Glen Dr San Diego, CA 92123",https://www.apartments.com/3456-castle-glen-dr-san-diego-ca-unit-178/2kvh2s9/,1 bath,602 sq ft,602,,,,,,
,Long Beach,Condos,CA,90802,"1047 East First Street Long Beach, CA 90802",https://www.apartments.com/1047-east-first-street-long-beach-ca/jh63w85/,1 bath,800 sq ft,800,,,2100,,,
,Stockton,Condos,CA,95207,"714 E Yorkshire Dr Stockton, CA 95207",https://www.apartments.com/714-e-yorkshire-dr-stockton-ca/wl9qwpk/,1 bath,900 sq ft,900,,,1350,,,
,Gardena,Condos,CA,90247,"15214 S Raymond Ave Gardena, CA 90247",https://www.apartments.com/15214-s-raymond-ave-gardena-ca-unit-116/6sj9yrv/,2 baths,"1,101 sq ft","1,101",,,2400,,,
,La Jolla,Condos,CA,92037,"303 Coast Blvd La Jolla, CA 92037",https://www.apartments.com/303-coast-blvd-la-jolla-ca-unit-number-6/rr5nr13/,2.5 baths,"1,050 sq ft","1,050",,,4200,,,
3000,San Francisco,Condos,CA,94118,"3848 Sacramento St San Francisco, CA 94118",https://www.apartments.com/3848-sacramento-st-san-francisco-ca/t16n3f9/,1 bath,650 sq ft,650,,,,,,
