3 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,1 bed,2 beds,4 beds,6 beds,5 beds
3050.0,Walnut Creek,Townhomes,CA,94598,"1812 Pomar Way Walnut Creek, CA 94598",https://www.apartments.com/1812-pomar-way-walnut-creek-ca/3ktp8kd/,2 baths,"1,352 sq ft","1,352",,,,,
,Alameda,Townhomes,CA,94501,"459 Diller St Alameda, CA 94501",https://www.apartments.com/459-diller-st-alameda-ca/hekxb70/,3.5 baths,"2,303 sq ft","2,303",,,4800.0,,
,Pacific Palisades,Townhomes,CA,90272,"1607 Michael Ln Pacific Palisades, CA 90272",https://www.apartments.com/1607-michael-ln-pacific-palisades-ca/lrxqy9f/,2.5 baths,"1,926 sq ft","1,926",,5250.0,,,
,Santa Clara,Townhomes,CA,95050,"2062 Holly Branch Ct Santa Clara, CA 95050",https://www.apartments.com/2062-holly-branch-ct-santa-clara-ca/nkt114q/,1.5 baths,"1,256 sq ft","1,256",,2995.0,,,
,Upland,Townhomes,CA,91786,"350 Alpine St Upland, CA 91786",https://www.apartments.com/350-alpine-st-upland-ca/ycl282s/,2 baths,"1,000 sq ft","1,000",,1895.0,,,
,Rolling Hills Estates,Townhomes,CA,90274,"21 Seaview Dr S Rolling Hills Estates, CA 90274",https://www.apartments.com/21-seaview-dr-s-rolling-hills-estates-ca/l8jjrhf/,3 baths,"1,884 sq ft","1,884",,4500.0,,,
,Walnut Creek,Townhomes,CA,94597,"15 Baldwin Ct Walnut Creek, CA 94597",https://www.apartments.com/15-baldwin-ct-walnut-creek-ca/0e967h0/,1 bath,"1,000 sq ft","1,000",,2100.0,,,
,San Francisco,Townhomes,CA,94127,"327 W Portal Ave San Francisco, CA 94127",https://www.apartments.com/327-w-portal-ave-san-francisco-ca/ktcy2l8/,1.5 baths,"1,200 sq ft","1,200",,4200.0,,,
,Compton,Townhomes,CA,90220,"401 N Acacia Ave Compton, CA 90220",https://www.apartments.com/401-n-acacia-ave-compton-ca/9wt3ej4/,1.5 baths,980 sq ft,980,,1850.0,,,
,Orange,Townhomes,CA,92865,"2855 N Cottonwood St Orange, CA 92865",https://www.apartments.com/2855-n-cottonwood-st-orange-ca/j0jl8j6/,3 baths,"1,563 sq ft","1,563",,,3130.0,,
21000.0,Palo Alto,Townhomes,CA,94301,"436 Forest Ave Palo Alto, CA 94301",https://www.apartments.com/436-forest-ave-palo-alto-ca/h6c9e11/,3.5 baths,"2,164 sq ft","2,164",,,,,
,Mountain View,Townhomes,CA,94043,"96 Flynn Ave Mountain View, CA 94043",https://www.apartments.com/96-flynn-ave-mountain-view-ca/98497l6/,1.5 baths,"1,081 sq ft","1,081",,3100.0,,,
3000.0,Claremont,Townhomes,CA,91711,"602 McKenna St Claremont, CA 91711",https://www.apartments.com/602-mckenna-st-claremont-ca/874bt72/,3 baths,"1,470 sq ft","1,470",,,,,
5200.0,Laguna Beach,Townhomes,CA,92651,"40 Blue Lagoon Laguna Beach, CA 92651",https://www.apartments.com/40-blue-lagoon-laguna-beach-ca/by215v8/,3 baths,"1,792 sq ft","1,792",,,,,
4200.0,Foster City,Townhomes,CA,94404,"207 Village Ln Foster City, CA 94404",https://www.apartments.com/207-village-ln-foster-city-ca/5knfrem/,3 baths,"1,630 sq ft","1,630",,,,,
3850.0,Mountain View,Townhomes,CA,94040,"950 Boranda Ave Mountain View, CA 94040",https://www.apartments.com/950-boranda-ave-mountain-view-ca/pb19ekt/,2.5 baths,"1,540 sq ft","1,540",,,,,
