2 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,3 beds,4 beds,1 bed,Studio,5 beds
2800.0,Los Angeles,Condos,CA,90068,"1940 N Highland Ave Los Angeles, CA 90068",https://www.apartments.com/1940-n-highland-ave-los-angeles-ca-unit-48/j8vf6j4/,2 baths,"1,450 sq ft","1,450",,,,,
,Sacramento,Condos,CA,95826,"8801 Woodman Way Sacramento, CA 95826",https://www.apartments.com/8801-woodman-way-sacramento-ca/6e1vwnr/,1 bath,500 sq ft,500,,,1580.0,,
3700.0,San Diego,Condos,CA,92037,"8840 Villa La Jolla Dr San Diego, CA 92037",https://www.apartments.com/8840-villa-la-jolla-dr-san-diego-ca-unit-306/bsppfxb/,2 baths,"1,089 sq ft","1,089",,,,,
,Los Angeles,Condos,CA,90037,"4125 S Figueroa St Los Angeles, CA 90037",https://www.apartments.com/4125-s-figueroa-st-los-angeles-ca-unit-405/kwdvkg8/,1 bath,815 sq ft,815,,,2315.0,,
,Pasadena,Condos,CA,91107,"74 S Altadena Dr Pasadena, CA 91107",https://www.apartments.com/74-s-altadena-dr-pasadena-ca/4n0eshl/,1 bath,550 sq ft,550,,,1700.0,,
2445.0,Redondo Beach,Condos,CA,90278,"2929 W 190th St Redondo Beach, CA 90278",https://www.apartments.com/2929-w-190th-st-redondo-beach-ca/x29xw2n/,2 baths,"1,150 sq ft","1,150",,,1845.0,,
,Los Angeles,Condos,CA,91604,"4315 Troost Ave Los Angeles, CA 91604",https://www.apartments.com/4315-troost-ave-los-angeles-ca/tjnpt7b/,1 bath,900 sq ft,900,,,1650.0,,
1895.0,Inglewood,Condos,CA,90301,"516 S Flower St Inglewood, CA 90301",https://www.apartments.com/516-s-flower-st-inglewood-ca/2y9ww0c/,1 bath,780 sq ft,780,,,,,
,Oakland,Condos,CA,94607,"85 10th St Oakland, CA 94607",https://www.apartments.com/85-10th-st-oakland-ca/b641kqc/,1 bath,500 sq ft,500,,,1600.0,,
2700.0,Sherman Oaks,Condos,CA,91403,"4715 Vista Del Monte Ave Sherman Oaks, CA 91403",https://www.apartments.com/4715-vista-del-monte-ave-sherman-oaks-ca/tglfzm8/,2 baths,"1,250 sq ft","1,250",,,,,
