1 bed,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,3 beds,2 beds,4 beds,5 beds,Studio
2595,Burlingame,Townhomes,CA,94010,"136 Bloomfield Rd Burlingame, CA 94010",https://www.apartments.com/136-bloomfield-rd-burlingame-ca/mtnmgeh/,1 bath,735 sq ft,735,,,,,
,Palo Alto,Townhomes,CA,94301,"645 Forest Ave Palo Alto, CA 94301",https://www.apartments.com/645-forest-ave-palo-alto-ca/01nc9j1/,1.5 baths,"1,200 sq ft","1,200",,4450,,,
,Union City,Townhomes,CA,94587,"1005 Amber Ter Union City, CA 94587",https://www.apartments.com/1005-amber-ter-union-city-ca/0yzhs32/,2.5 baths,"1,431 sq ft","1,431",3400,,,,
,Santa Monica,Townhomes,CA,90401,"1218 9th St Santa Monica, CA 90401",https://www.apartments.com/1218-9th-st-santa-monica-ca/hvq75l0/,1.5 baths,"1,265 sq ft","1,265",,4275,,,
,San Francisco,Townhomes,CA,94107,"1947 22nd St San Francisco, CA 94107",https://www.apartments.com/1947-22nd-st-san-francisco-ca/jkds0b6/,2 baths,"1,600 sq ft","1,600",5700,,,,
,Gardena,Townhomes,CA,90247,"16015 Halldale Avenue Gardena, CA 90247",https://www.apartments.com/16015-halldale-avenue-gardena-ca/szz80k4/,2.5 baths,"1,750 sq ft","1,750",3350,2500,,,
3000,San Francisco,Townhomes,CA,94107,"2334 19th St San Francisco, CA 94107",https://www.apartments.com/2334-19th-st-san-francisco-ca/cz4hmhd/,1 bath,950 sq ft,950,,4800,,,2400
,Los Angeles,Townhomes,CA,90029,"5342 Virginia Ave Los Angeles, CA 90029",https://www.apartments.com/5342-virginia-ave-los-angeles-ca/lynt7td/,1.5 baths,950 sq ft,950,,2250,,,
,Carson,Townhomes,CA,90745,"726 Colorado Cir Carson, CA 90745",https://www.apartments.com/726-colorado-cir-carson-ca/3821bsf/,3.5 baths,"2,091 sq ft","2,091",,,4150,,
,Signal Hill,Townhomes,CA,90755,"1954 Cherry Ave Signal Hill, CA 90755",https://www.apartments.com/1954-cherry-ave-signal-hill-ca/0cl05y1/,3 baths,"1,550 sq ft","1,550",3500,,,,
,Los Angeles,Townhomes,CA,90035,"1146 S Shenandoah St Los Angeles, CA 90035",https://www.apartments.com/1146-s-shenandoah-st-los-angeles-ca/811m3g2/,1.5 baths,"1,500 sq ft","1,500",,3400,,,
,Santa Clarita,Townhomes,CA,91354,"23643 Big Sky Walk Santa Clarita, CA 91354",https://www.apartments.com/23643-big-sky-walk-santa-clarita-ca/llc9xbg/,2.5 baths,"1,400 sq ft","1,400",3200,,,,
,Fremont,Townhomes,CA,94538,"39505 Trinity Way Fremont, CA 94538",https://www.apartments.com/39505-trinity-way-fremont-ca/kqxzs28/,1.5 baths,"1,100 sq ft","1,100",2900,,,,
,Irvine,Townhomes,CA,92620,"51 Maple Ash Irvine, CA 92620",https://www.apartments.com/51-maple-ash-irvine-ca/dcsr3zj/,2.5 baths,"1,948 sq ft","1,948",4300,,,,
,San Jose,Townhomes,CA,95123,"181 Hudson Plz San Jose, CA 95123",https://www.apartments.com/181-hudson-plz-san-jose-ca/kver2s8/,3.5 baths,"1,739 sq ft","1,739",4200,,,,
,Davis,Townhomes,CA,95616,"523 Scripps Dr Davis, CA 95616",https://www.apartments.com/523-scripps-dr-davis-ca/r1wlv70/,2 baths,"1,400 sq ft","1,400",2900,,,,
1500,Richmond,Townhomes,CA,94804,"1450 Wright Ave Richmond, CA 94804",https://www.apartments.com/1450-wright-ave-richmond-ca/x2xhwcm/,1 bath,"1,531 sq ft","1,531",,,,,
,Sunnyvale,Townhomes,CA,94086,"236 Red Oak Dr E Sunnyvale, CA 94086",https://www.apartments.com/236-red-oak-dr-e-sunnyvale-ca/1psgwd4/,1 bath,"1,000 sq ft","1,000",,2999,,,
,Encinitas,Townhomes,CA,92024,"1918 Park Dale Ln Encinitas, CA 92024",https://www.apartments.com/1918-park-dale-ln-encinitas-ca/l1mbrnd/,2.5 baths,"1,450 sq ft","1,450",3075,,,,
,Santa Monica,Townhomes,CA,90403,"2922 Montana Ave Santa Monica, CA 90403",https://www.apartments.com/2922-montana-ave-santa-monica-ca/tf6nr8b/,2.5 baths,"1,684 sq ft","1,684",,7700,,,
,Los Angeles,Townhomes,CA,90034,"3740 Midvale Ave Los Angeles, CA 90034",https://www.apartments.com/3740-midvale-ave-los-angeles-ca/ce88bfe/,1 bath,850 sq ft,850,,2200,,,
,Palo Alto,Townhomes,CA,94303,"931 Curlew Ln Palo Alto, CA 94303",https://www.apartments.com/931-curlew-ln-palo-alto-ca/vz3g8ye/,2 baths,"1,197 sq ft","1,197",,4595,,,
,Los Angeles,Townhomes,CA,90062,"1486 W 51st St Los Angeles, CA 90062",https://www.apartments.com/1486-w-51st-st-los-angeles-ca/g56230z/,1 bath,700 sq ft,700,,1750,,,
,Inglewood,Townhomes,CA,90304,"11015 Condon Ave Inglewood, CA 90304",https://www.apartments.com/11015-condon-ave-inglewood-ca/hrey3h3/,1 bath,704 sq ft,704,,2150,,,
