City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,4 Beds,1 Bed,5 Beds,2 Beds,Studio,6 Beds,Studio – 5 Beds,2 – 3 Beds,Studio – 3 Beds
Sunnyvale,Houses,CA,94086,"[{'bedroom_type': '3 Beds', 'price': '$3,80'}]","1069 Polk Ave, Sunnyvale, CA 94086",https://www.apartments.com/1069-polk-ave-sunnyvale-ca/kng4e8c/,2 BAs,"1,272 Sq Ft","1,272",12 Month Lease,Available Now,"$3,80",,,,,,,,,
Fremont,Houses,CA,94539,"[{'bedroom_type': 'Studio', 'price': '$1,92'}]","212 Cavalo Ct, Fremont, CA 94539",https://www.apartments.com/212-cavalo-ct-fremont-ca/wy5ygql/,1 BA,400 Sq Ft,400,12 Month Lease,Jan 15,,,,,,"$1,92",,,,
Daly City,Houses,CA,94014,"[{'bedroom_type': '6 Beds', 'price': '$90'}]","270 Wellington Ave, Daly City, CA 94014",https://www.apartments.com/270-wellington-ave-daly-city-ca/0k6b9x2/,4 BAs,"2,500 Sq Ft","2,500",,Available Now,,,,,,,$90,,,
San Francisco,Houses,CA,94121,"[{'bedroom_type': '5 Beds', 'price': '$7,50'}]","3638 Anza St, San Francisco, CA 94121",https://www.apartments.com/3638-anza-st-san-francisco-ca/hkv49m0/,3 BAs,"2,500 Sq Ft","2,500",12 Month Lease,Available Now,,,,"$7,50",,,,,,
Torrance,Houses,CA,90503,"[{'bedroom_type': '3 Beds', 'price': '$3,75'}]","20424 Cheryl Dr, Torrance, CA 90503",https://www.apartments.com/20424-cheryl-dr-torrance-ca/n1l25en/,2 BAs,"1,429 Sq Ft","1,429",12 Month Lease,Jan 4,"$3,75",,,,,,,,,
Benicia,Houses,CA,94510,"[{'bedroom_type': '5 Beds', 'price': '$5,00'}]","50 La Cruz Ave, Benicia, CA 94510",https://www.apartments.com/50-la-cruz-ave-benicia-ca/m7kh2gj/,3 BAs,"2,500 Sq Ft","2,500",1 Month Lease,Jan 8,,,,"$5,00",,,,,,
West Hills,Houses,CA,91307,"[{'bedroom_type': '5 Beds', 'price': '$8,50'}]","6200 Pat Ave, West Hills, CA 91307",https://www.apartments.com/6200-pat-ave-west-hills-ca/7zltpzx/,2½ BAs,"2,600 Sq Ft","2,600",12 Month Lease,Jan 15,,,,"$8,50",,,,,,
Alameda,Houses,CA,94501,"[{'bedroom_type': '3 Beds', 'price': '$3,50'}]","2208 Santa Clara Ave, Alameda, CA 94501",https://www.apartments.com/2208-santa-clara-ave-alameda-ca/783szxx/,1 BA,"2,141 Sq Ft","2,141",12 Month Lease,Available Now,"$3,50",,,,,,,,,
Los Angeles,Houses,CA,90066,"[{'bedroom_type': '2 Beds', 'price': '$3,99'}]","4354 Coolidge Ave, Los Angeles, CA 90066",https://www.apartments.com/4354-coolidge-ave-los-angeles-ca/3lhxwcd/,1 BA,990 Sq Ft,990,12 Month Lease,Available Now,,,,,"$3,99",,,,,
Los Angeles,Houses,CA,90045,"[{'bedroom_type': '5 Beds', 'price': '$8,00'}]","7339 W 91st St, Los Angeles, CA 90045",https://www.apartments.com/7339-w-91st-st-los-angeles-ca/5wflmbq/,3 BAs,"2,400 Sq Ft","2,400",12 Month Lease,Available Now,,,,"$8,00",,,,,,
