City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 – 2 Beds,2 Beds,Studio,1 Bed,3 Beds,1 – 3 Beds,2 – 3 Beds,Studio – 3 Beds
Los Angeles,Condos,CA,90045,"[{'bedroom_type': '2 Beds', 'price': '$2,20'}]","Los Angeles, CA 90045",https://www.apartments.com/8215-kittyhawk-ave-los-angeles-ca/xftnh8m/,1 BA,950 Sq Ft,950,12 Month Lease,Jan 15,,"$2,20",,,,,,
Los Angeles,Condos,CA,90056,"[{'bedroom_type': '2 Beds', 'price': '$2,39'}]","6707 S Springpark Ave, Los Angeles, CA 90056",https://www.apartments.com/6707-s-springpark-ave-los-angeles-ca/p1208st/,2 BAs,"1,350 Sq Ft","1,350",12 Month Lease,Available Now,,"$2,39",,,,,,
Los Angeles,Condos,CA,90045,"[{'bedroom_type': '2 Beds', 'price': '$2,20'}]","Los Angeles, CA 90045",https://www.apartments.com/8215-kittyhawk-ave-los-angeles-ca/xftnh8m/,1 BA,950 Sq Ft,950,12 Month Lease,Jan 15,,"$2,20",,,,,,
Los Angeles,Condos,CA,90020,"[{'bedroom_type': '1 Bed', 'price': '$1,85'}]","Los Angeles, CA 90020",https://www.apartments.com/435-s-virgil-ave-los-angeles-ca-unit-311/vj2edbf/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,,,"$1,85",,,,
Los Angeles,Condos,CA,90038,"[{'bedroom_type': '1 Bed', 'price': '$2,37'}]","Los Angeles, CA 90038",https://www.apartments.com/6677-santa-monica-blvd-los-angeles-ca/whrmbrj/,1 BA,762 Sq Ft,762,,Available Now,,,,"$2,37",,,,
Los Angeles,Condos,CA,90046,"[{'bedroom_type': '2 Beds', 'price': '$3,20'}]","Los Angeles, CA 90046",https://www.apartments.com/1440-n-alta-vista-blvd-los-angeles-ca-unit-114/3zx6kpg/,2 BAs,916 Sq Ft,916,12 Month Lease,Available Now,,"$3,20",,,,,,
Los Angeles,Condos,CA,90024,"[{'bedroom_type': '2 Beds', 'price': '$2,60'}]","Los Angeles, CA 90024",https://www.apartments.com/10810-massachusetts-ave-los-angeles-ca/elk8vpm/,1½ BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,"$2,60",,,,,,
Los Angeles,Condos,CA,90012,"[{'bedroom_type': '1 Bed', 'price': '$3,34'}]","Los Angeles, CA 90012",https://www.apartments.com/950-e-3rd-st-los-angeles-ca/dvdqflk/,1 BA,812 Sq Ft,812,,Available Now,,,,"$3,34",,,,
Los Angeles,Condos,CA,90012,"[{'bedroom_type': '2 Beds', 'price': '$4,10'}]","Los Angeles, CA 90012",https://www.apartments.com/225-s-grand-ave-los-angeles-ca/44h9d5j/,2 BAs,"1,239 Sq Ft","1,239",,Available Now,,"$4,10",,,,,,
Covina,Condos,CA,91724,"[{'bedroom_type': '1 Bed', 'price': '$2,15'}]","Covina, CA 91724",https://www.apartments.com/1400-n-grand-ave-covina-ca/72vyyjy/,1 BA,712 Sq Ft,712,,Available Now,,,,"$2,15",,,,
