City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,2 Beds,4 Beds,1 Bed,Studio,5 Beds
San Jose,Townhomes,CA,95121,"[{'bedroom_type': '3 Beds', 'price': '$2,70'}]","1504 Fedora Ct, San Jose, CA 95121",https://www.apartments.com/1504-fedora-ct-san-jose-ca/evh8vnp/,1½ BAs,"1,176 Sq Ft","1,176",12 Month Lease,Available Now,"$2,70",,,,,
San Diego,Townhomes,CA,92121,"[{'bedroom_type': '3 Beds', 'price': '$2,90'}]","9668 Caminito Del Feliz, San Diego, CA 92121",https://www.apartments.com/9668-caminito-del-feliz-san-diego-ca/rdsczj3/,1½ BAs,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,"$2,90",,,,,
San Jose,Townhomes,CA,95121,"[{'bedroom_type': '3 Beds', 'price': '$3,00'}]","3545 Squirecreek Cir, San Jose, CA 95121",https://www.apartments.com/3545-squirecreek-cir-san-jose-ca/cmehytd/,2½ BAs,"1,400 Sq Ft","1,400",,Available Now,"$3,00",,,,,
Milpitas,Townhomes,CA,95035,"[{'bedroom_type': '2 Beds', 'price': '$3,30'}]","398 Expedition Ln, Milpitas, CA 95035",https://www.apartments.com/398-expedition-ln-milpitas-ca/l7j2v4e/,2½ BAs,"1,510 Sq Ft","1,510",,Available Now,,"$3,30",,,,
San Diego,Townhomes,CA,92103,"[{'bedroom_type': '2 Beds', 'price': '$3,19'}]","3785 Dove St, San Diego, CA 92103",https://www.apartments.com/3785-dove-st-san-diego-ca/h1wncg1/,1½ BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,,"$3,19",,,,
San Pedro,Townhomes,CA,90731,"[{'bedroom_type': '3 Beds', 'price': '$2,95'}]","530 W 14th St, San Pedro, CA 90731",https://www.apartments.com/530-w-14th-st-san-pedro-ca/nvtj92q/,3 BAs,"2,000 Sq Ft","2,000",,Available Now,"$2,95",,,,,
San Gabriel,Townhomes,CA,91775,"[{'bedroom_type': '2 Beds', 'price': '$2,59'}]","6703 Rosemead Blvd, San Gabriel, CA 91775",https://www.apartments.com/6703-rosemead-blvd-san-gabriel-ca/n96m4sp/,1½ BAs,"1,350 Sq Ft","1,350",12 Month Lease,Available Now,,"$2,59",,,,
Westminster,Townhomes,CA,92683,"[{'bedroom_type': '4 Beds', 'price': '$4,00'}]","5191 Victoria Pl, Westminster, CA 92683",https://www.apartments.com/5191-victoria-pl-westminster-ca/jcrd776/,2½ BAs,"1,799 Sq Ft","1,799",12 Month Lease,Available Now,,,"$4,00",,,
Oakland,Townhomes,CA,94602,"[{'bedroom_type': '1 Bed', 'price': '$2,00'}]","3048 Pleitner Ave, Oakland, CA 94602",https://www.apartments.com/3048-pleitner-ave-oakland-ca/rnnjfr3/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,,,"$2,00",,
Irvine,Townhomes,CA,92603,"[{'bedroom_type': '3 Beds', 'price': '$4,95'}]","12 Tullivers Aisle, Irvine, CA 92603",https://www.apartments.com/12-tullivers-aisle-irvine-ca/ybp3x2r/,3½ BAs,"2,510 Sq Ft","2,510",12 Month Lease,Available Now,"$4,95",,,,,
Mountain View,Townhomes,CA,94040,"[{'bedroom_type': '3 Beds', 'price': '$4,50'}]","130 Pacchetti Way, Mountain View, CA 94040",https://www.apartments.com/130-pacchetti-way-mountain-view-ca/smg7vk6/,3 BAs,"1,550 Sq Ft","1,550",12 Month Lease,Available Now,"$4,50",,,,,
Mission Viejo,Townhomes,CA,92694,"[{'bedroom_type': '2 Beds', 'price': '$2,85'}]","40 Marcilla, Mission Viejo, CA 92694",https://www.apartments.com/40-marcilla-mission-viejo-ca/e796p5n/,2½ BAs,"1,228 Sq Ft","1,228",12 Month Lease,Available Now,,"$2,85",,,,
Irvine,Townhomes,CA,92618,"[{'bedroom_type': '2 Beds', 'price': '$2,60'}]","3704 Orangewood, Irvine, CA 92618",https://www.apartments.com/3704-orangewood-irvine-ca/1he1wl7/,2½ BAs,"1,200 Sq Ft","1,200",16 Month Lease,Available Now,,"$2,60",,,,
Los Gatos,Townhomes,CA,95032,"[{'bedroom_type': '4 Beds', 'price': '$4,25'}]","116 Pine Wood Ln, Los Gatos, CA 95032",https://www.apartments.com/116-pine-wood-ln-los-gatos-ca/j90x6h7/,2½ BAs,"1,831 Sq Ft","1,831",12 Month Lease,Available Now,,,"$4,25",,,
Sonoma,Townhomes,CA,95476,"[{'bedroom_type': '2 Beds', 'price': '$2,185'}]","790 2nd St W, Sonoma, CA 95476",https://www.apartments.com/790-2nd-st-w-sonoma-ca/5pktz4m/,1½ BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,"$2,185",,,,
Irvine,Townhomes,CA,92614,"[{'bedroom_type': '3 Beds', 'price': '$2,92'}]","52 Timber Run, Irvine, CA 92614",https://www.apartments.com/52-timber-run-irvine-ca/7hx3zwx/,2 BAs,"1,114 Sq Ft","1,114",,Available Now,"$2,92",,,,,
Los Gatos,Townhomes,CA,95032,"[{'bedroom_type': '2 Beds', 'price': '$2,99'}]","160 Belwood Ct, Los Gatos, CA 95032",https://www.apartments.com/160-belwood-ct-los-gatos-ca/x23jl0p/,1½ BAs,"1,250 Sq Ft","1,250",12 Month Lease,Available Now,,"$2,99",,,,
Richmond,Townhomes,CA,94801,"[{'bedroom_type': '2 Beds', 'price': '$3,00'}]","610 Golden Gate Ave, Richmond, CA 94801",https://www.apartments.com/610-golden-gate-ave-richmond-ca/5pwhslq/,2 BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,,"$3,00",,,,
Los Angeles,Townhomes,CA,90007,"[{'bedroom_type': '3 Beds', 'price': '$4,20'}]","1130 W 36th Pl, Los Angeles, CA 90007",https://www.apartments.com/1130-w-36th-pl-los-angeles-ca/t0eq489/,3 BAs,"1,998 Sq Ft","1,998",,Available Now,"$4,20",,,,,
Los Angeles,Townhomes,CA,90025,"[{'bedroom_type': '1 Bed', 'price': '$1,29'}]","2014 Colby Ave, Los Angeles, CA 90025",https://www.apartments.com/2014-colby-ave-los-angeles-ca/77cxtzx/,1 BA,200 Sq Ft,200,12 Month Lease,Available Now,,,,"$1,29",,
Santa Monica,Townhomes,CA,90403,"[{'bedroom_type': '2 Beds', 'price': '$3,80'}]","2524 Montana Ave, Santa Monica, CA 90403",https://www.apartments.com/2524-montana-ave-santa-monica-ca/bkfg8xc/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,"$3,80",,,,
Brea,Townhomes,CA,92821,"[{'bedroom_type': '3 Beds', 'price': '$2,70'}]","1666 Honeywood Ct, Brea, CA 92821",https://www.apartments.com/1666-honeywood-ct-brea-ca/m4x5y5k/,2½ BAs,"1,302 Sq Ft","1,302",,Available Now,"$2,70",,,,,
Los Altos,Townhomes,CA,94022,"[{'bedroom_type': '1 Bed', 'price': '$2,80'}]","65 Alvarado Ave, Los Altos, CA 94022",https://www.apartments.com/65-alvarado-ave-los-altos-ca/zgwb0rx/,1 BA,500 Sq Ft,500,6 Month Lease,Available Now,,,,"$2,80",,
Riverside,Townhomes,CA,92507,"[{'bedroom_type': '4 Beds', 'price': '$2,50'}]","871 Via Sierra Nevada Via, Riverside, CA 92507",https://www.apartments.com/871-via-sierra-nevada-via-riverside-ca/kq9nvp8/,2 BAs,"1,850 Sq Ft","1,850",,Available Now,,,"$2,50",,,
San Marcos,Townhomes,CA,92078,"[{'bedroom_type': '3 Beds', 'price': '$2,90'}]","1256 San Elijo Rd N, San Marcos, CA 92078",https://www.apartments.com/1256-san-elijo-rd-n-san-marcos-ca/p250mvv/,3½ BAs,"1,651 Sq Ft","1,651",,Available Now,"$2,90",,,,,
Irvine,Townhomes,CA,92612,"[{'bedroom_type': '3 Beds', 'price': '$3,40'}]","94 Stanford Ct, Irvine, CA 92612",https://www.apartments.com/94-stanford-ct-irvine-ca/v65efke/,3 BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,"$3,40",,,,,
Mountain View,Townhomes,CA,94043,"[{'bedroom_type': '4 Beds', 'price': '$5,30'}]","24 Comstock Queen Ct, Mountain View, CA 94043",https://www.apartments.com/24-comstock-queen-ct-mountain-view-ca/8pbb3f1/,2½ BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,,"$5,30",,,
