Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Studio,1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,"
													Studio
															–
2 Beds											","
													1 Bed
															–
2 Beds											","
													2 Beds
															–
3 Beds											","
													2 Beds
											"
The Mix at SoHay,Hayward,Apartment,CA,94544,"[{'bedroom_type': 'Studio', 'price': '$2,385'}, {'bedroom_type': '1 Bed', 'price': '$2,710'}, {'bedroom_type': '2 Beds', 'price': '$3,360'}]","29213 Mission Blvd, Hayward, CA 94544",https://www.apartments.com/the-mix-at-sohay-hayward-ca/smzgdk6/,"$2,385","$2,710","$3,360",,,,,,,
Legacy Hills at Poway,Poway,Apartment,CA,92064,"[{'bedroom_type': 'Studio', 'price': '$1,299'}, {'bedroom_type': '1 Bed', 'price': '$1,720'}, {'bedroom_type': '2 Beds', 'price': '$2,348'}]","12730 Monte Vista Rd, Poway, CA 92064",https://www.apartments.com/legacy-hills-at-poway-poway-ca/m9ggd1j/,"$1,299","$1,720","$2,348",,,,,,,
LLEWELLYN,Los Angeles,Apartment,CA,90012,"[{'bedroom_type': 'Studio', 'price': '$2,125'}, {'bedroom_type': '1 Bed', 'price': '$2,375'}, {'bedroom_type': '2 Beds', 'price': '$3,250'}]","1101 N Main St, Los Angeles, CA 90012",https://www.apartments.com/llewellyn-los-angeles-ca/0qln4g0/,"$2,125","$2,375","$3,250",,,,,,,
DUO Apartments,San Jose,Apartment,CA,95119,"[{'bedroom_type': 'Studio', 'price': '$2,400'}, {'bedroom_type': '1 Bed', 'price': '$2,365'}, {'bedroom_type': '2 Beds', 'price': '$2,765'}]","6670 Emergent Way, San Jose, CA 95119",https://www.apartments.com/duo-apartments-san-jose-ca/212msp9/,"$2,400","$2,365","$2,765",,,,,,,
Sonoma Ranch Apartments Homes,Santa Rosa,Apartment,CA,95403,"[{'bedroom_type': '1 Bed', 'price': '$2,295'}, {'bedroom_type': '2 Beds', 'price': '$2,795'}, {'bedroom_type': '3 Beds', 'price': '$3,395'}]","4450 Old Redwood Pky, Santa Rosa, CA 95403",https://www.apartments.com/sonoma-ranch-apartments-homes-santa-rosa-ca/2fh16vc/,,"$2,295","$2,795","$3,395",,,,,,
Evolve South Bay,Carson,Apartment,CA,90745,"[{'bedroom_type': '1 Bed', 'price': '$2,324'}, {'bedroom_type': '2 Beds', 'price': '$3,682'}, {'bedroom_type': '3 Beds', 'price': '$3,505'}]","285 E Del Amo Blvd, Carson, CA 90745",https://www.apartments.com/evolve-south-bay-carson-ca/4hmj7rl/,,"$2,324","$3,682","$3,505",,,,,,
ARQ,Los Angeles,Apartment,CA,90016,"[{'bedroom_type': 'Studio', 'price': '$3,121'}, {'bedroom_type': '1 Bed', 'price': '$3,476'}, {'bedroom_type': '2 Beds', 'price': '$5,292'}]","3311 S La Cienega Blvd, Los Angeles, CA 90016",https://www.apartments.com/arq-los-angeles-ca/h9t7ky3/,"$3,121","$3,476","$5,292",,,,,,,
Azure,Santa Maria,Apartment,CA,93454,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': ''}, {'bedroom_type': '3 Beds', 'price': '$2,390'}]","703 E Meehan St, Santa Maria, CA 93454",https://www.apartments.com/azure-santa-maria-ca/bkc2xnc/,,,,"$2,390",,,,,,
ALLURE AT 2920,Modesto,Apartment,CA,95356,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$1,795'}, {'bedroom_type': '2 Beds', 'price': '$2,295'}]","2920 Healthcare Way, Modesto, CA 95356",https://www.apartments.com/allure-at-2920-modesto-ca/mhhw5el/,,"$1,795","$2,295",,,,,,,
Lantana Uptown,Oakland,Apartment,CA,94612,"[{'bedroom_type': 'Studio', 'price': '$2,022'}, {'bedroom_type': '1 Bed', 'price': '$2,264'}, {'bedroom_type': '2 Beds', 'price': '$2,938'}]","625 16th St, Oakland, CA 94612",https://www.apartments.com/lantana-uptown-oakland-ca/0qpvcv2/,"$2,022","$2,264","$2,938",,,,,,,
Arballo Collection,San Francisco,Apartment,CA,94132,"[{'bedroom_type': '3 Beds', 'price': '$6,889'}]","512 Arballo Dr, San Francisco, CA 94132",https://www.apartments.com/arballo-collection-san-francisco-ca/djygwgj/,,,,"$6,889",,,,,,
The Arbors at California Oaks,Murrieta,Apartment,CA,92562,"[{'bedroom_type': '1 Bed', 'price': '$1,435'}, {'bedroom_type': '2 Beds', 'price': '$1,750'}]","24375 Jackson Ave, Murrieta, CA 92562",https://www.apartments.com/the-arbors-at-california-oaks-murrieta-ca/8mnw3e3/,,"$1,435","$1,750",,,,,,,
Santa Fe Ranch,Carlsbad,Apartment,CA,92009,"[{'bedroom_type': '1 Bed', 'price': '$2,354'}, {'bedroom_type': '2 Beds', 'price': '$2,225'}]","3402 Calle Odessa, Carlsbad, CA 92009",https://www.apartments.com/santa-fe-ranch-carlsbad-ca/ed6q78m/,,"$2,354","$2,225",,,,,,,
The Cove at Tiburon,Tiburon,Apartment,CA,94920,"[{'bedroom_type': '1 Bed', 'price': '$3,542'}, {'bedroom_type': '2 Beds', 'price': '$4,810'}, {'bedroom_type': '3 Beds', 'price': '$6,830'}, {'bedroom_type': '4 Beds', 'price': ''}]","50 Barbaree Way, Tiburon, CA 94920",https://www.apartments.com/the-cove-at-tiburon-tiburon-ca/9e9x044/,,"$3,542","$4,810","$6,830",,,,,,
CORONADO PALMS,Anaheim,Apartment,CA,92802,"[{'bedroom_type': '1 Bed', 'price': '$1,590'}, {'bedroom_type': '2 Beds', 'price': '$1,795'}, {'bedroom_type': '3 Beds', 'price': '$2,309'}]","1250 S Euclid Ave, Anaheim, CA 92802",https://www.apartments.com/coronado-palms-anaheim-ca/qhtxywz/,,"$1,590","$1,795","$2,309",,,,,,
Ocean Breeze Villas,Huntington Beach,Apartment,CA,92647,"[{'bedroom_type': '1 Bed', 'price': '$1,900'}, {'bedroom_type': '2 Beds', 'price': '$1,960'}, {'bedroom_type': '3 Beds', 'price': '$2,654'}]","6401 Warner Ave, Huntington Beach, CA 92647",https://www.apartments.com/ocean-breeze-villas-huntington-beach-ca/c1x1zeg/,,"$1,900","$1,960","$2,654",,,,,,
The Cascades,Anaheim,Apartment,CA,92808,"[{'bedroom_type': '1 Bed', 'price': '$1,984'}, {'bedroom_type': '2 Beds', 'price': '$2,565'}]","8604 E Whitewater Dr, Anaheim, CA 92808",https://www.apartments.com/the-cascades-anaheim-ca/2gyyxgb/,,"$1,984","$2,565",,,,,,,
Castlepark,San Bernardino,Apartment,CA,92407,"[{'bedroom_type': '1 Bed', 'price': '$1,685'}, {'bedroom_type': '2 Beds', 'price': '$1,835'}]","2065 W College Ave, San Bernardino, CA 92407",https://www.apartments.com/castlepark-san-bernardino-ca/flfxb8v/,,"$1,685","$1,835",,,,,,,
Westcreek Apartments,Westlake Village,Apartment,CA,91362,"[{'bedroom_type': '1 Bed', 'price': '$2,222'}, {'bedroom_type': '2 Beds', 'price': '$2,867'}]","973-986 Westcreek Ln, Westlake Village, CA 91362",https://www.apartments.com/westcreek-apartments-westlake-village-ca/f7hz5nr/,,"$2,222","$2,867",,,,,,,
Solterra at Civic Center,Norwalk,Apartment,CA,90650,"[{'bedroom_type': '1 Bed', 'price': '$2,045'}, {'bedroom_type': '2 Beds', 'price': '$2,420'}]","12700 Bloomfield Ave, Norwalk, CA 90650",https://www.apartments.com/solterra-at-civic-center-norwalk-ca/p0g72qt/,,"$2,045","$2,420",,,,,,,
The Legends At Willow Creek,Folsom,Apartment,CA,95630,"[{'bedroom_type': '1 Bed', 'price': '$1,725'}, {'bedroom_type': '2 Beds', 'price': '$2,045'}]","180 S Lexington Dr, Folsom, CA 95630",https://www.apartments.com/the-legends-at-willow-creek-folsom-ca/5943frp/,,"$1,725","$2,045",,,,,,,
