City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,Studio,3 Beds,6 Beds,1 – 2 Beds,Studio – 2 Beds,4 Beds
Los Angeles,Condos,CA,90038,"[{'bedroom_type': '1 Bed', 'price': '$1,59'}]","Los Angeles, CA 90038",https://www.apartments.com/801-n-las-palmas-ave-los-angeles-ca/5vsbzvp/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,"$1,59",,,,,,
Los Angeles,Condos,CA,90034,"[{'bedroom_type': '1 Bed', 'price': '$2,15'}]","Los Angeles, CA 90034",https://www.apartments.com/3609-dunn-dr-los-angeles-ca/knfs3d9/,1 BA,850 Sq Ft,850,12 Month Lease,Available Now,,"$2,15",,,,,,
San Diego,Condos,CA,92105,"[{'bedroom_type': '1 Bed', 'price': '$1,35'}]","San Diego, CA 92105",https://www.apartments.com/4035-chamoune-ave-san-diego-ca/5dkmlbq/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,"$1,35",,,,,,
Santa Ana,Condos,CA,92701,"[{'bedroom_type': '2 Beds', 'price': '$2,10'}]","1000 E Bishop St, Santa Ana, CA 92701",https://www.apartments.com/1000-e-bishop-st-santa-ana-ca-unit-n2/z1syg7y/,1½ BAs,"1,150 Sq Ft","1,150",12 Month Lease,Jan 8,"$2,10",,,,,,,
Desert Hot Springs,Condos,CA,92240,"[{'bedroom_type': '2 Beds', 'price': '$1,10'}]","Desert Hot Springs, CA 92240",https://www.apartments.com/66555-buena-vista-ave-desert-hot-springs-ca/kzk71e8/,1 BA,950 Sq Ft,950,12 Month Lease,Available Now,"$1,10",,,,,,,
Santa Monica,Condos,CA,90403,"[{'bedroom_type': '2 Beds', 'price': '$4,60'}]","813 15th St, Santa Monica, CA 90403",https://www.apartments.com/813-15th-st-santa-monica-ca-unit-f/8cfnbf1/,2 BAs,"1,150 Sq Ft","1,150",1 Month Lease,Available Now,"$4,60",,,,,,,
Los Angeles,Condos,CA,90026,"[{'bedroom_type': 'Studio', 'price': '$1,45'}]","Los Angeles, CA 90026",https://www.apartments.com/1637-cortez-st-los-angeles-ca/s0t1hh6/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,,"$1,45",,,,,
Fremont,Condos,CA,94539,"[{'bedroom_type': '2 Beds', 'price': '$2,60'}]","117 Shaniko Cmn, Fremont, CA 94539",https://www.apartments.com/117-shaniko-cmn-fremont-ca-unit-117-shaniko/s3nxt35/,2 BAs,936 Sq Ft,936,12 Month Lease,Available Now,"$2,60",,,,,,,
San Marcos,Condos,CA,92069,"[{'bedroom_type': '3 Beds', 'price': '$2,45'}]","San Marcos, CA 92069",https://www.apartments.com/195-johnston-ln-san-marcos-ca/pxtj8zs/,2 BAs,"1,005 Sq Ft","1,005",12 Month Lease,Available Now,,,,"$2,45",,,,
San Mateo,Condos,CA,94401,"[{'bedroom_type': '1 Bed', 'price': '$2,40'}]","240 N Bayshore Blvd, San Mateo, CA 94401",https://www.apartments.com/240-n-bayshore-blvd-san-mateo-ca-unit-304/g7ddg5w/,1 BA,725 Sq Ft,725,12 Month Lease,Available Now,,"$2,40",,,,,,
