City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,1 – 2 Beds,Studio,3 Beds,4 Beds
Pasadena,Condos,CA,91104,"[{'bedroom_type': '2 Beds', 'price': '$2,75'}]","Pasadena, CA 91104",https://www.apartments.com/793-n-craig-ave-pasadena-ca/3pffqxe/,1½ BAs,"1,201 Sq Ft","1,201",12 Month Lease,Available Now,"$2,75",,,,,
Rialto,Condos,CA,92376,"[{'bedroom_type': '2 Beds', 'price': '$1,55'}]","Rialto, CA 92376",https://www.apartments.com/417-w-shamrock-st-rialto-ca/d9tks4l/,1 BA,950 Sq Ft,950,12 Month Lease,Available Now,"$1,55",,,,,
Burbank,Condos,CA,91504,"[{'bedroom_type': '1 Bed', 'price': '$1,80'}]","1220 N 3rd St, Burbank, CA 91504",https://www.apartments.com/1220-n-3rd-st-burbank-ca-unit-d/zcrmr3w/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,"$1,80",,,,
Los Angeles,Condos,CA,90027,"[{'bedroom_type': '1 Bed', 'price': '$1,50'}]","Los Angeles, CA 90027",https://www.apartments.com/1653-n-hobart-blvd-los-angeles-ca/y59k1lv/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,"$1,50",,,,
Costa Mesa,Condos,CA,92627,"[{'bedroom_type': '2 Beds', 'price': '$2,95'}]","1940 Maple Ave, Costa Mesa, CA 92627",https://www.apartments.com/1940-maple-ave-costa-mesa-ca-unit-106/0jyjs90/,2½ BAs,"1,170 Sq Ft","1,170",12 Month Lease,Available Now,"$2,95",,,,,
Oceanside,Condos,CA,92054,"[{'bedroom_type': '1 Bed', 'price': '$1,55'}]","432 Edgehill Ln, Oceanside, CA 92054",https://www.apartments.com/432-edgehill-ln-oceanside-ca-unit-133/l92hmdd/,1 BA,578 Sq Ft,578,12 Month Lease,Feb 1,,"$1,55",,,,
Rancho Mirage,Condos,CA,92270,"[{'bedroom_type': '3 Beds', 'price': '$4,00'}]","105 Durango Cir, Rancho Mirage, CA 92270",https://www.apartments.com/105-durango-cir-rancho-mirage-ca-unit-105/7ltpbqw/,2 BAs,"2,187 Sq Ft","2,187",3 Month Lease,Available Now,,,,,"$4,00",
Campbell,Condos,CA,95008,"[{'bedroom_type': '2 Beds', 'price': '$3,15'}]","49 Dot Ave, Campbell, CA 95008",https://www.apartments.com/49-dot-ave-campbell-ca-unit-c/vg2t84d/,2 BAs,"1,442 Sq Ft","1,442",12 Month Lease,Available Now,"$3,15",,,,,
San Francisco,Condos,CA,94118,"[{'bedroom_type': '1 – 2 Beds', 'price': '$2,600'}]","San Francisco, CA 94118",https://www.apartments.com/3848-sacramento-st-san-francisco-ca/t16n3f9/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,,"$2,600",,,
Long Beach,Condos,CA,90802,"[{'bedroom_type': 'Studio', 'price': '$1,08'}]","Long Beach, CA 90802",https://www.apartments.com/335-pacific-ave-long-beach-ca/ppmgpbt/,1 BA,200 Sq Ft,200,3 Month Lease,Available Now,,,,"$1,08",,
Santa Cruz,Condos,CA,95060,"[{'bedroom_type': '2 Beds', 'price': '$3,20'}]","41 Grandview St, Santa Cruz, CA 95060",https://www.apartments.com/41-grandview-st-santa-cruz-ca-unit-601/2hpv96b/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$3,20",,,,,
Cupertino,Condos,CA,95014,"[{'bedroom_type': '2 Beds', 'price': '$3,20'}]","20128 Stevens Creek Blvd, Cupertino, CA 95014",https://www.apartments.com/20128-stevens-creek-blvd-cupertino-ca-unit-102/6mq8v6r/,2 BAs,920 Sq Ft,920,6 Month Lease,Available Now,"$3,20",,,,,
Hayward,Condos,CA,94546,"[{'bedroom_type': '1 Bed', 'price': '$1,68'}]","Hayward, CA 94546",https://www.apartments.com/2494-grove-way-hayward-ca/50gt49q/,1 BA,502 Sq Ft,502,12 Month Lease,Available Now,,"$1,68",,,,
Redwood City,Condos,CA,94062,"[{'bedroom_type': '3 Beds', 'price': '$3,40'}]","Redwood City, CA 94062",https://www.apartments.com/1553-jefferson-ave-redwood-city-ca/j1gzkd7/,1 BA,990 Sq Ft,990,12 Month Lease,Available Now,,,,,"$3,40",
San Pablo,Condos,CA,94806,"[{'bedroom_type': '2 Beds', 'price': '$2,05'}]","San Pablo, CA 94806",https://www.apartments.com/1501-broadway-ave-san-pablo-ca/kwgnxw9/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,"$2,05",,,,,
Oxnard,Condos,CA,93036,"[{'bedroom_type': '2 Beds', 'price': '$1,87'}]","Oxnard, CA 93036",https://www.apartments.com/1935-n-h-st-oxnard-ca/z4yqq6y/,2 BAs,993 Sq Ft,993,12 Month Lease,Available Now,"$1,87",,,,,
San Diego,Condos,CA,92105,"[{'bedroom_type': '1 Bed', 'price': '$1,65'}]","San Diego, CA 92105",https://www.apartments.com/3855-38th-st-san-diego-ca/993t6t6/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,"$1,65",,,,
