City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,3 Beds,4 Beds,1 Bed,4+ Beds,Studio,5 Beds
1441 Forest Glen Dr,Townhomes,Hacienda Heights,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,980'}]","1441 Forest Glen Dr, Hacienda Heights, CA 91745",https://www.apartments.com/1441-forest-glen-dr-hacienda-heights-ca/6hww1hr/,1½ BAs,980 Sq Ft,980,12 Month Lease,Available Now,"$1,980",,,,,,
208 29th St,Townhomes,Newport Beach,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,250'}]","208 29th St, Newport Beach, CA 92663",https://www.apartments.com/208-29th-st-newport-beach-ca/3rvh1wd/,1 BA,765 Sq Ft,765,12 Month Lease,Available Now,"$3,250",,,,,,
527 Spring Rd,Townhomes,Moorpark,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,695'}]","527 Spring Rd, Moorpark, CA 93021",https://www.apartments.com/527-spring-rd-moorpark-ca/p3gpert/,1½ BAs,"1,270 Sq Ft","1,270",,Available Now,,"$2,695",,,,,
6523 E Camino Vista,Townhomes,Anaheim,CA,"[{'bedroom_type': '4 Beds', 'price': '$3,000'}]","6523 E Camino Vista, Anaheim, CA 92807",https://www.apartments.com/6523-e-camino-vista-anaheim-ca/7nsbrby/,2½ BAs,"1,670 Sq Ft","1,670",12 Month Lease,Available Now,,,"$3,000",,,,
130 White Oak Alley,Townhomes,Monrovia,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,000'}]","130 White Oak Alley, Monrovia, CA 91016",https://www.apartments.com/130-white-oak-alley-monrovia-ca/2fxn1jc/,1 BA,"1,440 Sq Ft","1,440",,Available Now,"$3,000",,,,,,
29040 Landau Blvd,Townhomes,Cathedral City,CA,"[{'bedroom_type': '3 Beds', 'price': '$1,595'}]","29040 Landau Blvd, Cathedral City, CA 92234",https://www.apartments.com/29040-landau-blvd-cathedral-city-ca/6l9vljv/,2 BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,,"$1,595",,,,,
8365 Forest Park St,Townhomes,Chino,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,600'}]","8365 Forest Park St, Chino, CA 91708",https://www.apartments.com/8365-forest-park-st-chino-ca/38dbl8d/,2½ BAs,"1,536 Sq Ft","1,536",12 Month Lease,Available Now,,"$2,600",,,,,
216 S Esplanade St,Townhomes,Orange,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,695'}]","216 S Esplanade St, Orange, CA 92869",https://www.apartments.com/216-s-esplanade-st-orange-ca/tgte03c/,2½ BAs,"1,260 Sq Ft","1,260",12 Month Lease,Available Now,,"$2,695",,,,,
14975 S Highland Ave,Townhomes,Fontana,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,495'}]","14975 S Highland Ave, Fontana, CA 92336",https://www.apartments.com/14975-s-highland-ave-fontana-ca/vw9sydd/,2½ BAs,"1,716 Sq Ft","1,716",12 Month Lease,Available Now,,"$2,495",,,,,
21145 Vía Canon,Townhomes,Yorba Linda,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","21145 Vía Canon, Yorba Linda, CA 92887",https://www.apartments.com/21145-via-canon-yorba-linda-ca/c3p5lqg/,2½ BAs,"1,069 Sq Ft","1,069",12 Month Lease,Available Now,"$2,500",,,,,,
4140 Workman Mill Rd,Townhomes,Whittier,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,295'}]","4140 Workman Mill Rd, Whittier, CA 90601",https://www.apartments.com/4140-workman-mill-rd-whittier-ca/kstd3x9/,1 BA,"1,066 Sq Ft","1,066",1 Month Lease,Available Now,"$2,295",,,,,,
23025 Pso De Terrado,Townhomes,Diamond Bar,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,390'}]","23025 Pso De Terrado, Diamond Bar, CA 91765",https://www.apartments.com/23025-pso-de-terrado-diamond-bar-ca/wlfbq9k/,2½ BAs,"1,238 Sq Ft","1,238",12 Month Lease,Available Now,"$2,390",,,,,,
10256 Samoa Ave,Townhomes,Los Angeles,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,495'}]","10256 Samoa Ave, Los Angeles, CA 91042",https://www.apartments.com/10256-samoa-ave-los-angeles-ca/0mppnd0/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,495",,,,,,
191 Royal Way,Townhomes,Upland,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,250'}]","191 Royal Way, Upland, CA 91786",https://www.apartments.com/191-royal-way-upland-ca/tmcleh9/,2½ BAs,"1,451 Sq Ft","1,451",12 Month Lease,Available Now,,"$2,250",,,,,
1204 Bayside Cir,Townhomes,Oxnard,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,500'}]","1204 Bayside Cir, Oxnard, CA 93035",https://www.apartments.com/1204-bayside-cir-oxnard-ca/9120q57/,2½ BAs,"1,844 Sq Ft","1,844",,Available Now,,"$3,500",,,,,
5932 Woodland St,Townhomes,Ventura,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,100'}]","5932 Woodland St, Ventura, CA 93003",https://www.apartments.com/5932-woodland-st-ventura-ca/btddsp8/,1 BA,300 Sq Ft,300,,Available Now,"$2,100",,,,,,
4761 Via Altamira,Townhomes,Thousand Oaks,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,650'}]","4761 Via Altamira, Thousand Oaks, CA 91320",https://www.apartments.com/4761-via-altamira-thousand-oaks-ca/0ftbf52/,2 BAs,"1,223 Sq Ft","1,223",,Jan 25,"$2,650",,,,,,
2237 Grand,Townhomes,Ventura,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,300'}]","2237 Grand, Ventura, CA 93003",https://www.apartments.com/2237-grand-ventura-ca/k5xqnj9/,1 BA,900 Sq Ft,900,,Available Now,"$2,300",,,,,,
223 Wesley Ave,Townhomes,Ventura,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,150'}]","223 Wesley Ave, Ventura, CA 93003",https://www.apartments.com/223-wesley-ave-ventura-ca/df0m4ml/,1 BA,"1,300 Sq Ft","1,300",,Available Now,,"$2,150",,,,,
103 Mohr St,Townhomes,Lake Elsinore,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,500'}]","103 Mohr St, Lake Elsinore, CA 92530",https://www.apartments.com/103-mohr-st-lake-elsinore-ca/5s11vlm/,1 BA,720 Sq Ft,720,12 Month Lease,Available Now,"$1,500",,,,,,
1240 Juniper Dr,Townhomes,Gilroy,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,395'}]","1240 Juniper Dr, Gilroy, CA 95020",https://www.apartments.com/1240-juniper-dr-gilroy-ca/yvbqm2t/,1½ BAs,800 Sq Ft,800,12 Month Lease,Available Now,"$2,395",,,,,,
25106 Feijoa Ave,Townhomes,Lomita,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,295'}]","25106 Feijoa Ave, Lomita, CA 90717",https://www.apartments.com/25106-feijoa-ave-lomita-ca/c01dg3f/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$2,295",,,,,,
35067 Beach Rd,Townhomes,Dana Point,CA,"[{'bedroom_type': '2 Beds', 'price': '$8,500'}]","35067 Beach Rd, Dana Point, CA 92624",https://www.apartments.com/35067-beach-rd-dana-point-ca/6y3cndv/,2 BAs,"1,500 Sq Ft","1,500",,Available Now,"$8,500",,,,,,
33482 Spinnaker Dr S,Townhomes,Dana Point,CA,"[{'bedroom_type': '3 Beds', 'price': '$4,600'}]","33482 Spinnaker Dr S, Dana Point, CA 92629",https://www.apartments.com/33482-spinnaker-dr-s-dana-point-ca/5njky7p/,2½ BAs,"1,500 Sq Ft","1,500",,Available Now,,"$4,600",,,,,
609 Kimlin Dr,Townhomes,Glendale,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,200'}]","609 Kimlin Dr, Glendale, CA 91206",https://www.apartments.com/609-kimlin-dr-glendale-ca/5rl4dhp/,2½ BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,"$3,200",,,,,
77 Blue Lagoon,Townhomes,Laguna Beach,CA,"[{'bedroom_type': '3 Beds', 'price': '$24,000'}]","77 Blue Lagoon, Laguna Beach, CA 92651",https://www.apartments.com/77-blue-lagoon-laguna-beach-ca/ltjr29e/,3 BAs,"1,900 Sq Ft","1,900",,Available Now,,"$24,000",,,,,
508 Larkspur Ave,Townhomes,Newport Beach,CA,"[{'bedroom_type': '3 Beds', 'price': '$8,000'}]","508 Larkspur Ave, Newport Beach, CA 92625",https://www.apartments.com/508-larkspur-ave-newport-beach-ca/gk6ssmy/,3 BAs,"1,768 Sq Ft","1,768",12 Month Lease,Available Now,,"$8,000",,,,,
Los Angeles,Townhomes,CA,90049,"[{'bedroom_type': '1 Bed', 'price': '$2,10'}]","11728 Bellagio Rd, Los Angeles, CA 90049",https://www.apartments.com/11728-bellagio-rd-los-angeles-ca/y5wpy5t/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,,,"$2,10",,,
1800 E Lakeshore Dr,Townhomes,Lake Elsinore,CA,"[{'bedroom_type': '3 Beds', 'price': '$1,790'}]","1800 E Lakeshore Dr, Lake Elsinore, CA 92530",https://www.apartments.com/1800-e-lakeshore-dr-lake-elsinore-ca/1dftve6/,2½ BAs,"1,527 Sq Ft","1,527",,Available Now,,"$1,790",,,,,
8792 Bright Ct,Townhomes,Santee,CA,"[{'bedroom_type': '4 Beds', 'price': '$3,000'}]","8792 Bright Ct, Santee, CA 92071",https://www.apartments.com/8792-bright-ct-santee-ca/t17kd59/,4 BAs,"1,733 Sq Ft","1,733",,Available Now,,,"$3,000",,,,
330 Shoemaker Ct,Townhomes,Solana Beach,CA,"[{'bedroom_type': '2 Beds', 'price': '$8,000'}]","330 Shoemaker Ct, Solana Beach, CA 92075",https://www.apartments.com/330-shoemaker-ct-solana-beach-ca/kdvw7sb/,2½ BAs,"1,400 Sq Ft","1,400",,Feb 22,"$8,000",,,,,,
509 S Sierra Ave,Townhomes,Solana Beach,CA,"[{'bedroom_type': '2 Beds', 'price': '$6,000'}]","509 S Sierra Ave, Solana Beach, CA 92075",https://www.apartments.com/509-s-sierra-ave-solana-beach-ca/20l6y5c/,2½ BAs,"1,608 Sq Ft","1,608",,Available Now,"$6,000",,,,,,
