City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,3 Beds,2 Beds,Studio,1 – 2 Beds,3 – 4 Beds,4 Beds,1 – 4 Beds
Newport Beach,Condos,CA,92660,"[{'bedroom_type': '2 Beds', 'price': '$3,29'}]","Newport Beach, CA 92660",https://www.apartments.com/1670-westcliff-dr-newport-beach-ca/m4gd1fk/,2 BAs,"1,025 Sq Ft","1,025",12 Month Lease,Available Now,,,"$3,29",,,,,
Los Angeles,Condos,CA,90063,"[{'bedroom_type': '1 Bed', 'price': '$2,25'}]","Los Angeles, CA 90063",https://www.apartments.com/1132-van-pelt-ave-los-angeles-ca/sh2f7e7/,1 BA,928 Sq Ft,928,12 Month Lease,Available Now,"$2,25",,,,,,,
San Diego,Condos,CA,92110,"[{'bedroom_type': '2 Beds', 'price': '$1,99'}]","3140 Midway Dr, San Diego, CA 92110",https://www.apartments.com/3140-midway-dr-san-diego-ca-unit-a306/160t4w6/,2 BAs,780 Sq Ft,780,12 Month Lease,Available Now,,,"$1,99",,,,,
Laguna Niguel,Condos,CA,92677,"[{'bedroom_type': '1 Bed', 'price': '$1,95'}]","24452 Kathleen Dr, Laguna Niguel, CA 92677",https://www.apartments.com/24452-kathleen-dr-laguna-niguel-ca/qg1xdtz/,1 BA,890 Sq Ft,890,12 Month Lease,Available Now,"$1,95",,,,,,,
Lake Hughes,Condos,CA,93532,"[{'bedroom_type': '1 Bed', 'price': '$1,30'}]","Lake Hughes, CA 93532",https://www.apartments.com/17531-elizabeth-lake-rd-lake-hughes-ca/jlv16q5/,1 BA,550 Sq Ft,550,12 Month Lease,Available Now,"$1,30",,,,,,,
Los Angeles,Condos,CA,90061,"[{'bedroom_type': '1 – 4 Beds', 'price': '$1,650'}]","Los Angeles, CA 90061",https://www.apartments.com/228-e-119th-st-los-angeles-ca/rcf8xg3/,1 BA,400 Sq Ft,400,12 Month Lease,Available Now,,,,,,,,"$1,650"
San Ramon,Condos,CA,94582,"[{'bedroom_type': '1 Bed', 'price': '$2,05'}]","735 Watson Canyon Ct, San Ramon, CA 94582",https://www.apartments.com/735-watson-canyon-ct-san-ramon-ca-unit-122/vq50mne/,1 BA,657 Sq Ft,657,12 Month Lease,Available Now,"$2,05",,,,,,,
Huntington Beach,Condos,CA,92648,"[{'bedroom_type': 'Studio', 'price': '$1,70'}]","215 Wichita Ave, Huntington Beach, CA 92648",https://www.apartments.com/215-wichita-ave-huntington-beach-ca-unit-607/j10tnv6/,1 BA,585 Sq Ft,585,12 Month Lease,Available Now,,,,"$1,70",,,,
Richmond,Condos,CA,94804,"[{'bedroom_type': '2 Beds', 'price': '$2,85'}]","Richmond, CA 94804",https://www.apartments.com/565-hayes-st-richmond-ca/k7b0699/,1 BA,950 Sq Ft,950,12 Month Lease,Available Now,,,"$2,85",,,,,
Lake Forest,Condos,CA,92630,"[{'bedroom_type': '2 Beds', 'price': '$2,25'}]","22874 Bonita Ln, Lake Forest, CA 92630",https://www.apartments.com/22874-bonita-ln-lake-forest-ca-unit-22874/e9zc59n/,1½ BAs,"1,020 Sq Ft","1,020",1 Month Lease,Available Now,,,"$2,25",,,,,
Santa Ana,Condos,CA,92704,"[{'bedroom_type': '2 Beds', 'price': '$2,39'}]","3500 S Greenville St, Santa Ana, CA 92704",https://www.apartments.com/3500-s-greenville-st-santa-ana-ca-unit-g24/jhlcvd5/,2 BAs,907 Sq Ft,907,12 Month Lease,Available Now,,,"$2,39",,,,,
San Francisco,Condos,CA,94117,"[{'bedroom_type': '1 Bed', 'price': '$2,49'}]","San Francisco, CA 94117",https://www.apartments.com/1477-oak-st-san-francisco-ca/s9n57n5/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,"$2,49",,,,,,,
Buena Park,Condos,CA,90620,"[{'bedroom_type': 'Studio', 'price': '$1,30'}]","Buena Park, CA 90620",https://www.apartments.com/8752-valley-view-st-buena-park-ca/mcs7m7h/,1 BA,340 Sq Ft,340,12 Month Lease,Available Now,,,,"$1,30",,,,
San Jose,Condos,CA,95116,"[{'bedroom_type': '1 Bed', 'price': '$1,95'}]","San Jose, CA 95116",https://www.apartments.com/221-s-19th-st-san-jose-ca/97mzwl6/,1 BA,465 Sq Ft,465,6 Month Lease,Available Now,"$1,95",,,,,,,
Sacramento,Condos,CA,95821,"[{'bedroom_type': '2 Beds', 'price': '$2,70'}]","Sacramento, CA 95821",https://www.apartments.com/4209-robertson-ave-sacramento-ca/trgwlxb/,1 BA,960 Sq Ft,960,12 Month Lease,Available Now,,,"$2,70",,,,,
San Francisco,Condos,CA,94122,"[{'bedroom_type': '4 Beds', 'price': '$3,70'}]","San Francisco, CA 94122",https://www.apartments.com/1375-47th-ave-san-francisco-ca/09t6nc3/,2½ BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,,,,,,"$3,70",
Santa Ana,Condos,CA,92704,"[{'bedroom_type': '2 Beds', 'price': '$2,35'}]","2534 W MacArthur Blvd, Santa Ana, CA 92704",https://www.apartments.com/2534-w-macarthur-blvd-santa-ana-ca-unit-l/y85cy4r/,2 BAs,"1,177 Sq Ft","1,177",12 Month Lease,Available Now,,,"$2,35",,,,,
Glendale,Condos,CA,91205,"[{'bedroom_type': '2 Beds', 'price': '$2,65'}]","Glendale, CA 91205",https://www.apartments.com/639-alta-vista-dr-glendale-ca/wblgx9h/,1 BA,850 Sq Ft,850,12 Month Lease,Available Now,,,"$2,65",,,,,
Calabasas,Condos,CA,91302,"[{'bedroom_type': 'Studio', 'price': '$2,20'}]","Calabasas, CA 91302",https://www.apartments.com/2401-stokes-canyon-rd-calabasas-ca/jtl1ef4/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,,,"$2,20",,,,
Pomona,Condos,CA,91767,"[{'bedroom_type': '2 Beds', 'price': '$1,85'}]","Pomona, CA 91767",https://www.apartments.com/152-e-la-verne-ave-pomona-ca/bl47gmb/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,,"$1,85",,,,,
Oakland,Condos,CA,94602,"[{'bedroom_type': '2 Beds', 'price': '$2,45'}]","Oakland, CA 94602",https://www.apartments.com/4181-park-blvd-oakland-ca/hybfyn2/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,,"$2,45",,,,,
Los Angeles,Condos,CA,90001,"[{'bedroom_type': '2 Beds', 'price': '$2,10'}]","Los Angeles, CA 90001",https://www.apartments.com/6706-miramonte-blvd-los-angeles-ca/0ymyz13/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,,"$2,10",,,,,
Los Angeles,Condos,CA,90001,"[{'bedroom_type': '2 Beds', 'price': '$2,10'}]","Los Angeles, CA 90001",https://www.apartments.com/6708-miramonte-blvd-los-angeles-ca/rv36tl0/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,,"$2,10",,,,,
Menlo Park,Condos,CA,94025,"[{'bedroom_type': '2 Beds', 'price': '$2,65'}]","Menlo Park, CA 94025",https://www.apartments.com/7-coleman-pl-menlo-park-ca/yfgwrst/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,,"$2,65",,,,,
Sacramento,Condos,CA,95816,"[{'bedroom_type': '2 Beds', 'price': '$1,88'}]","Sacramento, CA 95816",https://www.apartments.com/1615-25th-st-sacramento-ca/eqtflcq/,1 BA,700 Sq Ft,700,6 Month Lease,Available Now,,,"$1,88",,,,,
