City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,2 Beds,3 Beds,4 Beds,Studio,5 Beds,6 Beds,1 – 3 Beds
Perris,Houses,CA,92570,"[{'bedroom_type': '3 Beds', 'price': '$2,67'}]","19339 Summerwind Trl, Perris, CA 92570",https://www.apartments.com/19339-summerwind-trl-perris-ca/t7szbkc/,3 BAs,"1,696 Sq Ft","1,696",12 Month Lease,Available Now,,,"$2,67",,,,,
San Rafael,Houses,CA,94901,"[{'bedroom_type': '3 Beds', 'price': '$3,90'}]","119 Glen Park Ave, San Rafael, CA 94901",https://www.apartments.com/119-glen-park-ave-san-rafael-ca/rrvct60/,2½ BAs,"1,838 Sq Ft","1,838",1 Month Lease,Available Now,,,"$3,90",,,,,
Chula Vista,Houses,CA,91911,"[{'bedroom_type': '2 Beds', 'price': '$1,80'}]","121 Orange Ave, Chula Vista, CA 91911",https://www.apartments.com/121-orange-ave-chula-vista-ca/t70jekc/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,"$1,80",,,,,,
San Dimas,Houses,CA,91773,"[{'bedroom_type': '5 Beds', 'price': '$4,60'}]","1143 Las Colinas Way, San Dimas, CA 91773",https://www.apartments.com/1143-las-colinas-way-san-dimas-ca/mqz321k/,4½ BAs,"3,362 Sq Ft","3,362",12 Month Lease,Available Now,,,,,,"$4,60",,
San Francisco,Houses,CA,94134,"[{'bedroom_type': '1 Bed', 'price': '$1,30'}]","833 Sunnydale Ave, San Francisco, CA 94134",https://www.apartments.com/833-sunnydale-ave-san-francisco-ca/t1qc6eb/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,"$1,30",,,,,,,
San Francisco,Houses,CA,94116,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","2230 Quintara St, San Francisco, CA 94116",https://www.apartments.com/2230-quintara-st-san-francisco-ca/le5rbeg/,2 BAs,500 Sq Ft,500,12 Month Lease,Available Now,,"$2,50",,,,,,
Daly City,Houses,CA,94014,"[{'bedroom_type': '2 Beds', 'price': '$2,20'}]","369 Winchester St, Daly City, CA 94014",https://www.apartments.com/369-winchester-st-daly-city-ca/rd39lm1/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,"$2,20",,,,,,
Granada Hills,Houses,CA,91344,"[{'bedroom_type': '1 Bed', 'price': '$1,84'}]","11901 Balboa Blvd, Granada Hills, CA 91344",https://www.apartments.com/11901-balboa-blvd-granada-hills-ca/fwnesjt/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,"$1,84",,,,,,,
Calabasas,Houses,CA,91302,"[{'bedroom_type': '1 Bed', 'price': '$1,10'}]","23777 Mulholland Hwy, Calabasas, CA 91302",https://www.apartments.com/23777-mulholland-hwy-calabasas-ca/8x7gm51/,1 BA,500 Sq Ft,500,1 Month Lease,Available Now,"$1,10",,,,,,,
Torrance,Houses,CA,90501,"[{'bedroom_type': '2 Beds', 'price': '$2,95'}]","1624 W 220th St, Torrance, CA 90501",https://www.apartments.com/1624-w-220th-st-torrance-ca/6q5h86t/,2 BAs,"1,144 Sq Ft","1,144",12 Month Lease,Available Now,,"$2,95",,,,,,
